StateName,Counties,TotalCounties,PercentCounties
AL,0,67,0.00
AK,0,27,0.00
AZ,0,15,0.00
AR,0,75,0.00
CA,12,58,20.69
CO,1,64,1.56
CT,8,8,100.00
DE,1,3,33.33
FL,0,67,0.00
GA,0,159,0.00
HI,0,5,0.00
ID,0,44,0.00
IL,30,102,29.41
IN,24,92,26.09
IA,46,99,46.46
KS,0,105,0.00
KY,7,120,5.83
LA,0,64,0.00
ME,15,16,93.75
MD,2,24,8.33
MA,13,14,92.86
MI,53,83,63.86
MN,86,87,98.85
MS,0,82,0.00
MO,5,115,4.35
MT,25,56,44.64
NE,27,93,29.03
NV,0,17,0.00
NH,8,10,80.00
NJ,13,21,61.90
NM,0,33,0.00
NY,57,62,91.94
NC,3,100,3.00
ND,19,53,35.85
OH,23,88,26.14
OK,0,77,0.00
OR,0,36,0.00
PA,20,67,29.85
RI,5,5,100.00
SC,0,46,0.00
SD,8,66,12.12
TN,2,95,2.11
TX,0,254,0.00
UT,0,29,0.00
VT,12,14,85.71
VA,1,134,0.75
WA,2,39,5.13
WV,8,55,14.55
WI,64,72,88.89
WY,6,23,26.09
