IsolateID,Location,Lat,Lon,Year
15ND19-2,"Cassellton, ND",46.9005292,-97.2111999,2015
15ND19-5,"Cassellton, ND",46.9005292,-97.2111999,2015
15ND20-3,"Cassellton, ND",46.9005292,-97.2111999,2015
15ND20-4,"Cassellton, ND",46.9005292,-97.2111999,2015
15MN13-4,"St Paul BT, MN",44.989123,-93.186589,2015
15MN14-4,"St Paul BT, MN",44.989123,-93.186589,2015
15MN15-3,"St Paul BT, MN",44.989123,-93.186589,2015
15MN16-3,"St Paul BT, MN",44.989123,-93.186589,2015
15MN17-5,"St Paul BT, MN",44.989123,-93.186589,2015
15MN18-1,"St Paul BT, MN",44.989123,-93.186589,2015
15MN18-3,"St Paul BT, MN",44.989123,-93.186589,2015
15MN10-4,"Rosemount, MN",44.732165,-93.08598,2015
15MN10-5,"Rosemount, MN",44.732165,-93.08598,2015
15MN27-3,"SWROC, Lamberton, MN",44.240285,-95.30984,2015
15MN23-1,"SROC, Waseca, MN",44.077686,-93.524786,2015
15MN24-1,"SROC, Waseca, MN",44.077686,-93.524786,2015
15MN25-3,"SROC, Waseca, MN",44.077686,-93.524786,2015
15SD30-1,"Volga, SD",44.325858,-96.928532,2015
15SD30-3,"Volga, SD",44.325858,-96.928532,2015
15SD11-1,"Beresford, SD",43.083681,-96.774086,2015
15SD11-2,"Beresford, SD",43.083681,-96.774086,2015
15NE8-4,"Mead, NE",41.234125,-96.489601,2015
15NE8-5,"Mead, NE",41.234125,-96.489601,2015
15NE9-1,"Lincoln, NE",40.821612,-96.709143,2015
15NE9-3,"Lincoln, NE",40.821612,-96.709143,2015
15OH12-3,"Logan County, OH",40.38042,-83.759703,2015
15MS7-1,"Beaumont, MS",31.161358,-88.926216,2015
15TX3-1,"Uvalde, TX",29.21187,-99.787235,2015
15FL1-2,"Haugue, FL",29.771899,-82.43298,2015
15FL1-4,"Haugue, FL",29.771899,-82.43298,2015
90MN1B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN2B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN3B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN5B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN7B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN8B-2,"St Paul BT, MN",44.989123,-93.186589,1990
90MN9B-4,"St Paul BT, MN",44.989123,-93.186589,1990
90MN13B-3,"St Paul BT, MN",44.989123,-93.186589,1990
90MN14B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN17B-1,"St Paul BT, MN",44.989123,-93.186589,1990
90MN137-1,MN,44.011017,-92.479523,1990
90MN148-1,MN,44.011017,-92.479523,1990
90MN149-2,MN,44.011017,-92.479523,1990
90MN152-1,MN,44.011017,-92.479523,1990
90MN153-1,MN,44.011017,-92.479523,1990
90WI131-1,WI,43.074252,-89.384801,1990
90WI132-1,WI,43.074252,-89.384801,1990
90SD164-1,SD,44.367953,-100.347243,1990
90SD171-1,SD,44.367953,-100.347243,1990
90SD172-1,SD,44.367953,-100.347243,1990
90PA162-1,PA,40.263935,-76.884892,1990
90KS101-1,KS,39.048487,-95.679433,1990
90AR100-1,AR,34.746646,-92.28959,1990
90GA16-1,GA,33.749382,-84.388953,1990
90LA38-1,LA,30.457255,-91.188621,1990
90TX45-1,TX,30.274181,-97.740528,1990
90TX47-1,TX,30.274181,-97.740528,1990
90TX52-1,TX,30.274181,-97.740528,1990
90TX58-1,TX,30.274181,-97.740528,1990
90TX70-1,TX,30.274181,-97.740528,1990
