StateName,1990_production_in_1000_bushels,2015_production_in_1000_bushels,production_decline
AL,1250,1000,250
AK,2700,480,2220
AZ,NA,NA,NA
AR,NA,NA,NA
CA,3000,600,2400
CO,2250,800,1450
CT,NA,NA,NA
DE,NA,NA,NA
FL,NA,NA,NA
GA,2240,1125,1115
HI,NA,NA,NA
ID,1980,1290,690
IL,11560,1925,9635
IN,4830,295,4535
IA,40800,4161,36639
KS,6600,2600,4000
KY,NA,NA,NA
LA,NA,NA,NA
ME,NA,NA,NA
MD,NA,NA,NA
MA,NA,2320,NA
MI,13050,3350,9700
MN,48180,12480,35700
MS,NA,NA,NA
MO,2226,910,1316
MT,2800,1166,1634
NE,13440,2680,10760
NV,NA,NA,NA
NH,NA,NA,NA
NJ,NA,NA,NA
NM,NA,NA,NA
NY,8535,2320,6215
NC,2440,1056,1384
ND,30600,10360,20240
OH,16100,2520,13580
OK,2280,273,2007
OR,4590,968,3622
PA,15840,3575,12265
RI,NA,NA,NA
SC,1824,522,1302
SD,53200,12615,40585
TN,NA,NA,NA
TX,9225,2640,6585
UT,816,170,646
VT,NA,NA,NA
VA,NA,304,NA
WA,2640,NA,2640
WV,342,270,72
WI,47570,14040,33530
WY,1540,720,820
