Variant_Caller	Year	Total_Variant_Sites	SNPs	Indels
GATK	2015	2357356	2192490	276095
FreeBayes	2015	1939544	1841220	125295
Samtools	2015	2047002	1922216	165375
Intersection_all	2015	1732705	1660621	86271
Intersection_FB_G	2015	1804199	1713422	110050
Intersection_G_ST	2015	1852813	1769577	106064
Intersection_FB_ST	2015	1824221	1750388	91896
GATK	1990	2711660	2542315	304988
FreeBayes	1990	2261737	2156015	141473
Samtools	1990	2381338	2235481	197501
Intersection_all	1990	2032160	1953107	98726
Intersection_FB_G	1990	2114306	2015618	124891
Intersection_G_ST	1990	2167593	2076134	121776
Intersection_FB_ST	1990	2130214	2050034	104839
