column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	72274229	2	34	2239073178	30.98	31	34	34	3	27	34	21084829	16489821	12520137	22015691	163751	72274229
2	72273740	2	34	2246419069	31.08	31	34	34	3	27	34	22548172	13700022	15707212	20251118	67216	72274229
3	72273169	2	34	2248651449	31.11	31	34	34	3	27	34	21884300	14660442	15534695	20109598	84134	72274229
4	72272647	2	37	2487162899	34.41	35	37	37	2	32	37	20346142	15781901	15409560	20643177	91867	72274229
5	72271931	2	37	2484153953	34.37	35	37	37	2	32	37	20087009	15436834	15735761	20926616	85711	72274229
6	72271172	2	37	2485148380	34.39	35	37	37	2	32	37	20209008	16103289	16101271	19808785	48819	72274229
7	72270244	2	37	2481968188	34.34	35	37	37	2	32	37	20181047	15320165	16357034	20372925	39073	72274229
8	72269395	2	37	2481711640	34.34	35	37	37	2	32	37	20492193	15818239	15756208	20153979	48776	72274229
9	72268406	2	39	2597368842	35.94	37	39	39	2	34	39	20395097	15632342	15498128	20693475	49364	72274229
10	72267491	2	39	2597283485	35.94	37	39	39	2	34	39	20484746	15705440	15624595	20393562	59148	72274229
11	72266423	2	39	2594737173	35.91	37	39	39	2	34	39	20415197	15674711	15509596	20627177	39742	72274229
12	72265403	2	39	2592515762	35.87	37	39	39	2	34	39	20652206	15628763	15443375	20477120	63939	72274229
13	72264235	2	39	2590331927	35.85	37	39	39	2	34	39	20615878	15633624	15355496	20611012	48225	72274229
14	72262975	2	41	2688934182	37.21	38	41	41	3	34	41	20644335	15535403	15402222	20638676	42339	72274229
15	72261385	2	41	2690768618	37.24	38	41	41	3	34	41	20473780	15645739	15520935	20578730	42201	72274229
16	72259999	2	41	2687509434	37.19	38	41	41	3	34	41	20409467	15618049	15591628	20588366	52489	72274229
17	72258436	2	41	2687492627	37.19	38	41	41	3	34	41	20498111	15655332	15575507	20477788	51698	72274229
18	72256943	2	41	2682441516	37.12	38	40	41	3	34	41	20358046	15761488	15668207	20421947	47255	72274229
19	72255384	2	41	2686460279	37.18	38	41	41	3	34	41	20379661	15665190	15640802	20528931	40800	72274229
20	72253780	2	41	2686006669	37.17	38	41	41	3	34	41	20332805	15653787	15671909	20550220	45059	72274229
21	72252215	2	41	2683121196	37.14	38	41	41	3	34	41	20313330	15806113	15576562	20499283	56927	72274229
22	72250682	2	41	2680237868	37.10	38	41	41	3	34	41	20306917	15735212	15553977	20520691	133885	72274229
23	72249072	2	41	2671852951	36.98	38	41	41	3	34	41	20258044	15611975	15655943	20447498	275612	72274229
24	72247618	2	41	2675380331	37.03	38	41	41	3	34	41	20396680	15748694	15591361	20479426	31457	72274229
25	72246087	2	41	2674839792	37.02	38	41	41	3	34	41	20329980	15827186	15655432	20393842	39647	72274229
26	72244803	2	41	2674137387	37.01	38	41	41	3	34	41	20332325	15747184	15744966	20394192	26136	72274229
27	72243385	2	41	2673968918	37.01	38	41	41	3	34	41	20266918	15831700	15742101	20376533	26133	72274229
28	72242192	2	41	2670450941	36.97	38	41	41	3	34	41	20274774	15848060	15742509	20341359	35490	72274229
