column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	20827	2	34	94339	4.53	2	2	2	0	2	2	926	578	18471	804	48	20827
2	20809	2	34	89910	4.32	2	2	2	0	2	2	15476	988	2725	1603	17	20827
3	20808	2	34	88370	4.25	2	2	2	0	2	2	3832	868	1621	14467	20	20827
4	20807	2	37	92989	4.47	2	2	2	0	2	2	2343	13342	1507	3594	21	20827
5	20805	2	37	95057	4.57	2	2	2	0	2	2	1739	2789	14247	2008	22	20827
6	20805	2	37	100220	4.82	2	2	2	0	2	2	954	752	18331	757	11	20827
7	20805	2	37	79845	3.84	2	2	2	0	2	2	10968	1187	7324	1316	10	20827
8	20805	2	37	82531	3.97	2	2	2	0	2	2	18049	688	1291	766	11	20827
9	20804	2	39	78774	3.79	2	2	2	0	2	2	6354	920	12424	1095	11	20827
10	20804	2	39	78751	3.79	2	2	2	0	2	2	16626	774	2452	941	11	20827
11	20804	2	39	78126	3.76	2	2	2	0	2	2	3438	688	15678	992	8	20827
12	20804	2	39	77411	3.72	2	2	2	0	2	2	2819	9855	6834	1285	11	20827
13	20804	2	39	78327	3.76	2	2	2	0	2	2	1273	1382	17207	932	10	20827
14	20804	2	41	78173	3.76	2	2	2	0	2	2	1969	2083	8738	8004	10	20827
15	20804	2	41	78232	3.76	2	2	2	0	2	2	1344	14708	2305	2437	10	20827
16	20804	2	41	78313	3.76	2	2	2	0	2	2	1182	2202	15873	1536	11	20827
17	20804	2	41	77779	3.74	2	2	2	0	2	2	1604	2124	6838	10227	11	20827
18	20804	2	41	77466	3.72	2	2	2	0	2	2	999	913	17375	1506	11	20827
19	20804	2	41	76395	3.67	2	2	2	0	2	2	1357	938	6284	12215	10	20827
20	20804	2	41	76229	3.66	2	2	2	0	2	2	13925	974	2581	3314	10	20827
21	20803	2	41	76608	3.68	2	2	2	0	2	2	2856	750	15707	1479	11	20827
22	20803	2	41	77215	3.71	2	2	2	0	2	2	934	663	18341	828	37	20827
23	20803	2	41	76471	3.68	2	2	2	0	2	2	907	580	18463	775	78	20827
24	20802	2	41	74936	3.60	2	2	2	0	2	2	8063	778	10744	1209	8	20827
25	20802	2	41	74949	3.60	2	2	2	0	2	2	17801	661	1530	801	9	20827
26	20801	2	41	74850	3.60	2	2	2	0	2	2	18522	599	904	770	6	20827
27	20800	2	41	72538	3.49	2	2	2	0	2	2	11593	804	7437	960	6	20827
28	20800	2	41	72730	3.50	2	2	2	0	2	2	17417	721	1835	819	8	20827
29	20800	2	41	72206	3.47	2	2	2	0	2	2	5587	705	13353	1147	8	20827
30	20800	2	41	71967	3.46	2	2	2	0	2	2	4977	1229	10094	4492	8	20827
31	20800	2	41	71333	3.43	2	2	2	0	2	2	2288	805	15481	2146	80	20827
32	20800	2	41	70014	3.37	2	2	2	0	2	2	2680	1202	11083	5793	42	20827
33	20800	2	41	70245	3.38	2	2	2	0	2	2	12693	1080	4022	2959	46	20827
34	20800	2	41	69578	3.35	2	2	2	0	2	2	5600	893	12314	1930	63	20827
35	20800	2	41	69760	3.35	2	2	2	0	2	2	14105	736	4390	1475	94	20827
36	20800	2	41	69913	3.36	2	2	2	0	2	2	9750	1071	3617	6271	91	20827
37	20800	2	41	69775	3.35	2	2	2	0	2	2	5479	5265	3952	6087	17	20827
38	20800	2	41	69436	3.34	2	2	2	0	2	2	3004	2815	2495	12480	6	20827
39	20799	2	41	68738	3.30	2	2	2	0	2	2	2629	8877	2520	6767	6	20827
40	20799	2	41	68672	3.30	2	2	2	0	2	2	2346	4547	10614	3284	8	20827
41	20799	2	41	67683	3.25	2	2	2	0	2	2	1452	1340	16436	1561	10	20827
42	20799	2	41	68162	3.28	2	2	2	0	2	2	2214	1718	12857	4002	8	20827
43	20798	2	41	67764	3.26	2	2	2	0	2	2	1349	967	16506	1968	8	20827
44	20798	2	41	67187	3.23	2	2	2	0	2	2	1092	767	17643	1285	11	20827
45	20798	2	41	67384	3.24	2	2	2	0	2	2	1666	1141	13526	4416	49	20827
46	20798	2	41	67387	3.24	2	2	2	0	2	2	2141	5351	9090	4152	64	20827
47	20797	2	41	67253	3.23	2	2	2	0	2	2	1455	2304	15034	2000	4	20827
48	20797	2	41	66949	3.22	2	2	2	0	2	2	1772	6598	10259	2131	37	20827
49	20797	2	41	67229	3.23	2	2	2	0	2	2	1629	13798	3791	1544	35	20827
50	20797	2	41	66634	3.20	2	2	2	0	2	2	1614	4686	12907	1554	36	20827
51	20797	2	41	66585	3.20	2	2	2	0	2	2	1907	3345	11711	3775	59	20827
52	20797	2	41	66539	3.20	2	2	2	0	2	2	7918	2717	6385	3769	8	20827
53	20797	2	41	66583	3.20	2	2	2	0	2	2	4538	1807	4521	9921	10	20827
54	20797	2	41	66190	3.18	2	2	2	0	2	2	3526	7636	3536	6089	10	20827
55	20797	2	41	66022	3.17	2	2	2	0	2	2	10044	3965	3178	3599	11	20827
56	20797	2	41	66379	3.19	2	2	2	0	2	2	4946	2360	2557	10924	10	20827
57	20797	2	41	65821	3.16	2	2	2	0	2	2	2131	1330	1752	15574	10	20827
58	20797	2	41	65489	3.15	2	2	2	0	2	2	7555	1433	2398	9402	9	20827
59	20797	2	41	64940	3.12	2	2	2	0	2	2	14319	1115	1826	3531	6	20827
60	20796	2	41	64681	3.11	2	2	2	0	2	2	16740	864	1551	1631	10	20827
61	20796	2	41	64342	3.09	2	2	2	0	2	2	17599	789	1246	1152	10	20827
62	20796	2	41	64163	3.09	2	2	2	0	2	2	17945	687	1151	1003	10	20827
63	20796	2	41	63583	3.06	2	2	2	0	2	2	17881	665	1275	964	11	20827
64	20796	2	41	63077	3.03	2	2	2	0	2	2	17823	712	1262	989	10	20827
65	20796	2	41	62912	3.03	2	2	2	0	2	2	17724	741	1372	948	11	20827
66	20796	2	41	62675	3.01	2	2	2	0	2	2	17593	780	1409	1006	8	20827
67	20796	2	41	62622	3.01	2	2	2	0	2	2	16992	912	1646	1236	10	20827
68	20796	2	41	62485	3.00	2	2	2	0	2	2	15649	1310	2218	1611	8	20827
69	20795	2	41	62317	3.00	2	2	2	0	2	2	14012	1545	3145	2082	11	20827
70	20795	2	41	62498	3.01	2	2	2	0	2	2	12639	1905	3691	2549	11	20827
71	20795	2	41	62277	2.99	2	2	2	0	2	2	9821	2490	5349	3124	11	20827
72	20795	2	41	62012	2.98	2	2	2	0	2	2	8754	2743	5592	3696	10	20827
73	20795	2	41	62037	2.98	2	2	2	0	2	2	8097	2890	6144	3659	5	20827
74	20795	2	41	61824	2.97	2	2	2	0	2	2	8005	2934	6014	3832	10	20827
75	20795	2	41	61199	2.94	2	2	2	0	2	2	7954	3010	5983	3841	7	20827
76	20795	2	41	61575	2.96	2	2	2	0	2	2	6993	3135	6757	3901	9	20827
77	20795	2	41	61187	2.94	2	2	2	0	2	2	7270	3181	6411	3926	7	20827
78	20795	2	41	61016	2.93	2	2	2	0	2	2	6740	3285	6482	4283	5	20827
79	20793	2	41	61006	2.93	2	2	2	0	2	2	6524	3527	6538	4196	8	20827
80	20792	2	41	60780	2.92	2	2	2	0	2	2	6451	3339	6477	4516	9	20827
81	20792	2	41	60652	2.92	2	2	2	0	2	2	6419	3691	6486	4188	8	20827
82	20792	2	40	60122	2.89	2	2	2	0	2	2	6068	3397	7216	4101	10	20827
83	20792	2	41	59976	2.88	2	2	2	0	2	2	5877	3374	7519	4013	9	20827
84	20792	2	41	60036	2.89	2	2	2	0	2	2	5918	3471	7075	4318	10	20827
85	20792	2	39	59558	2.86	2	2	2	0	2	2	5799	3405	7590	3992	6	20827
86	20792	2	39	59729	2.87	2	2	2	0	2	2	5751	3286	7762	3982	11	20827
87	20792	2	39	59392	2.86	2	2	2	0	2	2	5631	3522	7316	4315	8	20827
88	20792	2	39	59140	2.84	2	2	2	0	2	2	5652	3608	7272	4251	9	20827
89	20792	2	39	58884	2.83	2	2	2	0	2	2	5555	3497	7612	4117	11	20827
90	20792	2	39	58975	2.84	2	2	2	0	2	2	5651	3745	7366	4020	10	20827
