column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	43300	2	34	1330563	30.73	30	31	34	4	24	34	11117	11615	9282	11170	116	43300
2	43273	2	34	1335815	30.87	30	31	34	4	24	34	12275	9942	10031	11022	3	43300
3	43273	2	34	1337967	30.92	30	31	34	4	24	34	11042	10703	10074	11454	0	43300
4	43273	2	37	1492919	34.50	35	35	37	2	32	37	10699	11599	10001	10974	0	43300
5	43272	2	37	1495018	34.55	35	35	37	2	32	37	10512	11177	10283	11300	0	43300
6	43269	2	37	1486577	34.36	35	35	37	2	32	37	10741	10583	10573	11372	0	43300
7	43268	2	37	1485278	34.33	35	35	37	2	32	37	10969	10394	10826	11079	0	43300
8	43265	2	37	1483183	34.28	35	35	37	2	32	37	10867	11011	10502	10885	0	43300
9	43265	2	39	1543437	35.67	35	37	39	4	29	39	10658	11159	10221	11227	0	43300
10	43262	2	39	1541515	35.63	35	37	39	4	29	39	11019	11069	10193	10981	0	43300
11	43256	2	39	1540588	35.62	35	37	39	4	29	39	10879	11021	10176	11180	0	43300
12	43254	2	39	1538816	35.58	35	37	39	4	29	39	11052	10853	9844	11505	0	43300
13	43250	2	39	1540002	35.61	35	37	39	4	29	39	11117	10668	10181	11284	0	43300
14	43248	2	41	1582875	36.60	35	38	41	6	26	41	10805	10609	10334	11490	10	43300
15	43240	2	41	1579313	36.52	35	38	41	6	26	41	10745	10831	10113	11551	0	43300
16	43235	2	41	1578644	36.51	35	38	41	6	26	41	10934	10918	10208	11175	0	43300
17	43228	2	41	1577165	36.48	34	38	41	7	24	41	10612	11258	9876	11482	0	43300
18	43219	2	41	1572120	36.38	34	38	41	7	24	41	10648	10723	10268	11580	0	43300
19	43204	2	41	1574706	36.45	34	39	41	7	24	41	10949	10580	10275	11400	0	43300
20	43181	2	41	1569586	36.35	34	38	41	7	24	41	10746	10750	10439	11246	0	43300
21	43161	2	41	1565361	36.27	34	38	41	7	24	41	10900	10795	9985	11481	0	43300
22	43133	2	41	1562050	36.21	34	38	41	7	24	41	10681	10903	10125	11419	5	43300
