column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	59654938	2	34	1798500538	30.15	31	34	34	3	27	34	17797075	13383031	10335765	18003701	135366	59654938
2	59654258	2	34	1802650402	30.22	31	34	34	3	27	34	19052488	11356103	12552135	16638143	55389	59654938
3	59653476	2	34	1803789644	30.24	31	34	34	3	27	34	18295185	12364339	12496747	16427774	69431	59654938
4	59652745	2	37	1996359237	33.47	35	37	37	2	32	37	16934256	12988639	12582745	17071297	75808	59654938
5	59651746	2	37	1990396329	33.37	35	37	37	2	32	37	16719090	12700015	13174536	16987294	70811	59654938
6	59650682	2	37	1992797546	33.41	35	37	37	2	32	37	16838655	13015790	13234629	16521168	40440	59654938
7	59649153	2	37	1989764872	33.36	35	37	37	2	32	37	16547068	12473396	13789338	16806858	32493	59654938
8	59647978	2	37	1989292052	33.35	35	37	37	2	32	37	16946417	12709215	13011902	16940099	40345	59654938
9	59646498	2	39	2082478691	34.91	37	39	39	2	34	39	16931614	12660181	12803119	17210745	40839	59654938
10	59645070	2	39	2080245801	34.88	37	39	39	2	34	39	17262784	12734402	12828148	16770909	48827	59654938
11	59643368	2	39	2078280296	34.85	37	39	39	2	34	39	17054721	12979415	12493097	17083137	32998	59654938
12	59641643	2	39	2078694985	34.85	37	39	39	2	34	39	16982105	12777276	12537766	17291704	52792	59654938
13	59639755	2	39	2074944241	34.79	37	39	39	2	34	39	17105331	12577406	12774600	17142553	39865	59654938
14	59637822	2	41	2149387255	36.04	37	40	41	4	31	41	17129077	12637977	12927625	16907995	35148	59654938
15	59635120	2	41	2151591760	36.08	37	40	41	4	31	41	17246273	12750229	12576026	17027644	34948	59654938
16	59632876	2	41	2151174313	36.07	38	40	41	3	34	41	17030484	12712346	12806071	17040484	43491	59654938
17	59630162	2	41	2151658795	36.08	38	40	41	3	34	41	16867715	12765586	12782041	17172098	42722	59654938
18	59627633	2	41	2148623959	36.03	38	40	41	3	34	41	16878980	12842960	12585741	17280835	39117	59654938
