column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	28415481	2	34	925523365	32.57	33	34	34	1	32	34	8579030	6127396	5134896	8486767	87392	28415481
2	28415296	2	34	931066795	32.77	33	34	34	1	32	34	8632212	5453052	5868724	8461263	45	28415481
3	28415263	18	34	933653921	32.86	33	34	34	1	32	34	8472246	5814823	5759129	8369065	0	28415481
4	28415248	15	34	933030964	32.84	33	34	34	1	32	34	8087770	5942456	5964470	8420552	0	28415481
5	28415232	15	34	934509524	32.89	33	34	34	1	32	34	8036846	5865862	6184808	8327716	0	28415481
6	28415220	14	38	1053034818	37.06	38	38	38	0	38	38	8117610	6089901	6184832	8022877	0	28415481
7	28415216	2	38	1047337034	36.86	38	38	38	0	38	38	8077900	5901578	6309609	8126111	18	28415481
8	28415210	14	38	1051841822	37.02	38	38	38	0	38	38	8105267	6092638	6071920	8145385	0	28415481
9	28415198	2	38	1054135375	37.10	38	38	38	0	38	38	7983904	6144382	5986492	8300273	147	28415481
10	28415187	14	38	1054542028	37.11	38	38	38	0	38	38	8102800	6128837	6054132	8129418	0	28415481
11	28415162	2	38	1054478649	37.11	38	38	38	0	38	38	8100248	6124947	6014891	8174970	106	28415481
12	28415144	14	38	1053838533	37.09	38	38	38	0	38	38	8160780	6117007	5982955	8154402	0	28415481
13	28415130	14	38	1054496453	37.11	38	38	38	0	38	38	8184496	6057552	5995138	8177944	0	28415481
14	28415099	2	38	1054213069	37.10	38	38	38	0	38	38	8181241	6038790	5990961	8204105	2	28415481
15	28415069	14	38	1054634357	37.12	38	38	38	0	38	38	8147036	6103929	5988386	8175718	0	28415481
16	28415034	14	38	1053982661	37.09	38	38	38	0	38	38	8152896	6037738	6025186	8199214	0	28415481
17	28415002	14	38	1054577210	37.11	38	38	38	0	38	38	8140230	6063745	6013867	8197160	0	28415481
18	28414958	14	38	1054225641	37.10	38	38	38	0	38	38	8137464	6120673	6008337	8148484	0	28415481
19	28414924	2	38	1054666982	37.12	38	38	38	0	38	38	8138477	6067762	6026177	8182397	111	28415481
20	28414875	2	38	1054099456	37.10	38	38	38	0	38	38	8123940	6084331	6035746	8170842	16	28415481
21	28414810	14	38	1054331959	37.11	38	38	38	0	38	38	8107984	6121244	6009312	8176270	0	28415481
22	28414756	2	38	1054082984	37.10	38	38	38	0	38	38	8120426	6105757	6017716	8170721	136	28415481
23	28414710	2	38	1054113644	37.10	38	38	38	0	38	38	8116174	6096898	6026508	8174457	673	28415481
24	28414658	2	38	1053391965	37.07	38	38	38	0	38	38	8104851	6120440	6033026	8156292	49	28415481
25	28414596	2	38	1053431358	37.07	38	38	38	0	38	38	8116142	6106346	6043890	8147900	318	28415481
26	28414538	2	38	1051919406	37.02	38	38	38	0	38	38	8117992	6093292	6047814	8154663	777	28415481
27	28414467	2	38	1051943700	37.02	38	38	38	0	38	38	8082696	6121294	6061401	8148193	883	28415481
28	28414401	2	38	1051272254	37.00	38	38	38	0	38	38	8092667	6120825	6060483	8139712	714	28415481
29	28414340	2	38	1050932393	36.99	38	38	38	0	38	38	8094368	6111172	6060737	8146925	1138	28415481
30	28414283	2	38	1050291911	36.96	38	38	38	0	38	38	8073663	6129229	6071673	8137397	2321	28415481
31	28414212	2	38	1050314368	36.96	38	38	38	0	38	38	8088427	6125397	6060438	8138064	1886	28415481
32	28414147	2	38	1049805072	36.95	38	38	38	0	38	38	8101361	6114585	6059168	8138236	797	28415481
33	28414068	2	38	1050194610	36.96	38	38	38	0	38	38	8096315	6118131	6058526	8140447	649	28415481
34	28413983	2	38	1049456366	36.93	38	38	38	0	38	38	8103682	6101793	6076648	8129612	2248	28415481
35	28413923	2	38	1049591311	36.94	38	38	38	0	38	38	8111842	6108146	6076754	8116167	1014	28415481
36	28413847	2	38	1048756055	36.91	38	38	38	0	38	38	8096030	6120197	6062270	8131361	3989	28415481
37	28413780	2	38	1048568149	36.90	38	38	38	0	38	38	8108666	6108924	6071368	8121951	2871	28415481
38	28413730	2	38	1047877214	36.88	38	38	38	0	38	38	8105114	6101297	6092934	8111677	2708	28415481
39	28413664	2	38	1047282904	36.86	38	38	38	0	38	38	8079516	6127832	6085941	8117820	2555	28415481
40	28413600	2	38	1046628224	36.84	38	38	38	0	38	38	8086324	6127725	6080753	8115965	2833	28415481
41	28413538	2	38	1046569615	36.83	38	38	38	0	38	38	8100546	6107295	6079260	8124260	2177	28415481
42	28413469	2	38	1045808989	36.81	38	38	38	0	38	38	8085358	6130035	6078978	8117343	1755	28415481
43	28413408	2	38	1045554822	36.80	38	38	38	0	38	38	8093600	6118383	6082923	8115215	3287	28415481
44	28413345	2	38	1044662693	36.77	38	38	38	0	38	38	8097667	6109790	6080304	8122835	2749	28415481
45	28413262	2	38	1044941549	36.78	38	38	38	0	38	38	8087614	6128296	6076356	8116617	4379	28415481
46	28413196	2	38	1043911319	36.74	38	38	38	0	38	38	8095102	6118803	6085126	8108978	5187	28415481
