column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	23356	2	34	629156	26.94	27	27	28	1	26	29	21837	130	1163	224	2	23356
2	23356	2	34	605484	25.92	25	27	28	3	21	32	1677	279	365	21033	2	23356
3	23356	2	34	461476	19.76	18	18	18	0	18	18	692	15434	378	6849	3	23356
4	23356	2	34	391464	16.76	15	15	15	0	15	15	653	4305	15968	2428	2	23356
5	23356	2	34	529700	22.68	15	25	27	12	2	34	551	640	21437	725	3	23356
6	23356	2	38	389213	16.66	14	14	16	2	11	19	8670	708	13017	958	3	23356
7	23356	2	38	540929	23.16	15	26	28	13	2	38	21178	505	1008	662	3	23356
8	23356	2	38	394169	16.88	14	14	16	2	11	19	4152	439	18032	730	3	23356
9	23356	2	38	425862	18.23	14	16	26	12	2	38	19429	474	2647	803	3	23356
10	23356	2	38	434924	18.62	14	16	26	12	2	38	2275	436	19941	701	3	23356
11	23356	2	38	388911	16.65	15	15	16	1	14	17	1436	12301	8845	771	3	23356
12	23356	2	38	472271	20.22	14	16	28	14	2	38	580	1449	20617	707	3	23356
13	23356	2	38	409189	17.52	14	14	16	2	11	19	826	863	12614	9051	2	23356
14	23356	2	38	412705	17.67	14	14	16	2	11	19	808	18250	1962	2333	3	23356
15	23356	2	38	436721	18.70	14	14	24	10	2	38	654	1867	19858	974	3	23356
16	23356	2	38	407606	17.45	14	14	24	10	2	38	731	883	8126	13613	3	23356
17	23355	2	38	467190	20.00	14	16	27	13	2	38	597	547	20353	1855	3	23356
18	23355	2	38	448251	19.19	14	15	25	11	2	38	639	612	5130	16972	2	23356
19	23355	2	38	397261	17.01	14	16	16	2	11	19	14753	618	2129	5853	2	23356
20	23355	2	38	431896	18.49	14	16	24	10	2	38	2044	491	19520	1298	2	23356
21	23352	2	38	556072	23.81	16	27	28	12	2	38	655	407	21568	719	3	23356
22	23352	2	38	676727	28.98	24	33	36	12	6	38	565	396	21815	573	3	23356
23	23352	2	38	384329	16.46	14	14	16	2	11	19	5837	512	16216	784	3	23356
24	23343	2	38	446072	19.11	14	15	25	11	2	38	20447	512	1838	543	3	23356
25	23343	2	38	595296	25.50	16	27	29	13	2	38	21441	421	885	593	3	23356
26	23343	2	38	378805	16.23	14	15	16	2	11	19	9532	520	12642	646	3	23356
27	23343	2	38	436256	18.69	16	16	25	9	3	38	19698	479	2450	713	3	23356
28	23343	2	38	416117	17.83	16	16	16	0	16	16	3258	446	18917	719	3	23356
29	23341	2	38	392018	16.80	15	16	16	1	14	17	2061	594	11125	9558	3	23356
30	23323	2	38	425539	18.25	14	16	24	10	2	38	864	507	20033	1916	3	23356
31	23320	2	38	435578	18.68	14	16	25	11	2	38	724	496	5464	16633	3	23356
32	23320	2	38	393368	16.87	15	16	16	1	14	17	14439	604	2247	6027	3	23356
33	23320	2	38	381628	16.36	14	16	16	2	11	19	5205	563	15605	1944	3	23356
34	23320	2	38	402324	17.25	15	16	16	1	14	17	18395	658	3254	1010	3	23356
35	23320	2	38	400027	17.15	16	16	16	0	16	16	6661	621	1614	14421	3	23356
36	23320	2	38	421129	18.06	16	16	16	0	16	16	3809	6947	1796	10765	3	23356
37	23320	2	38	500199	21.45	16	16	28	12	2	38	1211	1484	1070	19552	3	23356
38	23320	2	38	418305	17.94	16	16	16	0	16	16	1094	13777	1030	7416	3	23356
39	23320	2	38	412444	17.69	15	16	16	1	14	17	1057	4993	13865	3402	3	23356
40	23319	2	38	507101	21.75	15	24	27	12	2	38	778	851	20628	1059	3	23356
41	23319	2	38	399852	17.15	14	14	16	2	11	19	989	822	11711	9794	3	23356
42	23317	2	38	430037	18.44	14	15	24	10	2	38	805	712	19618	2179	3	23356
43	23317	14	38	532377	22.83	14	24	28	14	14	38	689	552	21161	915	0	23356
44	23317	2	38	383443	16.44	14	14	15	1	13	16	925	682	14746	6963	1	23356
45	23317	2	38	375268	16.09	14	14	15	1	13	16	1111	6923	10179	5101	3	23356
46	23317	2	38	431799	18.52	14	14	25	11	2	38	768	1562	19771	1213	3	23356
47	23317	2	38	372058	15.96	14	14	15	1	13	16	961	11130	10251	972	3	23356
48	23317	2	38	434633	18.64	14	15	24	10	2	38	769	19261	2514	772	1	23356
49	23317	2	38	384899	16.51	14	14	15	1	13	16	761	4274	17583	697	2	23356
50	23317	2	38	371210	15.92	14	14	14	0	14	14	1018	2358	15646	4291	4	23356
51	23316	14	38	389153	16.69	14	14	16	2	14	19	10149	2017	8402	2748	0	23356
52	23315	14	38	417229	17.90	14	14	24	10	14	38	3356	1209	3206	15544	0	23356
53	23315	2	38	407166	17.46	14	14	24	10	2	38	1682	13834	2178	5594	27	23356
54	23314	2	38	420472	18.04	14	15	24	10	2	38	14122	6049	1567	1559	17	23356
55	23312	2	38	420505	18.04	15	15	24	9	2	37	4753	2021	1771	14750	17	23356
56	23296	2	38	525682	22.57	15	25	27	12	2	38	1074	909	1222	20074	17	23356
57	23290	2	38	399186	17.14	15	15	16	1	14	17	11907	1091	1304	8959	29	23356
58	23290	2	38	482254	20.71	15	16	26	11	2	38	19955	781	1106	1423	25	23356
59	23290	2	38	578244	24.83	16	26	30	14	2	38	20919	600	991	769	11	23356
60	23289	2	38	657122	28.22	24	31	36	12	6	38	21124	535	977	642	11	23356
61	23287	2	38	702357	30.16	25	35	37	12	7	38	21187	543	979	566	12	23356
62	23270	2	38	721054	30.99	26	35	38	12	8	38	21280	541	891	546	12	23356
63	23239	2	38	724141	31.16	26	35	38	12	8	38	21311	486	961	468	13	23356
64	23238	2	38	725655	31.23	26	36	38	12	8	38	21357	433	966	469	13	23356
65	23237	2	38	726957	31.28	26	36	38	12	8	38	21398	495	870	460	14	23356
66	23236	2	38	724366	31.17	26	36	38	12	8	38	21382	466	909	467	12	23356
67	23236	2	38	649388	27.95	15	32	36	21	2	38	20737	670	1205	611	13	23356
