column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	27313257	2	34	878406536	32.16	33	33	34	1	32	34	8452539	5787551	4805658	8266319	1190	27313257
2	27313250	2	34	882958576	32.33	33	33	34	1	32	34	8625208	5067214	5677195	7941623	2010	27313257
3	27313240	2	34	884877715	32.40	33	33	34	1	32	34	8324541	5481245	5610551	7893252	3651	27313257
4	27313228	2	34	882355517	32.31	33	33	34	1	32	34	7819631	5728689	5786597	7974651	3660	27313257
5	27313210	2	34	883186873	32.34	33	33	34	1	32	34	7780973	5598339	5921797	8009286	2815	27313257
6	27313205	2	38	992180090	36.33	38	38	38	0	38	38	7830349	5830126	5941281	7709050	2399	27313257
7	27313204	2	38	992585978	36.34	38	38	38	0	38	38	7758822	5624528	6079894	7847686	2274	27313257
8	27313201	2	38	992667930	36.34	38	38	38	0	38	38	7850900	5777396	5841049	7841394	2462	27313257
9	27313193	2	38	992878575	36.35	38	38	38	0	38	38	7724875	5834377	5743120	8009051	1770	27313257
10	27313177	2	38	992928234	36.35	38	38	38	0	38	38	7825664	5830835	5796546	7858118	2014	27313257
11	27313158	2	38	992993308	36.36	38	38	38	0	38	38	7831264	5825304	5753306	7901402	1882	27313257
12	27313135	2	38	993018746	36.36	38	38	38	0	38	38	7893900	5817340	5719049	7880613	2233	27313257
13	27313120	2	38	993695869	36.38	38	38	38	0	38	38	7900739	5752851	5733847	7923666	2017	27313257
14	27313097	2	38	993897911	36.39	38	38	38	0	38	38	7915710	5738448	5724989	7931757	2193	27313257
15	27313065	2	38	993879476	36.39	38	38	38	0	38	38	7879384	5799286	5708629	7923679	2087	27313257
16	27313038	2	38	994043307	36.39	38	38	38	0	38	38	7853095	5752162	5767435	7938190	2156	27313257
17	27313002	2	38	994122337	36.40	38	38	38	0	38	38	7872614	5763252	5754122	7920946	2068	27313257
18	27312964	2	38	993705467	36.38	38	38	38	0	38	38	7852010	5822260	5741256	7895649	1789	27313257
19	27312923	2	38	993954530	36.39	38	38	38	0	38	38	7859730	5775588	5761752	7914238	1615	27313257
20	27312894	2	38	993733493	36.38	38	38	38	0	38	38	7857551	5791901	5771899	7889509	2034	27313257
21	27312856	2	38	993715446	36.38	38	38	38	0	38	38	7841104	5823548	5754522	7891085	2597	27313257
22	27312813	2	38	993647383	36.38	38	38	38	0	38	38	7845413	5811318	5751349	7902519	2214	27313257
23	27312764	2	38	993982711	36.39	38	38	38	0	38	38	7842976	5806856	5763496	7897578	1858	27313257
24	27312714	2	38	993717708	36.38	38	38	38	0	38	38	7831532	5828802	5771589	7878204	2587	27313257
25	27312669	2	38	993668146	36.38	38	38	38	0	38	38	7836514	5821011	5783187	7869613	2344	27313257
26	27312627	2	38	993528126	36.38	38	38	38	0	38	38	7845097	5808044	5792576	7864380	2530	27313257
27	27312582	2	38	993650303	36.38	38	38	38	0	38	38	7805136	5841918	5804461	7858782	2285	27313257
28	27312530	2	38	993387148	36.37	38	38	38	0	38	38	7821746	5833669	5803949	7850240	2926	27313257
29	27312473	2	38	993546897	36.38	38	38	38	0	38	38	7825480	5833284	5799205	7852444	2060	27313257
30	27312416	2	38	993820294	36.39	38	38	38	0	38	38	7803112	5847265	5811130	7848481	2428	27313257
31	27312363	2	38	993619929	36.38	38	38	38	0	38	38	7822207	5836387	5805054	7845799	2916	27313257
32	27312304	2	38	993496660	36.38	38	38	38	0	38	38	7835266	5831662	5794988	7848011	2377	27313257
33	27312262	2	38	993404467	36.37	38	38	38	0	38	38	7824571	5841979	5798070	7844873	2769	27313257
34	27312214	2	38	993239014	36.37	38	38	38	0	38	38	7832132	5826253	5816823	7834102	2904	27313257
35	27312166	2	38	993341748	36.37	38	38	38	0	38	38	7844424	5826949	5818324	7819983	2486	27313257
36	27312124	2	38	992907261	36.35	38	38	38	0	38	38	7834147	5846014	5803354	7825631	2978	27313257
37	27312066	2	38	993051251	36.36	38	38	38	0	38	38	7840571	5829885	5817124	7821864	2622	27313257
38	27312017	2	38	992824331	36.35	38	38	38	0	38	38	7836500	5828985	5833420	7810886	2226	27313257
39	27311975	2	38	992636564	36.34	38	38	38	0	38	38	7808872	5855088	5827208	7818159	2648	27313257
40	27311923	2	38	992517496	36.34	38	38	38	0	38	38	7814737	5853887	5824638	7815597	3064	27313257
41	27311868	2	38	992244120	36.33	38	38	38	0	38	38	7824211	5837633	5820728	7825563	3733	27313257
42	27311827	2	38	992173824	36.33	38	38	38	0	38	38	7809819	5857527	5822951	7819320	2210	27313257
43	27311773	2	38	990646042	36.27	38	38	38	0	38	38	7827763	5846913	5816427	7819966	704	27313257
