column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	82865	2	34	2250358	27.16	27	27	28	1	26	29	80456	258	1717	429	5	82865
2	82865	2	34	2190337	26.43	25	27	32	7	15	34	2753	611	770	78722	9	82865
3	82864	2	34	1610206	19.43	18	18	18	0	18	18	1090	52755	763	28246	10	82865
4	82864	2	34	1411646	17.04	15	15	15	0	15	15	1242	9271	64170	8171	10	82865
5	82864	2	34	1929875	23.29	15	27	27	12	2	34	805	932	79651	1466	10	82865
6	82864	2	38	1347726	16.26	14	14	16	2	11	19	33476	1036	46067	2275	10	82865
7	82864	2	38	1942755	23.45	15	26	28	13	2	38	79265	608	1972	1009	10	82865
8	82864	2	38	1379462	16.65	14	14	16	2	11	19	12573	646	68315	1320	10	82865
9	82864	2	38	1503941	18.15	14	16	26	12	2	38	74343	805	6531	1176	9	82865
10	82864	2	38	1538322	18.56	14	16	26	12	2	38	5307	567	75731	1250	9	82865
11	82864	2	38	1347669	16.26	15	15	16	1	14	17	3531	44809	32873	1642	9	82865
12	82864	2	38	1688068	20.37	14	16	28	14	2	38	940	2752	78022	1141	9	82865
13	82864	2	38	1426714	17.22	14	14	16	2	11	19	1740	1957	46660	32497	10	82865
14	82864	2	38	1456198	17.57	14	14	16	2	11	19	1554	70190	4570	6540	10	82865
15	82864	2	38	1567735	18.92	14	14	26	12	2	38	976	4734	75047	2097	10	82865
16	82864	2	38	1433128	17.29	14	14	16	2	11	19	1262	2080	27499	52014	9	82865
17	82864	2	38	1698802	20.50	14	16	27	13	2	38	849	780	76840	4386	9	82865
18	82864	2	38	1581570	19.09	14	15	25	11	2	38	1104	876	16822	64053	9	82865
19	82864	2	38	1384800	16.71	14	16	16	2	11	19	57854	1093	5475	18433	9	82865
20	82864	2	38	1534605	18.52	14	16	24	10	2	38	4874	706	74188	3087	9	82865
21	82861	2	38	2035775	24.57	16	27	28	12	2	38	944	605	80149	1153	10	82865
22	82861	2	38	2521106	30.43	27	34	36	9	14	38	738	640	80614	860	9	82865
23	82860	2	38	1322111	15.96	14	14	16	2	11	19	20404	932	60088	1427	9	82865
24	82823	2	38	1599236	19.31	14	15	25	11	2	38	77410	675	3803	925	10	82865
25	82823	2	38	2176180	26.28	24	28	33	9	11	38	80275	618	1144	777	9	82865
26	82823	2	38	1309412	15.81	14	15	15	1	13	16	34630	794	46236	1153	10	82865
27	82823	2	38	1544895	18.65	16	16	25	9	3	38	75497	726	5646	945	9	82865
28	82823	2	38	1461437	17.65	16	16	16	0	16	16	9519	661	71473	1160	10	82865
