column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	28780629	2	34	944794737	32.83	33	34	34	1	32	34	8153890	6535262	3998587	9970410	122480	28780629
2	28780611	2	34	950678098	33.03	33	34	34	1	32	34	9087849	5419378	5833114	8440246	24	28780629
3	28780596	18	34	952090663	33.08	33	34	34	1	32	34	8686326	5829467	5794476	8470327	0	28780629
4	28780585	15	34	951085194	33.05	33	34	34	1	32	34	8238550	6068640	5784655	8688740	0	28780629
5	28780579	2	34	951748747	33.07	33	34	34	1	32	34	8072083	5842276	6158905	8705870	1445	28780629
6	28780574	14	38	1072846001	37.28	38	38	38	0	38	38	8219483	6174101	6279139	8107851	0	28780629
7	28780563	14	38	1065623349	37.03	38	38	38	0	38	38	8060724	5793986	6542678	8383175	0	28780629
8	28780556	14	38	1070077317	37.18	38	38	38	0	38	38	8303675	6099002	6271046	8106833	0	28780629
9	28780545	14	38	1072490429	37.26	38	38	38	0	38	38	8088781	6180737	6019711	8491316	0	28780629
10	28780533	14	38	1073014941	37.28	38	38	38	0	38	38	8200976	6255496	6121582	8202479	0	28780629
11	28780513	14	38	1073380268	37.30	38	38	38	0	38	38	8136554	6252983	6035499	8355477	0	28780629
12	28780497	14	38	1073021288	37.28	38	38	38	0	38	38	8270398	6186033	6028336	8295730	0	28780629
13	28780472	14	38	1073336180	37.29	38	38	38	0	38	38	8307662	6105803	6010513	8356494	0	28780629
14	28780439	2	38	1073146794	37.29	38	38	38	0	38	38	8300011	6076336	6058655	8345418	19	28780629
15	28780399	14	38	1073469275	37.30	38	38	38	0	38	38	8252646	6153505	6055224	8319024	0	28780629
16	28780359	2	38	1073023690	37.28	38	38	38	0	38	38	8263249	6102197	6056360	8358552	1	28780629
17	28780323	2	38	1073386543	37.30	38	38	38	0	38	38	8242962	6132126	6083588	8321489	158	28780629
18	28780282	2	38	1072041594	37.25	38	38	38	0	38	38	8229618	6191819	6095771	8262949	125	28780629
19	28780235	2	38	1072223702	37.26	38	38	38	0	38	38	8208919	6148398	6098422	8324457	39	28780629
20	28780190	2	38	1072586763	37.27	38	38	38	0	38	38	8219502	6164557	6117084	8279026	21	28780629
21	28780142	14	38	1073181625	37.29	38	38	38	0	38	38	8200787	6188605	6079852	8310898	0	28780629
22	28780097	2	38	1072962191	37.28	38	38	38	0	38	38	8204632	6180141	6062536	8332778	10	28780629
