column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	28826448	2	34	938097694	32.54	33	34	34	1	32	34	8606819	6486457	5544800	8101208	87164	28826448
2	28826263	2	34	943772966	32.74	33	34	34	1	32	34	8755673	5577218	5806550	8686771	51	28826448
3	28826195	18	34	946530798	32.84	33	34	34	1	32	34	8662556	5850887	5837854	8474898	0	28826448
4	28826148	15	34	945772733	32.81	33	34	34	1	32	34	8290190	6043055	6034202	8458701	0	28826448
5	28826080	15	34	947369174	32.87	33	34	34	1	32	34	8422906	5873884	6183330	8345960	0	28826448
6	28826064	14	38	1067695812	37.04	38	38	38	0	38	38	8305520	6161862	6179589	8179093	0	28826448
7	28826048	2	38	1061891662	36.84	38	38	38	0	38	38	8160469	5981205	6355243	8329117	14	28826448
8	28826035	14	38	1066590443	37.00	38	38	38	0	38	38	8286498	6100937	6123407	8315193	0	28826448
9	28826022	2	38	1068931067	37.08	38	38	38	0	38	38	8133210	6160928	6025107	8506646	131	28826448
10	28826007	14	38	1069374393	37.10	38	38	38	0	38	38	8242036	6182052	6129855	8272064	0	28826448
11	28825989	2	38	1069301707	37.10	38	38	38	0	38	38	8253030	6177505	6080000	8315356	98	28826448
12	28825969	14	38	1068640117	37.07	38	38	38	0	38	38	8322600	6155254	6055448	8292667	0	28826448
13	28825942	14	38	1069299392	37.10	38	38	38	0	38	38	8329730	6122630	6081641	8291941	0	28826448
14	28825916	2	38	1069030685	37.09	38	38	38	0	38	38	8361893	6073694	6053844	8336483	2	28826448
15	28825888	14	38	1069463369	37.10	38	38	38	0	38	38	8310525	6151451	6041088	8322824	0	28826448
16	28825854	14	38	1068786715	37.08	38	38	38	0	38	38	8314380	6088599	6079665	8343210	0	28826448
17	28825818	14	38	1069392376	37.10	38	38	38	0	38	38	8310771	6103148	6061739	8350160	0	28826448
18	28825773	2	38	1069101649	37.09	38	38	38	0	38	38	8291311	6162884	6064072	8307505	1	28826448
19	28825732	2	38	1069581472	37.11	38	38	38	0	38	38	8295624	6121820	6089694	8318487	107	28826448
20	28825702	2	38	1068917051	37.08	38	38	38	0	38	38	8283654	6141300	6093852	8306882	14	28826448
21	28825644	14	38	1069193484	37.09	38	38	38	0	38	38	8280061	6152881	6080933	8311769	0	28826448
22	28825601	2	38	1068940781	37.08	38	38	38	0	38	38	8263318	6163729	6086218	8312193	143	28826448
23	28825551	2	38	1068948076	37.08	38	38	38	0	38	38	8281248	6142659	6086443	8314552	649	28826448
24	28825482	2	38	1068265121	37.06	38	38	38	0	38	38	8252725	6157495	6088933	8326288	41	28826448
25	28825420	2	38	1068280359	37.06	38	38	38	0	38	38	8269939	6157058	6113087	8285069	267	28826448
26	28825368	2	38	1066757474	37.01	38	38	38	0	38	38	8277176	6129477	6105834	8312120	761	28826448
27	28825302	2	38	1066795874	37.01	38	38	38	0	38	38	8243234	6155654	6122782	8302812	820	28826448
28	28825241	2	38	1066116599	36.99	38	38	38	0	38	38	8238024	6168227	6128390	8289932	668	28826448
29	28825183	2	38	1065812998	36.98	38	38	38	0	38	38	8268767	6140403	6116911	8297991	1111	28826448
30	28825112	2	38	1065138554	36.95	38	38	38	0	38	38	8229509	6168347	6133685	8291298	2273	28826448
31	28825057	2	38	1065169533	36.95	38	38	38	0	38	38	8247047	6162661	6133813	8279771	1765	28826448
32	28824991	2	38	1064658984	36.94	38	38	38	0	38	38	8258720	6164872	6123081	8277551	767	28826448
33	28824935	2	38	1065082306	36.95	38	38	38	0	38	38	8247038	6167633	6119032	8290657	575	28826448
34	28824876	2	38	1064363498	36.93	38	38	38	0	38	38	8254414	6161754	6139456	8267057	2195	28826448
35	28824816	2	38	1064480916	36.93	38	38	38	0	38	38	8263558	6152460	6141184	8266668	946	28826448
36	28824756	2	38	1063689281	36.90	38	38	38	0	38	38	8252492	6162173	6125082	8281056	3953	28826448
37	28824694	2	38	1063506834	36.90	38	38	38	0	38	38	8256953	6157962	6146413	8260519	2847	28826448
38	28824643	2	38	1062783288	36.87	38	38	38	0	38	38	8271856	6141874	6148728	8259527	2658	28826448
39	28824582	2	38	1062211269	36.85	38	38	38	0	38	38	8239751	6168399	6139738	8274177	2517	28826448
40	28824530	2	38	1061517192	36.83	38	38	38	0	38	38	8234955	6172996	6153317	8260445	2817	28826448
41	28824477	2	38	1061491161	36.83	38	38	38	0	38	38	8259347	6155432	6142096	8265479	2123	28826448
42	28824413	2	38	1060699504	36.80	38	38	38	0	38	38	8236018	6174390	6138770	8273511	1724	28826448
43	28824351	2	38	1060443696	36.79	38	38	38	0	38	38	8247314	6169198	6140296	8264340	3203	28826448
44	28824276	2	38	1059502014	36.76	38	38	38	0	38	38	8256357	6157458	6139813	8267963	2685	28826448
45	28824194	2	38	1059807182	36.77	38	38	38	0	38	38	8236386	6174177	6140318	8268969	4344	28826448
46	28824125	2	38	1058782240	36.73	38	38	38	0	38	38	8253435	6162476	6145175	8257897	5142	28826448
47	28824039	2	38	1059199680	36.75	38	38	38	0	38	38	8257219	6154300	6147691	8262197	2632	28826448
48	28823952	2	38	1057806291	36.70	38	38	38	0	38	38	8231653	6175551	6136782	8272912	7054	28826448
49	28823862	2	38	1058024042	36.71	38	38	38	0	38	38	8246548	6167670	6157238	8246690	5716	28826448
50	28823776	2	38	1057076573	36.67	38	38	38	0	38	38	8248791	6153409	6151463	8263046	7067	28826448
51	28823691	2	38	1057572536	36.69	38	38	38	0	38	38	8230771	6165444	6151755	8265636	10085	28826448
52	28823593	2	38	1056607326	36.66	38	38	38	0	38	38	8237143	6178778	6154091	8250706	2875	28826448
