column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	48847	2	34	1573166	32.21	33	33	34	1	32	34	13010	13096	12159	10479	103	48847
2	48816	18	34	1584187	32.45	33	33	34	1	32	34	13692	10534	10369	14221	0	48847
3	48800	18	34	1589125	32.56	33	33	34	1	32	34	13293	11011	10752	13744	0	48847
4	48792	15	34	1589421	32.58	33	34	34	1	32	34	13598	11433	10527	13234	0	48847
5	48792	15	34	1595328	32.70	33	34	34	1	32	34	14705	10172	10855	13060	0	48847
6	48792	14	38	1798194	36.85	38	38	38	0	38	38	13560	10498	11031	13703	0	48847
7	48792	14	38	1780796	36.50	37	38	38	1	36	38	13110	10659	11395	13628	0	48847
8	48791	14	38	1787781	36.64	37	38	38	1	36	38	13428	11075	10747	13541	0	48847
9	48790	14	38	1791228	36.71	38	38	38	0	38	38	13263	10870	10583	14074	0	48847
10	48790	14	38	1791554	36.72	38	38	38	0	38	38	13423	10957	11028	13382	0	48847
11	48790	14	38	1790179	36.69	38	38	38	0	38	38	13282	10964	10970	13574	0	48847
12	48790	14	38	1787807	36.64	38	38	38	0	38	38	13490	11179	10517	13604	0	48847
13	48790	14	38	1790303	36.69	38	38	38	0	38	38	13627	10996	10822	13345	0	48847
14	48789	14	38	1791213	36.71	38	38	38	0	38	38	13766	10588	10974	13461	0	48847
15	48789	14	38	1791517	36.72	38	38	38	0	38	38	13898	10993	10608	13290	0	48847
16	48789	14	38	1790939	36.71	38	38	38	0	38	38	13874	10896	10842	13177	0	48847
17	48789	14	38	1791860	36.73	38	38	38	0	38	38	13891	10970	10568	13360	0	48847
18	48789	14	38	1792916	36.75	38	38	38	0	38	38	13422	10721	11295	13351	0	48847
19	48789	14	38	1793126	36.75	38	38	38	0	38	38	13631	10919	11108	13131	0	48847
20	48789	14	38	1793223	36.75	38	38	38	0	38	38	13536	11028	10880	13345	0	48847
21	48789	14	38	1793596	36.76	38	38	38	0	38	38	13594	10992	10661	13542	0	48847
22	48789	14	38	1794173	36.77	38	38	38	0	38	38	13645	11214	10781	13149	0	48847
23	48789	14	38	1793538	36.76	38	38	38	0	38	38	13517	10961	10730	13581	0	48847
24	48789	14	38	1793283	36.76	38	38	38	0	38	38	13598	11092	10593	13506	0	48847
25	48789	14	38	1794267	36.78	38	38	38	0	38	38	13898	11030	10698	13163	0	48847
26	48789	14	38	1790638	36.70	38	38	38	0	38	38	13867	10810	10694	13418	0	48847
27	48789	14	38	1790734	36.70	38	38	38	0	38	38	13602	10990	10993	13204	0	48847
28	48789	14	38	1788735	36.66	38	38	38	0	38	38	13339	11213	10839	13398	0	48847
29	48788	14	38	1787569	36.64	38	38	38	0	38	38	13717	10973	10679	13419	0	48847
30	48788	14	38	1787618	36.64	38	38	38	0	38	38	13508	10969	10961	13350	0	48847
31	48788	14	38	1788969	36.67	38	38	38	0	38	38	13340	11025	11064	13359	0	48847
32	48788	14	38	1787409	36.64	38	38	38	0	38	38	13767	11019	10504	13498	0	48847
33	48787	14	38	1788543	36.66	38	38	38	0	38	38	13570	10746	10723	13748	0	48847
34	48787	14	38	1785942	36.61	38	38	38	0	38	38	13622	10927	11053	13185	0	48847
35	48784	14	38	1787677	36.64	38	38	38	0	38	38	13796	11100	10812	13076	0	48847
36	48781	2	38	1786650	36.63	38	38	38	0	38	38	13594	10884	10780	13522	1	48847
37	48780	14	38	1786224	36.62	38	38	38	0	38	38	13860	10721	10807	13392	0	48847
38	48780	14	38	1784766	36.59	38	38	38	0	38	38	13740	10458	11075	13507	0	48847
39	48780	14	38	1783529	36.56	38	38	38	0	38	38	13525	10880	11177	13198	0	48847
40	48779	14	38	1781722	36.53	38	38	38	0	38	38	13519	11362	10553	13345	0	48847
41	48777	14	38	1783404	36.56	38	38	38	0	38	38	13800	10703	10635	13639	0	48847
42	48776	14	38	1782617	36.55	38	38	38	0	38	38	13740	10576	11012	13448	0	48847
43	48774	2	38	1781427	36.52	38	38	38	0	38	38	13467	10701	11325	13280	1	48847
44	48773	2	38	1778806	36.47	38	38	38	0	38	38	13650	11232	10606	13284	1	48847
45	48772	14	38	1780044	36.50	38	38	38	0	38	38	13788	10918	10770	13296	0	48847
46	48770	2	38	1780123	36.50	38	38	38	0	38	38	13757	10664	10839	13508	2	48847
47	48769	14	38	1780702	36.51	38	38	38	0	38	38	13712	10759	11077	13221	0	48847
48	48768	2	38	1776834	36.43	38	38	38	0	38	38	13624	11012	10622	13508	2	48847
49	48768	2	38	1776886	36.44	38	38	38	0	38	38	13616	11095	10856	13199	2	48847
50	48768	2	38	1775347	36.40	38	38	38	0	38	38	13980	10717	10875	13195	1	48847
51	48766	2	38	1776765	36.43	38	38	38	0	38	38	13733	10677	10771	13582	3	48847
52	48764	14	38	1773926	36.38	38	38	38	0	38	38	13295	11140	10695	13634	0	48847
53	48763	2	38	1769071	36.28	38	38	38	0	38	38	13559	10840	10818	13470	76	48847
54	48761	2	38	1770597	36.31	38	38	38	0	38	38	13555	10504	10993	13691	18	48847
55	48761	2	38	1771516	36.33	38	38	38	0	38	38	13832	10736	10860	13325	8	48847
56	48761	2	38	1771521	36.33	38	38	38	0	38	38	13880	11003	10605	13264	9	48847
57	48761	2	38	1769695	36.29	38	38	38	0	38	38	13724	11073	10768	13182	14	48847
58	48761	2	38	1767571	36.25	38	38	38	0	38	38	13629	11045	10903	13173	11	48847
59	48761	2	38	1767386	36.25	38	38	38	0	38	38	13563	10812	10990	13381	15	48847
60	48760	2	38	1765527	36.21	38	38	38	0	38	38	13839	10822	10408	13688	3	48847
61	48758	2	38	1767154	36.24	38	38	38	0	38	38	13568	10879	10731	13546	34	48847
62	48757	2	38	1757263	36.04	37	38	38	1	36	38	13717	10863	10673	13343	161	48847
63	48754	2	38	1762769	36.16	37	38	38	1	36	38	13843	10713	10645	13525	28	48847
64	48749	2	38	1763565	36.18	38	38	38	0	38	38	13980	10764	10691	13301	13	48847
65	48747	2	38	1762498	36.16	37	38	38	1	36	38	14265	10671	10672	13122	17	48847
66	48742	2	38	1761966	36.15	37	38	38	1	36	38	13869	10620	10946	13289	18	48847
67	48740	2	38	1760410	36.12	37	38	38	1	36	38	13729	10826	10997	13174	14	48847
68	48736	2	38	1760012	36.11	37	38	38	1	36	38	13699	10752	10979	13292	14	48847
69	48731	2	38	1760918	36.14	37	38	38	1	36	38	13685	10785	10817	13438	6	48847
70	48726	2	38	1758500	36.09	37	38	38	1	36	38	13727	10938	10866	13194	1	48847
71	48724	2	38	1756217	36.04	37	38	38	1	36	38	13620	11265	10833	13005	1	48847
72	48720	2	38	1756928	36.06	37	38	38	1	36	38	13643	11031	10542	13503	1	48847
73	48717	13	38	1758463	36.10	37	38	38	1	36	38	13632	10749	10618	13718	0	48847
74	48714	2	38	1754958	36.03	37	38	38	1	36	38	13835	10622	10822	13433	2	48847
75	48712	2	38	1749862	35.92	37	38	38	1	36	38	13857	10967	10774	13112	2	48847
76	48707	2	38	1747749	35.88	37	38	38	1	36	38	13574	10929	10771	13431	2	48847
77	48703	2	38	1748053	35.89	37	38	38	1	36	38	14109	10441	10855	13295	3	48847
78	48699	2	38	1745720	35.85	37	38	38	1	36	38	13847	10332	11176	13343	1	48847
79	48694	2	38	1741946	35.77	37	38	38	1	36	38	13494	10669	11159	13370	2	48847
80	48691	2	38	1736362	35.66	37	38	38	1	36	38	13712	11230	10790	12955	4	48847
81	48687	2	38	1739946	35.74	37	38	38	1	36	38	13741	10781	10680	13483	2	48847
82	48680	2	38	1739163	35.73	37	38	38	1	36	38	13913	10506	10873	13384	4	48847
83	48672	2	38	1738506	35.72	37	38	38	1	36	38	13350	10819	10975	13525	3	48847
84	48661	2	38	1732284	35.60	37	38	38	1	36	38	13617	11188	10567	13284	5	48847
85	48651	2	38	1730490	35.57	37	38	38	1	36	38	13671	10946	10531	13501	2	48847
86	48628	2	38	1733842	35.66	37	38	38	1	36	38	13697	10409	11079	13439	4	48847
87	48617	2	38	1733004	35.65	37	38	38	1	36	38	13786	10602	10799	13426	4	48847
88	48601	2	38	1730285	35.60	37	38	38	1	36	38	13917	10684	10727	13271	2	48847
89	48578	2	38	1725126	35.51	37	38	38	1	36	38	14012	10801	10651	13107	7	48847
90	48552	2	38	1717300	35.37	37	38	38	1	36	38	13804	10891	10847	13007	3	48847
91	48522	2	38	1721983	35.49	37	38	38	1	36	38	13859	10367	11006	13288	2	48847
92	48479	2	38	1719279	35.46	37	38	38	1	36	38	13636	10731	10702	13407	3	48847
93	48427	2	38	1715034	35.41	37	38	38	1	36	38	13710	10781	10568	13365	3	48847
94	48335	2	38	1708825	35.35	37	38	38	1	36	38	13526	10550	10969	13287	3	48847
95	48207	2	38	1702510	35.32	36	38	38	2	33	38	13641	10585	10820	13154	7	48847
96	47921	2	38	1695731	35.39	37	38	38	1	36	38	13562	10579	10397	13380	3	48847
