column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	29138758	2	34	957037304	32.84	33	34	34	1	32	34	8853849	6222117	5219334	8718711	124747	29138758
2	29138709	2	34	962909925	33.05	33	34	34	1	32	34	8970398	5464456	5993698	8710118	39	29138758
3	29138680	18	34	964495787	33.10	33	34	34	1	32	34	8768268	5893500	5852748	8624164	0	29138758
4	29138671	15	34	963684953	33.07	33	34	34	1	32	34	8409793	6054816	6070682	8603380	0	29138758
5	29138665	2	34	964348628	33.10	33	34	34	1	32	34	8333572	5975783	6302431	8525469	1410	29138758
6	29138658	14	38	1086765450	37.30	38	38	38	0	38	38	8389812	6175706	6274512	8298628	0	29138758
7	29138653	14	38	1079650993	37.05	38	38	38	0	38	38	8347562	5990378	6419164	8381549	0	29138758
8	29138644	14	38	1084152765	37.21	38	38	38	0	38	38	8381337	6178144	6177058	8402105	0	29138758
9	29138633	14	38	1086456048	37.29	38	38	38	0	38	38	8261008	6222156	6080433	8575036	0	29138758
10	29138622	14	38	1086950373	37.30	38	38	38	0	38	38	8380686	6205475	6158394	8394067	0	29138758
11	29138595	14	38	1087321075	37.32	38	38	38	0	38	38	8370807	6208049	6114766	8444973	0	29138758
12	29138565	14	38	1086989411	37.30	38	38	38	0	38	38	8431654	6195750	6072186	8438975	0	29138758
13	29138524	14	38	1087277959	37.31	38	38	38	0	38	38	8441855	6148197	6103632	8444840	0	29138758
14	29138504	2	38	1087119578	37.31	38	38	38	0	38	38	8439271	6126070	6090253	8482895	15	29138758
15	29138467	14	38	1087415186	37.32	38	38	38	0	38	38	8410394	6193688	6087697	8446688	0	29138758
16	29138430	2	38	1086979813	37.30	38	38	38	0	38	38	8423926	6122274	6120257	8471968	5	29138758
17	29138382	2	38	1087360644	37.32	38	38	38	0	38	38	8398870	6155609	6117398	8466351	154	29138758
18	29138344	2	38	1085964529	37.27	38	38	38	0	38	38	8403773	6208080	6113702	8412681	108	29138758
19	29138305	2	38	1086152839	37.28	38	38	38	0	38	38	8402569	6156056	6133934	8445702	44	29138758
20	29138252	2	38	1086554322	37.29	38	38	38	0	38	38	8386387	6180852	6145762	8425225	26	29138758
21	29138200	14	38	1087117673	37.31	38	38	38	0	38	38	8373716	6209815	6121228	8433441	0	29138758
22	29138150	2	38	1086906822	37.30	38	38	38	0	38	38	8377552	6201025	6123806	8435758	9	29138758
23	29138106	14	38	1087181845	37.31	38	38	38	0	38	38	8370375	6194179	6135662	8437890	0	29138758
24	29138040	2	38	1086507882	37.29	38	38	38	0	38	38	8355264	6218282	6147002	8417248	244	29138758
25	29137989	2	38	1086605871	37.29	38	38	38	0	38	38	8360273	6212225	6156332	8409035	124	29138758
26	29137922	2	38	1085415180	37.25	38	38	38	0	38	38	8373702	6192997	6161359	8408856	1008	29138758
27	29137862	2	38	1085406681	37.25	38	38	38	0	38	38	8335873	6224547	6175058	8402364	20	29138758
28	29137797	14	38	1084748120	37.23	38	38	38	0	38	38	8342166	6222764	6178174	8394693	0	29138758
29	29137745	2	38	1084764020	37.23	38	38	38	0	38	38	8346906	6212392	6178297	8399494	656	29138758
30	29137675	2	38	1083613838	37.19	38	38	38	0	38	38	8330635	6235032	6186520	8385367	121	29138758
31	29137614	2	38	1084064180	37.20	38	38	38	0	38	38	8344531	6227607	6181081	8382246	2149	29138758
32	29137552	2	38	1083675683	37.19	38	38	38	0	38	38	8362491	6213065	6173680	8385464	2852	29138758
33	29137499	2	38	1083994244	37.20	38	38	38	0	38	38	8343506	6227376	6176062	8389529	1026	29138758
34	29137447	2	38	1083352110	37.18	38	38	38	0	38	38	8358150	6208394	6195892	8371837	3174	29138758
35	29137389	2	38	1083572565	37.19	38	38	38	0	38	38	8357758	6210083	6199879	8368013	1656	29138758
36	29137331	2	38	1082859028	37.16	38	38	38	0	38	38	8349509	6232275	6181181	8371557	2809	29138758
37	29137274	2	38	1082737679	37.16	38	38	38	0	38	38	8356119	6215821	6190287	8372151	2896	29138758
38	29137211	2	38	1081798952	37.13	38	38	38	0	38	38	8354116	6210633	6210295	8360347	1820	29138758
39	29137156	2	38	1081561126	37.12	38	38	38	0	38	38	8330801	6236412	6199017	8367811	3115	29138758
40	29137100	2	38	1080596811	37.09	38	38	38	0	38	38	8340399	6235882	6202095	8356555	2169	29138758
41	29137032	2	38	1080604786	37.09	38	38	38	0	38	38	8347081	6222709	6198045	8367127	2070	29138758
42	29136968	2	38	1079927734	37.06	38	38	38	0	38	38	8333328	6237799	6195284	8369749	808	29138758
43	29136896	2	38	1079881884	37.06	38	38	38	0	38	38	8341927	6231518	6195027	8365180	3244	29138758
44	29136836	2	38	1079222186	37.04	38	38	38	0	38	38	8345129	6222001	6200168	8367771	1767	29138758
