column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	9813	2	34	265042	27.01	27	27	28	1	26	29	8828	84	733	166	2	9813
2	9813	2	34	264306	26.93	25	27	32	7	15	34	843	110	142	8714	4	9813
3	9813	2	34	190339	19.40	18	18	18	0	18	18	208	5644	269	3686	6	9813
4	9813	2	34	167309	17.05	15	15	15	0	15	15	272	1336	6969	1232	4	9813
5	9813	2	34	227519	23.19	15	27	27	12	2	34	179	225	9162	242	5	9813
6	9813	2	38	167714	17.09	14	15	16	2	11	19	3166	151	6213	277	6	9813
7	9813	2	38	234949	23.94	16	26	29	13	2	38	9099	137	365	207	5	9813
8	9813	2	38	169403	17.26	14	14	16	2	11	19	1932	162	7466	247	6	9813
9	9813	2	38	184481	18.80	14	16	26	12	2	38	8470	137	969	231	6	9813
10	9813	2	38	184710	18.82	14	16	26	12	2	38	1022	121	8422	242	6	9813
11	9813	2	38	163666	16.68	15	15	16	1	14	17	563	4975	3980	289	6	9813
12	9813	2	38	200654	20.45	14	16	28	14	2	38	202	666	8716	223	6	9813
13	9813	2	38	175875	17.92	14	14	26	12	2	38	271	248	5470	3819	5	9813
14	9813	2	38	173470	17.68	14	14	16	2	11	19	301	7886	540	1080	6	9813
15	9813	2	38	186881	19.04	14	14	26	12	2	38	286	708	8485	328	6	9813
16	9813	2	38	177673	18.11	14	14	24	10	2	38	252	256	3104	6195	6	9813
17	9812	2	38	201057	20.49	14	16	27	13	2	38	226	134	8549	897	6	9813
18	9812	2	38	195250	19.90	14	15	26	12	2	38	200	153	1963	7490	6	9813
19	9812	2	38	167727	17.09	14	16	16	2	11	19	6116	153	855	2682	6	9813
20	9812	2	38	183419	18.69	15	16	25	10	2	38	892	138	8338	437	7	9813
21	9809	2	38	242601	24.73	16	27	28	12	2	38	221	111	9248	222	7	9813
22	9809	2	38	295920	30.17	27	34	36	9	14	38	171	142	9330	160	6	9813
23	9808	2	38	162578	16.58	14	14	16	2	11	19	2043	150	7371	238	6	9813
24	9785	2	38	190051	19.42	14	15	25	11	2	38	8872	132	562	212	7	9813
25	9785	2	38	256929	26.26	24	28	33	9	11	38	9270	108	219	182	6	9813
26	9785	2	38	158791	16.23	14	15	15	1	13	16	4293	136	5162	188	6	9813
27	9785	2	38	186204	19.03	16	16	25	9	3	38	8579	136	888	175	7	9813
28	9784	2	38	175175	17.90	16	16	16	0	16	16	1405	153	7998	221	7	9813
29	9782	2	38	165178	16.89	15	16	16	1	14	17	878	179	4489	4230	6	9813
30	9769	2	38	181890	18.62	14	16	25	11	2	38	254	137	8680	691	7	9813
31	9769	2	38	184395	18.88	15	16	25	10	2	38	218	141	2062	7343	5	9813
32	9769	2	38	164960	16.89	16	16	16	0	16	16	6092	152	871	2648	6	9813
33	9769	2	38	160653	16.45	14	16	16	2	11	19	2346	170	6574	672	7	9813
34	9769	2	38	169281	17.33	15	16	16	1	14	17	8026	208	1178	350	7	9813
35	9769	2	38	166623	17.06	16	16	16	0	16	16	3072	148	541	6001	7	9813
36	9769	2	38	176993	18.12	16	16	16	0	16	16	1790	2752	659	4561	7	9813
37	9769	2	38	214808	21.99	16	25	28	12	2	38	457	497	368	8441	6	9813
38	9769	2	38	175259	17.94	16	16	16	0	16	16	384	5673	290	3415	7	9813
39	9769	2	38	174016	17.81	15	16	16	1	14	17	423	2130	5790	1420	6	9813
40	9769	2	38	216898	22.20	15	24	28	13	2	38	246	326	8788	402	7	9813
41	9769	2	38	168812	17.28	14	14	16	2	11	19	293	253	5127	4090	6	9813
42	9768	2	38	184313	18.87	14	15	25	11	2	38	237	252	8427	845	7	9813
43	9768	2	38	233861	23.94	14	25	28	14	2	38	283	159	9038	286	2	9813
44	9768	2	38	162641	16.65	14	14	15	1	13	16	258	153	6631	2721	5	9813
45	9768	2	38	157061	16.08	14	14	15	1	13	16	419	2635	4604	2105	5	9813
46	9768	2	38	185250	18.96	14	14	25	11	2	38	239	625	8444	455	5	9813
47	9768	2	38	156091	15.98	14	14	15	1	13	16	263	4613	4527	360	5	9813
48	9768	2	38	183211	18.76	14	15	25	11	2	38	238	8445	778	301	6	9813
49	9768	2	38	159036	16.28	14	14	15	1	13	16	212	1778	7520	252	6	9813
50	9768	14	38	155429	15.91	14	14	14	0	14	14	305	919	6876	1668	0	9813
51	9767	14	38	164078	16.80	14	14	16	2	14	19	4067	766	3705	1229	0	9813
52	9766	14	38	178329	18.26	14	14	24	10	14	38	1174	512	1177	6903	0	9813
53	9766	2	38	171579	17.57	14	14	24	10	2	38	551	5916	691	2586	22	9813
54	9765	2	38	177781	18.21	14	15	24	10	2	38	6113	2578	412	645	17	9813
55	9765	2	38	177899	18.22	15	15	24	9	2	37	2000	700	431	6617	17	9813
56	9746	2	38	227346	23.33	15	26	27	12	2	38	374	285	311	8759	17	9813
57	9722	2	38	166907	17.17	15	15	16	1	14	17	4895	358	347	4096	26	9813
58	9721	2	38	206102	21.20	15	16	26	11	2	38	8647	277	260	513	24	9813
59	9720	2	38	251431	25.87	16	26	34	18	2	38	8978	174	297	254	17	9813
60	9720	2	38	289996	29.83	26	34	36	10	11	38	9119	153	235	197	16	9813
61	9720	2	38	308586	31.75	28	35	38	10	13	38	9131	163	204	205	17	9813
62	9707	2	38	316073	32.56	31	36	38	7	21	38	9112	148	232	198	17	9813
63	9647	2	38	318337	33.00	32	38	38	6	23	38	9087	146	225	172	17	9813
64	9645	2	38	318532	33.03	32	38	38	6	23	38	9107	128	223	170	17	9813
65	9645	2	38	318832	33.06	32	38	38	6	23	38	9097	135	218	178	17	9813
66	9645	2	38	315714	32.73	31	38	38	7	21	38	9082	151	218	177	17	9813
67	9645	2	38	280714	29.10	24	34	38	14	3	38	8863	216	287	261	18	9813
68	9645	2	38	236013	24.47	14	25	34	20	2	38	8458	323	478	369	17	9813
69	9644	2	38	196783	20.40	14	15	25	11	2	38	7961	446	714	506	17	9813
70	9643	2	38	184491	19.13	14	15	25	11	2	38	7570	541	844	671	17	9813
71	9642	2	38	176978	18.35	14	15	24	10	2	38	7032	631	1226	736	17	9813
72	9642	2	38	173675	18.01	14	15	24	10	2	38	6565	716	1493	851	17	9813
73	9641	2	38	171472	17.79	14	15	24	10	2	38	6053	829	1729	1013	17	9813
74	9641	2	38	170352	17.67	14	15	24	10	2	38	5668	853	1930	1172	18	9813
75	9641	2	38	169235	17.55	14	15	24	10	2	38	5384	963	2122	1154	18	9813
76	9641	2	38	167761	17.40	14	14	21	7	4	31	5183	956	2263	1221	18	9813
77	9641	2	38	167804	17.41	14	15	16	2	11	19	5040	1102	2197	1285	17	9813
78	9641	2	38	167499	17.37	14	14	21	7	4	31	4722	1068	2485	1349	17	9813
79	9641	2	38	167097	17.33	14	14	16	2	11	19	4512	1132	2653	1327	17	9813
80	9641	2	38	165024	17.12	14	14	16	2	11	19	4439	1136	2522	1527	17	9813
81	9641	2	38	164734	17.09	14	14	15	1	13	16	4282	1267	2557	1518	17	9813
82	9641	2	38	163956	17.01	14	14	15	1	13	16	4156	1201	2757	1510	17	9813
83	9641	2	38	164240	17.04	14	14	15	1	13	16	3958	1270	2958	1438	17	9813
84	9641	2	38	162450	16.85	13	14	15	2	10	18	3925	1209	3027	1464	16	9813
85	9641	2	38	162189	16.82	13	14	15	2	10	18	3688	1348	3169	1420	16	9813
86	9641	2	38	158828	16.47	13	14	15	2	10	18	3595	1294	3317	1418	17	9813
87	9641	2	38	160369	16.63	13	14	15	2	10	18	3474	1341	3214	1596	16	9813
88	9641	2	38	158549	16.45	13	14	15	2	10	18	3431	1408	3265	1520	17	9813
89	9641	2	38	159651	16.56	13	14	15	2	10	18	3291	1393	3405	1535	17	9813
90	9641	2	38	157433	16.33	13	14	15	2	10	18	3195	1471	3427	1532	16	9813
91	9641	2	38	158540	16.44	13	14	15	2	10	18	3181	1544	3391	1509	16	9813
92	9641	2	38	157345	16.32	13	14	15	2	10	18	3020	1503	3486	1618	14	9813
93	9641	2	38	157234	16.31	13	14	15	2	10	18	3029	1680	3322	1594	16	9813
94	9641	2	38	156196	16.20	13	14	15	2	10	18	3034	1585	3315	1690	17	9813
95	9641	2	38	157591	16.35	13	14	15	2	10	18	3006	1561	3220	1837	17	9813
96	9641	2	38	157288	16.31	13	14	15	2	10	18	3080	1632	3147	1766	16	9813
97	9641	2	38	156813	16.27	13	14	15	2	10	18	3095	1678	3216	1635	17	9813
98	9641	2	38	157161	16.30	13	14	15	2	10	18	3139	1559	3240	1686	17	9813
99	9641	2	38	156053	16.19	13	14	15	2	10	18	3247	1562	3068	1748	16	9813
100	9641	2	38	156299	16.21	13	14	15	2	10	18	3191	1574	3150	1713	13	9813
101	9641	2	38	156713	16.25	13	14	15	2	10	18	3249	1688	3004	1685	15	9813
102	9641	2	38	156633	16.25	13	14	15	2	10	18	3196	1591	3209	1630	15	9813
103	9641	2	38	156119	16.19	13	14	15	2	10	18	3463	1572	3028	1561	17	9813
104	9641	2	38	156177	16.20	13	14	15	2	10	18	3411	1526	3031	1657	16	9813
105	9641	2	38	156319	16.21	13	14	15	2	10	18	3493	1532	2951	1648	17	9813
106	9641	2	38	155357	16.11	13	14	15	2	10	18	3533	1594	2948	1550	16	9813
107	9641	2	38	155970	16.18	13	14	15	2	10	18	3490	1509	3083	1543	16	9813
108	9641	2	38	155263	16.10	13	14	14	1	12	15	3603	1494	2948	1580	16	9813
109	9641	2	38	156403	16.22	13	14	15	2	10	18	3719	1605	2771	1530	16	9813
110	9641	2	38	156487	16.23	13	14	15	2	10	18	3492	1644	2972	1517	16	9813
111	9641	2	38	155540	16.13	13	14	14	1	12	15	3493	1569	2938	1625	16	9813
112	9641	2	38	155888	16.17	13	14	15	2	10	18	3408	1607	3040	1571	15	9813
113	9641	2	38	155592	16.14	13	14	14	1	12	15	3364	1634	2997	1630	16	9813
114	9641	2	38	155725	16.15	13	14	14	1	12	15	3299	1599	3095	1633	15	9813
115	9641	2	38	154715	16.05	13	14	14	1	12	15	3342	1598	3069	1616	16	9813
116	9641	2	38	155446	16.12	13	14	14	1	12	15	3232	1690	3055	1648	16	9813
117	9641	2	38	155337	16.11	13	14	14	1	12	15	3185	1697	3124	1619	16	9813
118	9641	2	38	155466	16.13	13	14	14	1	12	15	3356	1535	3070	1664	16	9813
119	9641	2	38	154937	16.07	13	14	14	1	12	15	3127	1672	3183	1643	16	9813
120	9641	2	38	155030	16.08	13	14	14	1	12	15	3115	1666	3124	1720	16	9813
121	9641	2	38	154247	16.00	13	14	14	1	12	15	3222	1641	3090	1665	23	9813
122	9641	2	38	155044	16.08	13	14	14	1	12	15	3192	1672	3094	1660	23	9813
123	9641	2	38	154836	16.06	13	14	14	1	12	15	3102	1667	3189	1666	17	9813
124	9641	2	38	155273	16.11	13	14	14	1	12	15	3167	1654	3185	1618	17	9813
125	9641	2	38	154152	15.99	13	14	14	1	12	15	3203	1697	3053	1671	17	9813
126	9641	2	38	153744	15.95	13	14	14	1	12	15	3563	1329	3317	1416	16	9813
