column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	41806	2	34	1349714	32.29	33	33	34	1	32	34	11430	9477	8470	12321	108	41806
2	41805	18	34	1359957	32.53	33	33	34	1	32	34	11888	8771	9812	11334	0	41806
3	41800	18	34	1364080	32.63	33	33	34	1	32	34	11463	9354	9995	10988	0	41806
4	41789	15	34	1363709	32.63	33	34	34	1	32	34	10855	9863	9842	11229	0	41806
5	41785	15	34	1367363	32.72	33	34	34	1	32	34	11349	9138	10157	11141	0	41806
6	41784	14	38	1542510	36.92	38	38	38	0	38	38	11059	9334	10375	11016	0	41806
7	41782	14	38	1527822	36.57	37	38	38	1	36	38	10861	9329	10412	11180	0	41806
8	41782	14	38	1533492	36.70	37	38	38	1	36	38	11192	10029	9619	10942	0	41806
9	41782	14	38	1534859	36.73	38	38	38	0	38	38	10715	10184	9599	11284	0	41806
10	41782	14	38	1536545	36.78	38	38	38	0	38	38	11136	9997	9416	11233	0	41806
11	41782	14	38	1534863	36.74	38	38	38	0	38	38	11114	9895	9656	11117	0	41806
12	41782	14	38	1533599	36.70	38	38	38	0	38	38	10881	10280	9329	11292	0	41806
13	41782	14	38	1535078	36.74	38	38	38	0	38	38	11224	9757	9455	11346	0	41806
14	41782	14	38	1535967	36.76	38	38	38	0	38	38	11399	9358	9782	11243	0	41806
15	41782	14	38	1536007	36.76	38	38	38	0	38	38	11291	9576	9694	11221	0	41806
16	41780	14	38	1535195	36.74	38	38	38	0	38	38	11391	9701	9802	10886	0	41806
17	41779	14	38	1537855	36.81	38	38	38	0	38	38	11352	9961	9695	10771	0	41806
18	41779	14	38	1536772	36.78	38	38	38	0	38	38	11028	9791	9925	11035	0	41806
19	41779	14	38	1537729	36.81	38	38	38	0	38	38	10880	9810	9993	11096	0	41806
20	41779	14	38	1537306	36.80	38	38	38	0	38	38	11071	9874	9619	11215	0	41806
21	41779	14	38	1537773	36.81	38	38	38	0	38	38	11013	9913	9425	11428	0	41806
22	41778	14	38	1539082	36.84	38	38	38	0	38	38	11236	9784	9537	11221	0	41806
23	41778	14	38	1538959	36.84	38	38	38	0	38	38	11082	9980	9537	11179	0	41806
24	41778	14	38	1538528	36.83	38	38	38	0	38	38	11351	9825	9450	11152	0	41806
25	41777	14	38	1538144	36.82	38	38	38	0	38	38	11315	9530	9787	11145	0	41806
26	41777	14	38	1534578	36.73	38	38	38	0	38	38	11508	9263	9722	11284	0	41806
27	41777	14	38	1534004	36.72	38	38	38	0	38	38	11029	9727	9891	11130	0	41806
28	41777	14	38	1533010	36.70	38	38	38	0	38	38	10917	9910	9725	11225	0	41806
29	41777	14	38	1533413	36.70	38	38	38	0	38	38	10988	9835	9769	11185	0	41806
30	41777	2	38	1531888	36.67	38	38	38	0	38	38	11141	9604	9790	11240	2	41806
31	41777	14	38	1532986	36.69	38	38	38	0	38	38	10937	10077	9495	11268	0	41806
32	41777	14	38	1530707	36.64	38	38	38	0	38	38	11412	9729	9373	11263	0	41806
33	41777	14	38	1533274	36.70	38	38	38	0	38	38	11326	9676	9566	11209	0	41806
34	41777	14	38	1531874	36.67	38	38	38	0	38	38	11183	9636	9934	11024	0	41806
35	41777	14	38	1533131	36.70	38	38	38	0	38	38	11357	9980	9524	10916	0	41806
36	41777	14	38	1531130	36.65	38	38	38	0	38	38	10903	9901	9582	11391	0	41806
37	41777	14	38	1530826	36.64	38	38	38	0	38	38	11211	9694	9729	11143	0	41806
