column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	30084352	2	34	966688480	32.13	33	33	34	1	32	34	9289214	6371815	5227277	9194783	1263	30084352
2	30084343	2	34	971821662	32.30	33	33	34	1	32	34	9548297	5509787	6240196	8783876	2187	30084352
3	30084314	2	34	974165460	32.38	33	33	34	1	32	34	9191160	6002971	6162349	8723749	4085	30084352
4	30084301	2	34	971351861	32.29	33	33	34	1	32	34	8609319	6297818	6380673	8792400	4091	30084352
5	30084270	2	34	972565119	32.33	33	33	34	1	32	34	8541661	6171244	6561457	8806773	3135	30084352
6	30084267	2	38	1092697201	36.32	38	38	38	0	38	38	8609334	6417836	6593402	8461101	2594	30084352
7	30084261	2	38	1093168368	36.34	38	38	38	0	38	38	8536871	6195646	6733363	8615926	2455	30084352
8	30084257	2	38	1093226298	36.34	38	38	38	0	38	38	8640241	6380750	6449137	8611457	2672	30084352
9	30084250	2	38	1093207753	36.34	38	38	38	0	38	38	8497466	6441913	6324721	8818210	1940	30084352
10	30084238	2	38	1093308600	36.34	38	38	38	0	38	38	8616783	6422181	6383247	8659813	2214	30084352
11	30084220	2	38	1093324294	36.34	38	38	38	0	38	38	8610293	6425958	6334457	8711470	2042	30084352
12	30084207	2	38	1093435945	36.35	38	38	38	0	38	38	8690828	6411771	6288603	8690586	2419	30084352
13	30084182	2	38	1094135580	36.37	38	38	38	0	38	38	8702917	6340147	6310921	8727981	2216	30084352
14	30084155	2	38	1094303476	36.37	38	38	38	0	38	38	8726129	6318889	6301035	8735720	2382	30084352
15	30084109	2	38	1094311132	36.38	38	38	38	0	38	38	8670018	6393943	6288968	8728909	2271	30084352
16	30084073	2	38	1094496055	36.38	38	38	38	0	38	38	8649584	6336408	6349543	8746197	2341	30084352
17	30084033	2	38	1094595074	36.38	38	38	38	0	38	38	8661777	6356636	6335572	8727774	2274	30084352
