column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	29018727	2	34	944675983	32.55	33	34	34	1	32	34	8874228	6146202	5205142	8704847	88308	29018727
2	29018532	2	34	950338442	32.75	33	34	34	1	32	34	8890995	5484074	5946740	8696670	53	29018727
3	29018504	18	34	953028372	32.84	33	34	34	1	32	34	8708940	5891149	5828477	8589938	0	29018727
4	29018480	15	34	952242387	32.82	33	34	34	1	32	34	8312871	6014473	6075094	8616042	0	29018727
5	29018453	15	34	953791233	32.87	33	34	34	1	32	34	8234341	5972642	6312502	8498968	0	29018727
6	29018440	14	38	1074801236	37.04	38	38	38	0	38	38	8322909	6180461	6296629	8218441	0	29018727
7	29018430	2	38	1068993866	36.84	38	38	38	0	38	38	8288120	6005197	6413456	8311643	14	29018727
8	29018420	14	38	1073664194	37.00	38	38	38	0	38	38	8316424	6193029	6177048	8331919	0	29018727
9	29018412	2	38	1075975203	37.08	38	38	38	0	38	38	8193359	6239826	6088950	8496109	168	29018727
10	29018388	14	38	1076391160	37.09	38	38	38	0	38	38	8312658	6214988	6157118	8333624	0	29018727
11	29018365	2	38	1076358716	37.09	38	38	38	0	38	38	8310927	6216391	6107338	8383619	90	29018727
12	29018329	14	38	1075674215	37.07	38	38	38	0	38	38	8372893	6201577	6075504	8368355	0	29018727
13	29018292	14	38	1076374810	37.09	38	38	38	0	38	38	8391854	6148250	6089157	8389031	0	29018727
14	29018255	2	38	1076056476	37.08	38	38	38	0	38	38	8389776	6129028	6084916	8414534	1	29018727
15	29018208	14	38	1076455497	37.10	38	38	38	0	38	38	8353078	6197137	6083202	8384791	0	29018727
16	29018170	14	38	1075785447	37.07	38	38	38	0	38	38	8361553	6129112	6122776	8404729	0	29018727
17	29018124	14	38	1076421515	37.09	38	38	38	0	38	38	8342973	6164290	6116065	8394796	0	29018727
18	29018086	14	38	1076034394	37.08	38	38	38	0	38	38	8338964	6217615	6108674	8352833	0	29018727
19	29018052	2	38	1076535293	37.10	38	38	38	0	38	38	8343843	6166462	6122786	8384863	98	29018727
20	29017997	2	38	1075904588	37.08	38	38	38	0	38	38	8326101	6190305	6132155	8369423	13	29018727
21	29017932	14	38	1076124575	37.08	38	38	38	0	38	38	8316555	6214532	6113969	8372876	0	29018727
22	29017882	2	38	1075870564	37.08	38	38	38	0	38	38	8324038	6202607	6121036	8370054	147	29018727
23	29017835	2	38	1075904216	37.08	38	38	38	0	38	38	8317490	6201109	6120195	8378344	697	29018727
24	29017778	2	38	1075144967	37.05	38	38	38	0	38	38	8306030	6215624	6137160	8358917	47	29018727
25	29017715	2	38	1075139002	37.05	38	38	38	0	38	38	8314522	6211298	6147225	8344362	308	29018727
26	29017657	2	38	1073584471	37.00	38	38	38	0	38	38	8318594	6188876	6158237	8351179	771	29018727
27	29017590	2	38	1073591119	37.00	38	38	38	0	38	38	8276236	6228999	6162232	8349299	824	29018727
28	29017529	2	38	1072873555	36.97	38	38	38	0	38	38	8286293	6224752	6168869	8336843	772	29018727
29	29017461	2	38	1072559814	36.96	38	38	38	0	38	38	8287583	6215528	6169152	8343999	1199	29018727
30	29017412	2	38	1071831001	36.94	38	38	38	0	38	38	8273076	6233172	6175879	8332942	2343	29018727
31	29017335	2	38	1071829202	36.94	38	38	38	0	38	38	8284469	6220224	6174431	8336301	1910	29018727
32	29017259	2	38	1071322346	36.92	38	38	38	0	38	38	8301252	6215073	6165966	8334151	817	29018727
33	29017181	2	38	1071725705	36.93	38	38	38	0	38	38	8293921	6224234	6166418	8331986	622	29018727
34	29017103	2	38	1070957269	36.91	38	38	38	0	38	38	8301434	6206561	6184280	8322460	2368	29018727
35	29017029	2	38	1071068824	36.91	38	38	38	0	38	38	8307707	6212404	6184277	8311586	1055	29018727
36	29016980	2	38	1070200289	36.88	38	38	38	0	38	38	8297969	6227041	6164316	8323540	4114	29018727
37	29016903	2	38	1069976107	36.87	38	38	38	0	38	38	8308460	6212148	6177048	8316334	2913	29018727
38	29016837	2	38	1069272674	36.85	38	38	38	0	38	38	8299825	6204945	6204778	8304451	2838	29018727
39	29016772	2	38	1068669735	36.83	38	38	38	0	38	38	8275047	6235496	6191668	8311940	2621	29018727
40	29016698	2	38	1067895707	36.80	38	38	38	0	38	38	8284012	6231194	6191163	8307262	3067	29018727
41	29016637	2	38	1067889532	36.80	38	38	38	0	38	38	8292956	6220290	6188888	8312187	2316	29018727
42	29016568	2	38	1067033899	36.77	38	38	38	0	38	38	8275234	6236674	6187232	8315683	1745	29018727
43	29016495	2	38	1066799021	36.77	38	38	38	0	38	38	8288869	6223503	6186028	8314800	3295	29018727
44	29016438	2	38	1065765200	36.73	38	38	38	0	38	38	8291242	6217712	6191677	8313059	2748	29018727
45	29016369	2	38	1066118962	36.74	38	38	38	0	38	38	8275455	6235325	6188966	8312087	4536	29018727
46	29016296	2	38	1065003554	36.70	38	38	38	0	38	38	8286254	6219349	6193783	8311394	5516	29018727
47	29016235	2	38	1065440865	36.72	38	38	38	0	38	38	8283010	6218612	6202844	8308955	2814	29018727
48	29016154	2	38	1063954922	36.67	38	38	38	0	38	38	8268567	6247278	6191022	8301879	7408	29018727
49	29016091	2	38	1064187292	36.68	38	38	38	0	38	38	8283334	6229169	6197015	8300728	5845	29018727
50	29016022	2	38	1063234332	36.64	38	38	38	0	38	38	8283493	6215604	6204238	8305375	7312	29018727
