column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	35317	2	34	955919	27.07	27	27	28	1	26	29	34119	119	833	244	2	35317
2	35316	2	34	918400	26.01	25	27	28	3	21	32	1456	312	379	33167	2	35317
3	35315	2	34	687941	19.48	18	18	18	0	18	18	596	23053	344	11319	3	35317
4	35315	2	34	599895	16.99	15	15	15	0	15	15	691	4612	26284	3725	3	35317
5	35315	2	34	814906	23.08	15	27	27	12	2	34	445	659	33582	626	3	35317
6	35315	2	38	576098	16.31	14	14	16	2	11	19	15633	555	18326	798	3	35317
7	35315	2	38	844796	23.92	16	26	29	13	2	38	33676	363	788	485	3	35317
8	35315	2	38	581073	16.45	14	14	16	2	11	19	6726	453	27495	638	3	35317
9	35315	2	38	639432	18.11	14	16	16	2	11	19	31487	352	2940	533	3	35317
10	35315	2	38	650492	18.42	14	16	26	12	2	38	2574	332	31842	564	3	35317
11	35315	2	38	578651	16.39	15	15	16	1	14	17	1652	19667	13286	707	3	35317
12	35315	2	38	711354	20.14	14	15	28	14	2	38	528	1358	32905	521	3	35317
13	35315	2	38	609053	17.25	14	14	16	2	11	19	869	995	20445	13003	3	35317
14	35315	2	38	628652	17.80	14	14	24	10	2	38	725	29885	2001	2701	3	35317
15	35315	2	38	668800	18.94	14	14	26	12	2	38	490	2165	31703	954	3	35317
16	35315	2	38	609531	17.26	14	14	16	2	11	19	683	985	12645	20999	3	35317
17	35315	2	38	725937	20.56	14	16	27	13	2	38	455	401	32565	1891	3	35317
18	35314	2	38	672017	19.03	14	15	25	11	2	38	638	466	7406	26801	3	35317
19	35314	2	38	590570	16.72	14	16	16	2	11	19	24397	573	2586	7755	3	35317
20	35314	2	38	651099	18.44	14	16	24	10	2	38	2490	368	31145	1308	3	35317
21	35314	2	38	861326	24.39	16	27	28	12	2	38	501	316	33920	574	3	35317
22	35312	2	38	1062879	30.10	27	34	36	9	14	38	453	400	34033	423	3	35317
23	35311	2	38	566872	16.05	14	14	16	2	11	19	9368	426	24820	695	2	35317
24	35281	2	38	680324	19.28	14	15	25	11	2	38	32702	348	1785	443	3	35317
25	35281	2	38	922436	26.15	24	27	31	7	14	38	33942	310	619	407	3	35317
26	35281	2	38	561365	15.91	14	15	15	1	13	16	14952	391	19374	561	3	35317
27	35281	2	38	657256	18.63	16	16	25	9	3	38	31868	386	2475	549	3	35317
28	35281	2	38	623903	17.68	16	16	16	0	16	16	4116	407	30212	543	3	35317
29	35280	2	38	581852	16.49	15	15	16	1	14	17	2601	486	17952	14238	3	35317
30	35272	2	38	646286	18.32	14	16	24	10	2	38	714	369	32098	2088	3	35317
31	35272	2	38	651451	18.47	14	16	24	10	2	38	601	407	7888	26373	3	35317
32	35272	2	38	588509	16.68	15	16	16	1	14	17	23555	472	2834	8408	3	35317
33	35272	2	38	567802	16.10	14	15	16	2	11	19	7424	473	25036	2336	3	35317
34	35272	2	38	606047	17.18	15	16	16	1	14	17	29623	570	4130	946	3	35317
35	35272	2	38	598429	16.97	16	16	16	0	16	16	10046	508	1909	22806	3	35317
36	35272	2	38	635168	18.01	16	16	16	0	16	16	5624	11374	2005	16266	3	35317
37	35272	2	38	759758	21.54	16	16	28	12	2	38	1074	1823	876	31496	3	35317
38	35272	2	38	628187	17.81	16	16	16	0	16	16	1084	22645	878	10662	3	35317
39	35272	2	38	623570	17.68	15	16	16	1	14	17	992	7380	22591	4306	3	35317
40	35272	2	38	787314	22.32	15	25	28	13	2	38	611	833	33014	811	3	35317
41	35272	2	38	593157	16.82	14	14	16	2	11	19	911	901	19199	14258	3	35317
42	35272	2	38	659541	18.70	14	15	25	11	2	38	590	593	31754	2332	3	35317
43	35272	14	38	841893	23.87	14	25	28	14	14	38	522	405	33649	696	0	35317
44	35272	14	38	574860	16.30	14	14	14	0	14	14	759	631	23876	10006	0	35317
45	35272	2	38	557988	15.82	14	14	15	1	13	16	1140	10736	16212	7182	2	35317
46	35272	2	38	656984	18.63	14	14	25	11	2	38	686	1769	31504	1311	2	35317
47	35272	2	38	550156	15.60	14	14	14	0	14	14	833	17705	15658	1073	3	35317
48	35272	2	38	652371	18.50	14	15	24	10	2	38	676	31248	2699	648	1	35317
49	35271	2	38	574659	16.29	14	14	15	1	13	16	613	6065	27991	599	3	35317
50	35271	2	38	556681	15.78	14	14	14	0	14	14	1077	3264	24645	6282	3	35317
51	35271	14	38	582898	16.53	14	14	15	1	14	16	16122	2717	12820	3612	0	35317
52	35271	14	38	622102	17.64	14	14	24	10	14	38	4783	1358	4487	24643	0	35317
53	35267	2	38	612572	17.37	14	14	24	10	2	38	2087	22407	2631	8117	25	35317
54	35267	2	38	632829	17.94	14	15	24	10	2	38	22969	8928	1533	1824	13	35317
55	35267	2	38	633012	17.95	15	15	16	1	14	17	7399	2777	1785	23293	13	35317
56	35229	2	38	801481	22.75	15	25	27	12	2	38	1068	732	1055	32360	14	35317
