column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	29797	2	34	926078	31.08	32	33	34	2	29	34	8309	7101	7903	6402	82	29797
2	29797	18	34	936740	31.44	32	33	34	2	29	34	8824	6692	7919	6362	0	29797
3	29797	18	34	946570	31.77	32	33	34	2	29	34	8455	7352	7746	6244	0	29797
4	29786	15	34	953737	32.02	32	33	34	2	29	34	9430	6976	6893	6487	0	29797
5	29780	15	34	963084	32.34	33	33	34	1	32	34	10055	5888	6915	6922	0	29797
6	29780	14	38	1082418	36.35	37	38	38	1	36	38	9885	5940	6952	7003	0	29797
7	29780	14	38	1074334	36.08	37	38	38	1	36	38	9637	6209	7092	6842	0	29797
8	29780	14	38	1080801	36.29	37	38	38	1	36	38	9988	6557	6259	6976	0	29797
9	29780	14	38	1084834	36.43	38	38	38	0	38	38	9777	6395	6569	7039	0	29797
10	29780	14	38	1088165	36.54	38	38	38	0	38	38	10000	6420	6625	6735	0	29797
11	29780	14	38	1088333	36.55	38	38	38	0	38	38	9672	6407	6686	7015	0	29797
12	29780	14	38	1087542	36.52	38	38	38	0	38	38	9791	6601	6440	6948	0	29797
13	29780	14	38	1088428	36.55	38	38	38	0	38	38	9936	6237	6629	6978	0	29797
14	29780	14	38	1090133	36.61	38	38	38	0	38	38	9978	5978	6721	7103	0	29797
15	29779	14	38	1090869	36.63	38	38	38	0	38	38	10076	6126	6611	6966	0	29797
16	29779	14	38	1089615	36.59	38	38	38	0	38	38	10132	6204	6641	6802	0	29797
17	29779	14	38	1090198	36.61	38	38	38	0	38	38	10067	6460	6420	6832	0	29797
18	29779	14	38	1091433	36.65	38	38	38	0	38	38	9741	6278	6815	6945	0	29797
19	29779	14	38	1091658	36.66	38	38	38	0	38	38	9743	6366	6788	6882	0	29797
20	29779	14	38	1091104	36.64	38	38	38	0	38	38	9858	6570	6565	6786	0	29797
21	29779	14	38	1092832	36.70	38	38	38	0	38	38	9675	6508	6417	7179	0	29797
22	29779	14	38	1093080	36.71	38	38	38	0	38	38	9773	6578	6478	6950	0	29797
23	29779	14	38	1092996	36.70	38	38	38	0	38	38	9809	6500	6357	7113	0	29797
24	29779	14	38	1092226	36.68	38	38	38	0	38	38	10046	6541	6333	6859	0	29797
25	29779	14	38	1092534	36.69	38	38	38	0	38	38	9985	6523	6530	6741	0	29797
26	29779	14	38	1090630	36.62	38	38	38	0	38	38	10070	6294	6627	6788	0	29797
27	29779	14	38	1090746	36.63	38	38	38	0	38	38	9733	6460	6713	6873	0	29797
28	29778	14	38	1089437	36.59	38	38	38	0	38	38	9799	6410	6566	7003	0	29797
29	29778	14	38	1088347	36.55	38	38	38	0	38	38	9766	6524	6520	6968	0	29797
30	29777	14	38	1087772	36.53	38	38	38	0	38	38	9815	6526	6547	6889	0	29797
