column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	30524659	2	34	981455659	32.15	33	33	34	1	32	34	9197596	6627181	5515207	9183380	1295	30524659
2	30524649	2	34	986484431	32.32	33	33	34	1	32	34	9637266	5734080	6291598	8859498	2207	30524659
3	30524643	2	34	988645937	32.39	33	33	34	1	32	34	9345518	6107288	6312134	8755585	4118	30524659
4	30524631	2	34	985622107	32.29	33	33	34	1	32	34	8756240	6432162	6456955	8875163	4111	30524659
5	30524604	2	34	986779729	32.33	33	33	34	1	32	34	8793878	6203348	6555312	8968903	3163	30524659
6	30524597	2	38	1108627930	36.32	38	38	38	0	38	38	8764242	6519242	6598296	8640143	2674	30524659
7	30524589	2	38	1108962769	36.33	38	38	38	0	38	38	8646007	6272909	6762452	8840682	2539	30524659
8	30524582	2	38	1108871569	36.33	38	38	38	0	38	38	8811035	6387752	6525872	8797181	2742	30524659
9	30524576	2	38	1109203413	36.34	38	38	38	0	38	38	8648751	6483129	6402765	8987934	1997	30524659
10	30524572	2	38	1109327736	36.34	38	38	38	0	38	38	8743587	6499457	6468294	8810937	2297	30524659
11	30524562	2	38	1109521840	36.35	38	38	38	0	38	38	8751606	6494733	6417314	8858789	2120	30524659
12	30524552	2	38	1109699816	36.35	38	38	38	0	38	38	8824317	6473684	6384592	8839432	2527	30524659
13	30524532	2	38	1110215653	36.37	38	38	38	0	38	38	8837527	6415391	6399165	8870194	2255	30524659
14	30524508	2	38	1110470668	36.38	38	38	38	0	38	38	8865972	6378961	6384201	8892901	2473	30524659
15	30524476	2	38	1110575231	36.38	38	38	38	0	38	38	8821248	6453360	6367424	8880083	2361	30524659
16	30524457	2	38	1110637933	36.39	38	38	38	0	38	38	8786540	6407462	6425870	8902125	2460	30524659
17	30524424	2	38	1110692741	36.39	38	38	38	0	38	38	8815717	6412544	6412269	8881551	2343	30524659
18	30524395	2	38	1110217265	36.37	38	38	38	0	38	38	8780330	6472698	6401357	8868001	2009	30524659
19	30524359	2	38	1110512567	36.38	38	38	38	0	38	38	8792226	6435865	6425989	8868441	1838	30524659
20	30524323	2	38	1110371961	36.38	38	38	38	0	38	38	8790297	6450148	6435929	8845704	2245	30524659
21	30524280	2	38	1110442009	36.38	38	38	38	0	38	38	8772566	6483051	6424709	8841061	2893	30524659
22	30524235	2	38	1110313953	36.37	38	38	38	0	38	38	8771546	6475066	6412116	8863047	2460	30524659
23	30524193	2	38	1110670014	36.39	38	38	38	0	38	38	8777468	6458145	6424289	8862186	2105	30524659
24	30524150	2	38	1110412832	36.38	38	38	38	0	38	38	8758808	6484649	6438465	8839319	2909	30524659
25	30524111	2	38	1110451550	36.38	38	38	38	0	38	38	8769594	6479754	6453964	8818175	2624	30524659
26	30524076	2	38	1110301044	36.37	38	38	38	0	38	38	8780572	6457126	6462017	8821547	2814	30524659
27	30524025	2	38	1110503138	36.38	38	38	38	0	38	38	8743971	6487911	6471758	8817810	2575	30524659
28	30523980	2	38	1110191664	36.37	38	38	38	0	38	38	8745642	6497939	6474313	8802783	3303	30524659
29	30523921	2	38	1110360318	36.38	38	38	38	0	38	38	8756361	6485950	6470780	8808479	2351	30524659
30	30523860	2	38	1110667404	36.39	38	38	38	0	38	38	8739851	6502027	6481913	8797315	2754	30524659
31	30523820	2	38	1110477017	36.38	38	38	38	0	38	38	8751139	6501876	6475106	8792432	3267	30524659
32	30523766	2	38	1110323645	36.38	38	38	38	0	38	38	8773753	6488197	6463212	8795955	2649	30524659
33	30523719	2	38	1110304890	36.38	38	38	38	0	38	38	8750657	6495263	6467369	8807285	3145	30524659
34	30523661	2	38	1110167302	36.37	38	38	38	0	38	38	8761925	6491186	6484911	8782365	3274	30524659
35	30523605	2	38	1110281346	36.37	38	38	38	0	38	38	8777100	6485588	6487521	8770600	2796	30524659
36	30523538	2	38	1109872383	36.36	38	38	38	0	38	38	8764867	6504034	6471454	8779823	3360	30524659
37	30523482	2	38	1109944600	36.36	38	38	38	0	38	38	8770288	6493428	6489397	8767408	2961	30524659
38	30523426	2	38	1109737254	36.36	38	38	38	0	38	38	8772904	6481192	6511335	8755485	2510	30524659
39	30523362	2	38	1109465798	36.35	38	38	38	0	38	38	8747764	6508371	6500495	8763738	2994	30524659
40	30523282	2	38	1109369098	36.35	38	38	38	0	38	38	8743940	6512401	6503235	8760239	3467	30524659
41	30523218	2	38	1109071511	36.34	38	38	38	0	38	38	8760267	6496230	6502625	8759920	4176	30524659
42	30523165	2	38	1109038545	36.33	38	38	38	0	38	38	8750075	6516297	6492146	8762150	2497	30524659
43	30523077	2	38	1107382859	36.28	38	38	38	0	38	38	8758538	6505995	6490326	8767457	761	30524659
