column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	38913	2	34	1272185	32.69	33	33	34	1	32	34	10809	9465	8110	10507	22	38913
2	38913	2	34	1278754	32.86	33	34	34	1	32	34	10919	8741	9151	10098	4	38913
3	38906	18	34	1279505	32.89	33	34	34	1	32	34	10038	9408	9558	9902	0	38913
4	38887	15	34	1280856	32.94	33	34	34	1	32	34	9863	10012	9032	9980	0	38913
5	38886	15	34	1283316	33.00	33	34	34	1	32	34	10344	8758	9441	10343	0	38913
6	38886	14	38	1418111	36.47	37	38	38	1	36	38	10016	8892	9939	10039	0	38913
7	38885	14	38	1427904	36.72	37	38	38	1	36	38	10003	8932	10067	9883	0	38913
8	38885	14	38	1432733	36.85	38	38	38	0	38	38	10096	9552	9164	10073	0	38913
9	38885	14	38	1434807	36.90	38	38	38	0	38	38	9976	9589	9358	9962	0	38913
10	38885	14	38	1434475	36.89	38	38	38	0	38	38	10085	9369	9471	9960	0	38913
11	38885	14	38	1435453	36.92	38	38	38	0	38	38	10000	9439	9421	10025	0	38913
12	38883	14	38	1433960	36.88	38	38	38	0	38	38	9953	9606	9079	10245	0	38913
13	38883	14	38	1434420	36.89	38	38	38	0	38	38	10087	9383	9259	10154	0	38913
14	38882	14	38	1434381	36.89	38	38	38	0	38	38	10241	9145	9395	10101	0	38913
15	38881	14	38	1433873	36.88	38	38	38	0	38	38	10156	9165	9298	10262	0	38913
16	38881	14	38	1435071	36.91	38	38	38	0	38	38	10246	9300	9170	10165	0	38913
17	38881	14	38	1436129	36.94	38	38	38	0	38	38	10227	9398	9201	10055	0	38913
18	38881	14	38	1436402	36.94	38	38	38	0	38	38	9877	9124	9897	9983	0	38913
19	38880	14	38	1436381	36.94	38	38	38	0	38	38	9952	9273	9764	9891	0	38913
20	38880	14	38	1436937	36.96	38	38	38	0	38	38	10051	9409	9471	9949	0	38913
21	38880	14	38	1436150	36.94	38	38	38	0	38	38	10119	9354	9221	10186	0	38913
22	38880	14	38	1436845	36.96	38	38	38	0	38	38	10107	9384	9325	10064	0	38913
23	38879	14	38	1436220	36.94	38	38	38	0	38	38	9988	9639	9364	9888	0	38913
24	38879	2	38	1436438	36.95	38	38	38	0	38	38	10078	9734	9181	9884	2	38913
25	38879	2	38	1435521	36.92	38	38	38	0	38	38	10159	9412	9260	10045	3	38913
26	38879	2	38	1434175	36.89	38	38	38	0	38	38	10423	9094	9356	10003	3	38913
27	38878	14	38	1433676	36.88	38	38	38	0	38	38	10073	9355	9475	9975	0	38913
28	38877	14	38	1433213	36.87	38	38	38	0	38	38	10018	9510	9410	9939	0	38913
29	38877	14	38	1431727	36.83	38	38	38	0	38	38	10066	9300	9401	10110	0	38913
30	38875	14	38	1431306	36.82	38	38	38	0	38	38	10006	9146	9800	9923	0	38913
31	38875	14	38	1430470	36.80	38	38	38	0	38	38	9985	9586	9443	9861	0	38913
32	38874	14	38	1431815	36.83	38	38	38	0	38	38	10110	9411	9058	10295	0	38913
33	38874	14	38	1430763	36.81	38	38	38	0	38	38	10156	9356	9193	10169	0	38913
34	38874	14	38	1430596	36.80	38	38	38	0	38	38	10121	9520	9527	9706	0	38913
35	38874	14	38	1429664	36.78	38	38	38	0	38	38	10145	9892	9069	9768	0	38913
36	38873	14	38	1429559	36.78	38	38	38	0	38	38	10213	9469	9205	9986	0	38913
