column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	27209935	2	34	865854651	31.82	32	33	34	2	29	34	8429122	5871117	4800697	8090301	18698	27209935
2	27209913	2	34	870436248	31.99	33	33	34	1	32	34	8583144	5386845	5672742	7550383	16799	27209935
3	27209891	2	34	871839681	32.04	33	33	34	1	32	34	8196503	5693021	5693116	7612016	15235	27209935
4	27209873	2	34	867416151	31.88	33	33	34	1	32	34	7754947	5858835	5686541	7893206	16344	27209935
5	27209860	2	34	867462555	31.88	33	33	34	1	32	34	7839724	5565539	5795038	7993904	15655	27209935
6	27209836	2	38	974950832	35.83	37	38	38	1	36	38	7910920	5780862	5849043	7655084	13927	27209935
7	27209825	2	38	974366231	35.81	37	38	38	1	36	38	7842075	5552732	5931896	7868426	14696	27209935
8	27209800	2	38	974005294	35.80	37	38	38	1	36	38	7961500	5681619	5742547	7809791	14343	27209935
9	27209777	2	38	973256603	35.77	37	38	38	1	36	38	7845464	5731659	5663142	7955653	13859	27209935
10	27209747	2	38	973345975	35.77	37	38	38	1	36	38	7884235	5754796	5709804	7846255	14657	27209935
11	27209698	2	38	972967893	35.76	37	38	38	1	36	38	7874586	5768551	5665921	7885186	15454	27209935
12	27209648	2	38	972650457	35.75	37	38	38	1	36	38	7902433	5758782	5664238	7870089	14106	27209935
13	27209600	2	38	972660104	35.75	37	38	38	1	36	38	7933510	5710794	5650051	7900816	14429	27209935
14	27209527	2	38	972046857	35.72	37	38	38	1	36	38	7955395	5689151	5655713	7895159	14109	27209935
15	27209452	2	38	971816806	35.72	37	38	38	1	36	38	7901129	5753342	5639476	7901755	13750	27209935
16	27209362	2	38	971183105	35.69	37	38	38	1	36	38	7882723	5730099	5669769	7913146	13625	27209935
17	27209262	2	38	969942896	35.65	37	38	38	1	36	38	7899761	5720016	5684240	7889869	15376	27209935
18	27209165	2	38	970111165	35.65	37	38	38	1	36	38	7857625	5769700	5674229	7892846	14765	27209935
19	27209061	2	38	969965279	35.65	37	38	38	1	36	38	7865485	5742221	5690714	7896108	14533	27209935
20	27208956	2	38	969564365	35.63	37	38	38	1	36	38	7865773	5757769	5710434	7860263	14717	27209935
21	27208857	2	38	968564569	35.60	37	38	38	1	36	38	7847207	5782528	5708784	7856709	13629	27209935
22	27208757	2	38	967915764	35.57	37	38	38	1	36	38	7843910	5778420	5711004	7861048	14375	27209935
23	27208669	2	38	967910248	35.57	37	38	38	1	36	38	7839084	5783420	5725562	7847851	12752	27209935
24	27208570	2	38	967468039	35.56	37	38	38	1	36	38	7825151	5810553	5724874	7834097	13895	27209935
