column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	45244	2	34	1480025	32.71	33	33	34	1	32	34	12513	11203	9372	12137	19	45244
2	45243	2	34	1487279	32.87	33	34	34	1	32	34	12627	10350	10697	11566	3	45244
3	45235	18	34	1487285	32.88	33	34	34	1	32	34	11669	10981	11068	11517	0	45244
4	45206	15	34	1488210	32.92	33	34	34	1	32	34	11400	11542	10538	11726	0	45244
5	45202	2	34	1490211	32.97	33	34	34	1	32	34	11847	10360	10954	12040	1	45244
6	45201	14	38	1646832	36.43	37	38	38	1	36	38	11743	10371	11492	11595	0	45244
7	45201	14	38	1657845	36.68	37	38	38	1	36	38	11722	10489	11336	11654	0	45244
8	45200	14	38	1665720	36.85	38	38	38	0	38	38	11724	11284	10642	11550	0	45244
9	45200	14	38	1666248	36.86	38	38	38	0	38	38	11478	11233	10817	11672	0	45244
10	45200	14	38	1667506	36.89	38	38	38	0	38	38	11818	10951	10874	11557	0	45244
11	45200	14	38	1666940	36.88	38	38	38	0	38	38	11424	11104	10958	11714	0	45244
12	45197	14	38	1666147	36.86	38	38	38	0	38	38	11569	11330	10560	11738	0	45244
13	45197	14	38	1667824	36.90	38	38	38	0	38	38	11736	10914	10640	11907	0	45244
14	45197	14	38	1667365	36.89	38	38	38	0	38	38	11880	10620	10974	11723	0	45244
15	45197	14	38	1668135	36.91	38	38	38	0	38	38	11933	10462	10781	12021	0	45244
16	45196	14	38	1667799	36.90	38	38	38	0	38	38	11947	10648	11011	11590	0	45244
17	45195	14	38	1668197	36.91	38	38	38	0	38	38	11910	11154	10723	11408	0	45244
18	45195	14	38	1667330	36.89	38	38	38	0	38	38	11658	10544	11297	11696	0	45244
19	45193	14	38	1667971	36.91	38	38	38	0	38	38	11697	10875	11288	11333	0	45244
20	45193	14	38	1668912	36.93	38	38	38	0	38	38	11573	11065	10991	11564	0	45244
21	45192	14	38	1667498	36.90	38	38	38	0	38	38	11528	10950	10894	11820	0	45244
22	45192	14	38	1668634	36.92	38	38	38	0	38	38	11648	10969	11103	11472	0	45244
23	45192	14	38	1667862	36.91	38	38	38	0	38	38	11530	11165	10868	11629	0	45244
24	45192	14	38	1668166	36.91	38	38	38	0	38	38	11685	11283	10694	11530	0	45244
25	45192	2	38	1666247	36.87	38	38	38	0	38	38	11839	10990	10758	11603	2	45244
26	45192	2	38	1665003	36.84	38	38	38	0	38	38	11908	10829	10912	11541	2	45244
27	45191	14	38	1663952	36.82	38	38	38	0	38	38	11668	11115	10942	11466	0	45244
28	45191	14	38	1663312	36.81	38	38	38	0	38	38	11684	10807	10877	11823	0	45244
29	45191	14	38	1662094	36.78	38	38	38	0	38	38	11640	10767	11152	11632	0	45244
30	45190	14	38	1661679	36.77	38	38	38	0	38	38	11746	10444	11285	11715	0	45244
31	45190	14	38	1661374	36.76	38	38	38	0	38	38	11556	11050	10985	11599	0	45244
32	45189	14	38	1662255	36.78	38	38	38	0	38	38	11800	11096	10323	11970	0	45244
33	45189	14	38	1662805	36.80	38	38	38	0	38	38	11981	10709	11001	11498	0	45244
34	45189	14	38	1661631	36.77	38	38	38	0	38	38	11666	11078	11392	11053	0	45244
35	45187	14	38	1659952	36.74	38	38	38	0	38	38	11480	11603	10847	11257	0	45244
36	45186	14	38	1659921	36.74	38	38	38	0	38	38	11384	11186	10756	11860	0	45244
37	45184	14	38	1659009	36.72	38	38	38	0	38	38	11803	10980	10655	11746	0	45244
38	45183	14	38	1655217	36.63	38	38	38	0	38	38	11603	10769	11079	11732	0	45244
39	45182	14	38	1652401	36.57	38	38	38	0	38	38	11708	11143	11217	11114	0	45244
40	45181	14	38	1649811	36.52	38	38	38	0	38	38	11655	11417	10568	11541	0	45244
41	45181	14	38	1650761	36.54	38	38	38	0	38	38	11830	10968	10784	11599	0	45244
42	45179	14	38	1649702	36.51	38	38	38	0	38	38	11884	10429	11298	11568	0	45244
43	45178	14	38	1648905	36.50	38	38	38	0	38	38	11483	10794	11570	11331	0	45244
44	45178	14	38	1647282	36.46	38	38	38	0	38	38	11480	11348	11099	11251	0	45244
45	45177	14	38	1645428	36.42	38	38	38	0	38	38	11913	10704	10865	11695	0	45244
46	45174	14	38	1645201	36.42	38	38	38	0	38	38	11842	10642	11098	11592	0	45244
47	45174	14	38	1644494	36.40	38	38	38	0	38	38	11749	11008	11021	11396	0	45244
48	45174	14	38	1642673	36.36	37	38	38	1	36	38	11291	11509	10824	11550	0	45244
49	45174	14	38	1640004	36.30	37	38	38	1	36	38	11778	11007	10781	11608	0	45244
50	45174	14	38	1639308	36.29	37	38	38	1	36	38	11704	10751	10940	11779	0	45244
51	45173	2	38	1639471	36.29	37	38	38	1	36	38	11584	10821	10977	11787	4	45244
52	45172	2	38	1637484	36.25	37	38	38	1	36	38	11268	11268	10741	11888	7	45244
