column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	32120000	2	34	1023571540	31.87	32	33	34	2	29	34	9897439	6962769	5709835	9528413	21544	32120000
2	32119981	2	34	1028881649	32.03	33	33	34	1	32	34	10119890	6376308	6687966	8916497	19320	32120000
3	32119958	2	34	1030532742	32.08	33	33	34	1	32	34	9661309	6739040	6722786	8979276	17547	32120000
4	32119930	2	34	1025518694	31.93	33	33	34	1	32	34	9147804	6921425	6729843	9302087	18771	32120000
5	32119910	2	34	1025407707	31.92	33	33	34	1	32	34	9252680	6569440	6859413	9420336	18041	32120000
6	32119887	2	38	1152462198	35.88	37	38	38	1	36	38	9329680	6831779	6920515	9021967	15946	32120000
7	32119857	2	38	1151707486	35.86	37	38	38	1	36	38	9255308	6567802	7015945	9263820	16982	32120000
8	32119837	2	38	1151248754	35.84	37	38	38	1	36	38	9392026	6715647	6787985	9207692	16487	32120000
9	32119813	2	38	1150287518	35.81	37	38	38	1	36	38	9257382	6769956	6700478	9375947	16050	32120000
10	32119781	2	38	1150458389	35.82	37	38	38	1	36	38	9314598	6793360	6748966	9245990	16867	32120000
11	32119730	2	38	1150047602	35.81	37	38	38	1	36	38	9284507	6819020	6704941	9293533	17729	32120000
12	32119658	2	38	1149436046	35.79	37	38	38	1	36	38	9318290	6802169	6702819	9280285	16095	32120000
13	32119587	2	38	1149808674	35.80	37	38	38	1	36	38	9358814	6747985	6683369	9312863	16556	32120000
14	32119479	2	38	1149041690	35.77	37	38	38	1	36	38	9382736	6729611	6680005	9311070	16057	32120000
15	32119385	2	38	1148939127	35.77	37	38	38	1	36	38	9332370	6793470	6666313	9311502	15730	32120000
16	32119262	2	38	1148264440	35.75	37	38	38	1	36	38	9303423	6771792	6707927	9320482	15638	32120000
17	32119128	2	38	1146705971	35.70	37	38	38	1	36	38	9325225	6764532	6723817	9287952	17602	32120000
18	32119013	2	38	1146990904	35.71	37	38	38	1	36	38	9272392	6824418	6706643	9298705	16855	32120000
19	32118884	2	38	1146818780	35.71	37	38	38	1	36	38	9280610	6788943	6723042	9309715	16574	32120000
20	32118738	2	38	1146302479	35.69	37	38	38	1	36	38	9279282	6802646	6752251	9267687	16872	32120000
