column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	28971214	2	34	949626872	32.78	33	34	34	1	32	34	8688551	6345605	5354860	8562349	19849	28971214
2	28971198	2	34	953670547	32.92	33	34	34	1	32	34	8829398	5888409	5968596	8282968	1827	28971214
3	28971179	2	34	954885693	32.96	33	34	34	1	32	34	8535363	6121440	6051253	8263090	33	28971214
4	28971130	2	34	955043339	32.97	33	34	34	1	32	34	8211532	6191619	6079876	8488063	40	28971214
5	28971109	2	34	955920414	33.00	33	34	34	1	32	34	8270323	5960607	6229311	8510653	215	28971214
6	28971100	2	38	1061235344	36.63	37	38	38	1	36	38	8390573	6168747	6229444	8182274	62	28971214
7	28971087	2	38	1068923455	36.90	38	38	38	0	38	38	8340944	5957683	6314168	8357857	435	28971214
8	28971076	2	38	1072915447	37.03	38	38	38	0	38	38	8417303	6093020	6142651	8318009	93	28971214
9	28971057	14	38	1074408250	37.09	38	38	38	0	38	38	8301829	6157787	6055174	8456267	0	28971214
10	28971036	14	38	1075008216	37.11	38	38	38	0	38	38	8357354	6152849	6114711	8346122	0	28971214
11	28970998	14	38	1075203855	37.11	38	38	38	0	38	38	8334251	6172690	6081688	8382369	0	28971214
12	28970930	14	38	1075078436	37.11	38	38	38	0	38	38	8353387	6170782	6068353	8378408	0	28971214
13	28970878	2	38	1075112044	37.11	38	38	38	0	38	38	8396860	6131990	6062208	8379452	368	28971214
14	28970799	14	38	1075049187	37.11	38	38	38	0	38	38	8399460	6107855	6064980	8398504	0	28971214
15	28970711	14	38	1074849404	37.10	38	38	38	0	38	38	8362615	6160512	6067508	8380076	0	28971214
16	28970622	14	38	1074689211	37.10	38	38	38	0	38	38	8360282	6125567	6087328	8397445	0	28971214
17	28970510	14	38	1074815722	37.10	38	38	38	0	38	38	8350662	6136001	6084614	8399233	0	28971214
18	28970403	2	38	1074571848	37.09	38	38	38	0	38	38	8320044	6188114	6087408	8374814	23	28971214
19	28970290	14	38	1074593285	37.09	38	38	38	0	38	38	8324320	6156468	6108872	8380630	0	28971214
20	28970173	14	38	1074442667	37.09	38	38	38	0	38	38	8312608	6174009	6119705	8363851	0	28971214
21	28970052	14	38	1074263989	37.08	38	38	38	0	38	38	8284819	6202397	6118893	8363943	0	28971214
22	28969918	14	38	1074076302	37.08	38	38	38	0	38	38	8298959	6189086	6122084	8359789	0	28971214
23	28969794	2	38	1073629083	37.06	38	38	38	0	38	38	8287945	6196003	6136782	8349063	1	28971214
24	28969664	2	38	1072949051	37.04	38	38	38	0	38	38	8278306	6220608	6144481	8325854	415	28971214
25	28969526	2	38	1072380918	37.02	38	38	38	0	38	38	8288814	6206189	6154427	8318778	1318	28971214
26	28969388	2	38	1071902584	37.00	38	38	38	0	38	38	8285100	6193205	6167924	8321022	2137	28971214
27	28969238	14	38	1071651747	36.99	38	38	38	0	38	38	8249455	6232780	6176974	8310029	0	28971214
28	28969098	14	38	1071458147	36.99	38	38	38	0	38	38	8259467	6224952	6178610	8306069	0	28971214
29	28968939	14	38	1071044816	36.97	38	38	38	0	38	38	8261384	6215809	6182802	8308944	0	28971214
30	28968790	14	38	1070708435	36.96	38	38	38	0	38	38	8243992	6235918	6193103	8295777	0	28971214
31	28968615	2	38	1070231798	36.94	38	38	38	0	38	38	8257138	6227955	6189024	8294449	49	28971214
32	28968448	2	38	1070116983	36.94	38	38	38	0	38	38	8260021	6227043	6183917	8297434	33	28971214
33	28968302	14	38	1069994659	36.94	38	38	38	0	38	38	8253604	6241503	6189626	8283569	0	28971214
34	28968147	14	38	1069814018	36.93	38	38	38	0	38	38	8258670	6228867	6197597	8283013	0	28971214
35	28967993	14	38	1069380499	36.92	38	38	38	0	38	38	8264354	6232188	6197719	8273732	0	28971214
36	28967824	14	38	1069123971	36.91	38	38	38	0	38	38	8249900	6248798	6189694	8279432	0	28971214
37	28967657	14	38	1068280218	36.88	38	38	38	0	38	38	8259832	6230895	6204900	8272030	0	28971214
38	28967514	14	38	1067367595	36.85	38	38	38	0	38	38	8265101	6227095	6215042	8260276	0	28971214
39	28967336	14	38	1066566126	36.82	38	38	38	0	38	38	8237711	6245665	6211677	8272283	0	28971214
40	28967176	14	38	1065475327	36.78	38	38	38	0	38	38	8245593	6248617	6210858	8262108	0	28971214
41	28966998	14	38	1065112204	36.77	38	38	38	0	38	38	8257968	6235206	6208649	8265175	0	28971214
42	28966835	14	38	1064595631	36.75	38	38	38	0	38	38	8239842	6249203	6217384	8260406	0	28971214
43	28966655	14	38	1064078891	36.73	38	38	38	0	38	38	8249368	6239264	6209311	8268712	0	28971214
44	28966464	14	38	1063610261	36.72	38	38	38	0	38	38	8249723	6240592	6211733	8264416	0	28971214
45	28966280	14	38	1063075026	36.70	38	38	38	0	38	38	8243349	6246288	6215124	8261519	0	28971214
46	28966092	14	38	1062573977	36.68	38	38	38	0	38	38	8246706	6240366	6218570	8260450	0	28971214
47	28965890	14	38	1062139386	36.67	38	38	38	0	38	38	8248253	6242515	6220628	8254494	0	28971214
48	28965726	14	38	1061666690	36.65	38	38	38	0	38	38	8230607	6264347	6215898	8254874	0	28971214
49	28965529	14	38	1060772666	36.62	38	38	38	0	38	38	8241963	6249168	6221908	8252490	0	28971214
50	28965324	14	38	1060584017	36.62	38	38	38	0	38	38	8248906	6233139	6224430	8258849	0	28971214
51	28965144	2	38	1060057761	36.60	38	38	38	0	38	38	8228093	6251077	6223179	8257980	4815	28971214
52	28964933	2	38	1058933721	36.56	38	38	38	0	38	38	8229659	6247172	6217950	8250142	20010	28971214
53	28964721	14	38	1058826816	36.56	38	38	38	0	38	38	8246271	6237139	6221029	8260282	0	28971214
54	28964484	14	38	1058673374	36.55	38	38	38	0	38	38	8228685	6252171	6219050	8264578	0	28971214
55	28964267	14	38	1057982127	36.53	38	38	38	0	38	38	8242274	6241141	6229490	8251362	0	28971214
56	28964047	2	38	1057539004	36.51	38	38	38	0	38	38	8241591	6239315	6223496	8259639	6	28971214
57	28963825	14	38	1057123630	36.50	38	38	38	0	38	38	8223381	6258606	6226520	8255318	0	28971214
58	28963579	14	38	1056842634	36.49	38	38	38	0	38	38	8233098	6246745	6228499	8255237	0	28971214
59	28963354	14	38	1056099899	36.46	38	38	38	0	38	38	8240960	6241653	6229403	8251338	0	28971214
60	28963127	2	38	1053516891	36.37	38	38	38	0	38	38	8210007	6249393	6208998	8236636	58093	28971214
61	28962903	2	38	1051673158	36.31	38	38	38	0	38	38	8206918	6230804	6210611	8231795	82775	28971214
62	28962646	2	38	1053134080	36.36	38	38	38	0	38	38	8228866	6240247	6226424	8253958	13151	28971214
63	28962378	2	38	1052750367	36.35	38	38	38	0	38	38	8218072	6260098	6219753	8250353	14102	28971214
64	28962133	2	38	1050952138	36.29	38	38	38	0	38	38	8215278	6241796	6211685	8243002	50372	28971214
65	28961861	2	38	1050716962	36.28	38	38	38	0	38	38	8224240	6230320	6215379	8234781	57141	28971214
66	28961556	14	38	1051845922	36.32	38	38	38	0	38	38	8230543	6249906	6226905	8254202	0	28971214
67	28961258	14	38	1051811102	36.32	38	38	38	0	38	38	8233558	6245252	6229645	8252803	0	28971214
68	28960978	14	38	1051379714	36.30	38	38	38	0	38	38	8235409	6242600	6230522	8252447	0	28971214
69	28960661	14	38	1050980062	36.29	38	38	38	0	38	38	8217247	6263799	6226866	8252749	0	28971214
70	28960371	2	38	1050230087	36.26	38	38	38	0	38	38	8232621	6244974	6235896	8246842	38	28971214
71	28960054	2	38	1049950433	36.26	38	38	38	0	38	38	8229849	6243789	6229267	8256860	289	28971214
72	28959738	13	38	1049404440	36.24	37	38	38	1	36	38	8213542	6267723	6225191	8253282	0	28971214
73	28959439	2	38	1046821278	36.15	37	38	38	1	36	38	8226707	6240343	6215431	8235978	40980	28971214
74	28959107	2	38	1045658733	36.11	37	38	38	1	36	38	8217275	6225191	6218044	8243132	55465	28971214
75	28958800	2	38	1045092012	36.09	37	38	38	1	36	38	8200123	6250136	6214850	8236162	57529	28971214
76	28958443	2	38	1044210341	36.06	37	38	38	1	36	38	8213199	6241543	6210222	8233490	59989	28971214
77	28958097	2	38	1044207380	36.06	37	38	38	1	36	38	8234271	6231478	6230155	8246080	16113	28971214
78	28957739	2	38	1044435375	36.07	37	38	38	1	36	38	8227301	6250680	6222730	8254853	2175	28971214
79	28957321	2	38	1042568651	36.00	37	38	38	1	36	38	8217308	6234923	6234472	8245590	25028	28971214
80	28956932	2	38	1043043389	36.02	37	38	38	1	36	38	8219578	6254647	6225596	8257109	2	28971214
81	28956558	2	38	1042830338	36.01	37	38	38	1	36	38	8217931	6261335	6218511	8256186	2595	28971214
82	28956161	2	38	1042035760	35.99	37	38	38	1	36	38	8228803	6245705	6230272	8247701	3680	28971214
83	28955745	2	38	1041400163	35.97	37	38	38	1	36	38	8225981	6245467	6227458	8252972	3867	28971214
84	28955326	2	38	1040889270	35.95	37	38	38	1	36	38	8215290	6257854	6219045	8262881	256	28971214
85	28954849	13	38	1039925806	35.92	37	38	38	1	36	38	8230568	6243785	6220141	8260355	0	28971214
86	28954400	2	38	1039133070	35.89	37	38	38	1	36	38	8231903	6235565	6227463	8259291	178	28971214
87	28953911	2	38	1037622790	35.84	37	38	38	1	36	38	8221553	6251087	6230597	8250669	5	28971214
88	28953416	2	38	1036973919	35.82	37	38	38	1	36	38	8222063	6248698	6224240	8258003	412	28971214
89	28952931	2	38	1036168274	35.79	37	38	38	1	36	38	8230678	6237970	6228835	8255087	361	28971214
90	28952449	2	38	1035323434	35.76	37	38	38	1	36	38	8212699	6254554	6228810	8256255	131	28971214
91	28951943	13	38	1034113852	35.72	37	38	38	1	36	38	8218776	6242614	6233600	8256953	0	28971214
92	28951460	2	38	1033298974	35.69	37	38	38	1	36	38	8214399	6246639	6231650	8258718	54	28971214
93	28950991	2	38	1032718830	35.67	37	38	38	1	36	38	8210733	6256405	6222282	8261498	73	28971214
94	28950505	2	38	1031747300	35.64	37	38	38	1	36	38	8219657	6243234	6228489	8259005	120	28971214
95	28950083	13	38	1031084063	35.62	37	38	38	1	36	38	8219836	6244467	6225233	8260547	0	28971214
96	28949634	2	38	1029991479	35.58	37	38	38	1	36	38	8210327	6254835	6222066	8262052	354	28971214
97	28949590	13	38	1028985488	35.54	36	38	38	2	33	38	8224466	6242181	6220551	8262392	0	28971214
98	28949562	2	38	1028284210	35.52	36	38	38	2	33	38	8227035	6236204	6226308	8259836	179	28971214
99	28949536	2	38	1027139201	35.48	36	38	38	2	33	38	8209895	6253713	6224208	8261706	14	28971214
100	28949510	2	38	1025979437	35.44	36	38	38	2	33	38	8217497	6249508	6221319	8261185	1	28971214
101	28949482	2	38	1024922820	35.40	36	38	38	2	33	38	8217856	6243640	6226999	8260924	63	28971214
102	28949460	2	38	1023212155	35.34	36	38	38	2	33	38	8210855	6251016	6227394	8259759	436	28971214
103	28949441	2	38	1022113855	35.31	36	38	38	2	33	38	8217498	6241891	6228483	8261430	139	28971214
104	28949425	2	38	1021342927	35.28	36	38	38	2	33	38	8226288	6237068	6225218	8260837	14	28971214
105	28949412	2	38	1020206909	35.24	36	38	38	2	33	38	8216686	6252396	6218860	8261461	9	28971214
106	28949394	2	38	1019334824	35.21	36	38	38	2	33	38	8229610	6243714	6214361	8260368	1341	28971214
107	28949380	2	38	1017466387	35.15	36	38	38	2	33	38	8224864	6242718	6225129	8255483	1186	28971214
108	28949361	2	38	1014330552	35.04	36	38	38	2	33	38	8211546	6253788	6227790	8255848	389	28971214
109	28949341	2	38	1013964956	35.03	35	38	38	3	31	38	8224638	6242844	6215959	8265080	820	28971214
110	28949325	13	38	1013419746	35.01	35	38	38	3	31	38	8221107	6238242	6221628	8268348	0	28971214
111	28949325	2	38	1012796474	34.99	35	38	38	3	31	38	8206243	6251422	6223478	8268065	117	28971214
112	28949325	2	38	1011720378	34.95	35	38	38	3	31	38	8210524	6253946	6219896	8263958	1001	28971214
113	28949325	2	38	1010553403	34.91	35	38	38	3	31	38	8222535	6239777	6223776	8263165	72	28971214
114	28949325	2	38	1009377707	34.87	35	38	38	3	31	38	8209412	6251075	6219225	8269181	432	28971214
115	28949325	2	38	1008482002	34.84	35	38	38	3	31	38	8214884	6248717	6223268	8262353	103	28971214
116	28949325	13	38	1007394067	34.80	35	38	38	3	31	38	8214476	6244789	6221880	8268180	0	28971214
117	28949325	2	38	1005534775	34.73	35	38	38	3	31	38	8212677	6253873	6215132	8267566	77	28971214
118	28949325	2	38	1003690156	34.67	35	38	38	3	31	38	8217112	6245110	6216989	8269909	205	28971214
119	28949325	2	38	1001477966	34.59	35	38	38	3	31	38	8217596	6239545	6223153	8268980	51	28971214
120	28949325	2	38	999725665	34.53	35	38	38	3	31	38	8211851	6262659	6214280	8260130	405	28971214
121	28949325	2	38	998394190	34.49	35	38	38	3	31	38	8226572	6244751	6211791	8265294	917	28971214
122	28949325	13	38	997165405	34.45	35	38	38	3	31	38	8218162	6238315	6224260	8268588	0	28971214
123	28949325	13	38	996073152	34.41	35	38	38	3	31	38	8208454	6255922	6216742	8268207	0	28971214
124	28949325	13	38	994839549	34.36	34	38	38	4	28	38	8219396	6247312	6211985	8270632	0	28971214
125	28949325	2	38	993146206	34.31	34	38	38	4	28	38	8220231	6237393	6216020	8274558	1123	28971214
126	28949325	2	38	904284945	31.24	27	35	38	11	11	38	8156080	6258582	6226503	8307952	208	28971214
