column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	2216	2	34	59747	26.96	27	27	28	1	26	29	1875	57	154	98	32	2216
2	2216	2	34	56936	25.69	25	27	28	3	21	32	276	78	97	1734	31	2216
3	2216	2	34	48707	21.98	18	18	27	9	5	34	180	1628	102	279	27	2216
4	2216	2	34	43530	19.64	15	15	27	12	2	34	177	280	1598	130	31	2216
5	2216	2	34	57338	25.87	25	27	32	7	15	34	156	102	1789	139	30	2216
6	2216	2	38	39146	17.67	14	14	16	2	11	19	1229	119	738	98	32	2216
7	2216	2	38	60435	27.27	26	28	30	4	20	36	1879	93	101	111	32	2216
8	2216	2	38	41262	18.62	14	14	26	12	2	38	460	102	1519	102	33	2216
9	2216	2	38	46986	21.20	15	16	28	13	2	38	1784	102	182	116	32	2216
10	2216	2	38	47800	21.57	16	16	28	12	2	38	287	87	1682	127	33	2216
11	2216	2	38	41995	18.95	15	16	16	1	14	17	176	1540	353	113	34	2216
12	2216	2	38	48678	21.97	14	26	28	14	2	38	141	185	1740	116	34	2216
13	2216	2	38	39578	17.86	14	14	16	2	11	19	166	161	1181	674	34	2216
14	2216	2	38	44988	20.30	14	16	27	13	2	38	164	1719	146	154	33	2216
15	2216	2	38	46829	21.13	14	16	27	13	2	38	157	212	1697	118	32	2216
16	2216	2	38	39704	17.92	14	14	24	10	2	38	155	136	957	935	33	2216
17	2216	2	38	48855	22.05	14	24	27	13	2	38	154	122	1738	169	33	2216
18	2216	2	38	42855	19.34	14	15	25	11	2	38	143	120	673	1247	33	2216
19	2216	2	38	40592	18.32	14	16	24	10	2	38	1648	112	204	218	34	2216
20	2216	2	38	46507	20.99	14	16	27	13	2	38	240	102	1712	131	31	2216
21	2216	2	38	61229	27.63	25	28	36	11	9	38	146	93	1843	104	30	2216
22	2216	2	38	68206	30.78	27	36	37	10	12	38	111	111	1856	105	33	2216
23	2216	2	38	38730	17.48	14	14	16	2	11	19	881	87	1080	137	31	2216
24	2216	2	38	53868	24.31	16	27	28	12	2	38	1784	88	185	127	32	2216
25	2216	2	38	65452	29.54	25	34	37	12	7	38	1833	86	159	110	28	2216
26	2216	2	38	39477	17.81	14	15	16	2	11	19	636	86	1343	120	31	2216
27	2216	2	38	45133	20.37	16	16	25	9	3	38	1743	90	250	99	34	2216
28	2216	2	38	44263	19.97	16	16	25	9	3	38	265	96	1714	106	35	2216
29	2216	2	38	38550	17.40	15	15	16	1	14	17	202	103	1104	772	35	2216
30	2215	2	38	44443	20.06	14	16	27	13	2	38	152	85	1773	169	36	2216
31	2214	2	38	42852	19.36	14	16	25	11	2	38	148	106	654	1270	36	2216
32	2214	2	38	39700	17.93	15	16	16	1	14	17	1598	83	202	296	35	2216
33	2214	2	38	38659	17.46	14	15	16	2	11	19	477	79	1494	128	36	2216
34	2214	2	38	40927	18.49	15	16	16	1	14	17	1673	91	291	123	36	2216
35	2214	2	38	39711	17.94	16	16	16	0	16	16	490	96	218	1374	36	2216
36	2214	2	38	42358	19.13	16	16	25	9	3	38	244	1189	172	573	36	2216
37	2214	2	38	48120	21.73	16	24	28	12	2	38	151	185	159	1684	35	2216
38	2214	2	38	42635	19.26	16	16	25	9	3	38	160	1482	172	364	36	2216
39	2214	2	38	42359	19.13	15	16	25	10	2	38	162	333	1511	172	36	2216
40	2213	2	38	55045	24.87	16	27	29	13	2	38	146	119	1783	129	36	2216
41	2213	2	38	39998	18.07	14	14	24	10	2	38	150	121	1036	871	35	2216
42	2213	2	38	45393	20.51	14	16	27	13	2	38	142	98	1695	243	35	2216
43	2213	2	38	57827	26.13	16	27	34	18	2	38	116	110	1830	121	36	2216
44	2213	2	38	38543	17.42	14	14	16	2	11	19	141	94	1195	748	35	2216
45	2213	2	38	36907	16.68	14	15	16	2	11	19	137	1227	428	385	36	2216
46	2212	2	38	43919	19.85	14	16	25	11	2	38	155	141	1743	139	34	2216
47	2212	2	38	36891	16.68	14	14	16	2	11	19	149	1319	610	98	36	2216
48	2212	2	38	49468	22.36	15	25	27	12	2	38	134	1737	209	97	35	2216
49	2212	2	38	38761	17.52	14	14	16	2	11	19	131	312	1633	101	35	2216
50	2212	2	38	36645	16.57	14	14	15	1	13	16	145	172	1289	571	35	2216
51	2212	2	38	38869	17.57	14	14	24	10	2	38	1416	122	399	241	34	2216
52	2212	2	38	40389	18.26	14	15	24	10	2	38	325	98	270	1484	35	2216
53	2212	2	38	43261	19.56	14	15	25	11	2	38	179	1551	196	251	35	2216
54	2212	2	38	42944	19.41	15	15	25	10	2	38	1404	449	180	146	33	2216
55	2212	2	38	42012	18.99	15	15	24	9	2	37	405	152	211	1410	34	2216
56	2212	2	38	53893	24.36	16	26	29	13	2	38	159	130	176	1715	32	2216
57	2212	2	38	40166	18.16	15	15	16	1	14	17	1379	125	170	504	34	2216
58	2212	2	38	53371	24.13	15	26	28	13	2	38	1789	100	166	124	33	2216
59	2212	2	38	62434	28.23	24	33	36	12	6	38	1798	105	146	129	34	2216
60	2212	2	38	66571	30.10	24	35	38	14	3	38	1829	85	164	104	30	2216
61	2212	2	38	68636	31.03	25	36	38	13	6	38	1838	102	148	95	29	2216
62	2212	2	38	69296	31.33	27	38	38	11	11	38	1833	101	146	100	32	2216
63	2209	2	38	69045	31.26	26	38	38	12	8	38	1850	77	163	90	29	2216
64	2207	2	38	68688	31.12	25	38	38	13	6	38	1856	77	145	100	29	2216
65	2202	2	38	68877	31.28	26	38	38	12	8	38	1865	69	154	86	28	2216
66	2202	2	38	68223	30.98	25	38	38	13	6	38	1851	63	163	97	28	2216
67	2202	2	38	61181	27.78	16	32	36	20	2	38	1812	87	167	106	30	2216
68	2202	2	38	49951	22.68	14	25	27	13	2	38	1734	104	198	139	27	2216
69	2202	2	38	44851	20.37	14	16	25	11	2	38	1695	124	220	138	25	2216
70	2202	2	38	42605	19.35	14	15	25	11	2	38	1644	141	259	132	26	2216
71	2202	2	38	41469	18.83	14	15	25	11	2	38	1587	165	289	143	18	2216
72	2202	2	38	40098	18.21	14	14	24	10	2	38	1494	150	370	166	22	2216
73	2202	2	38	39597	17.98	14	14	24	10	2	38	1435	161	421	158	27	2216
74	2202	2	38	39249	17.82	14	14	24	10	2	38	1405	172	429	172	24	2216
75	2202	2	38	38692	17.57	14	14	23	9	2	36	1325	191	446	212	28	2216
76	2202	2	38	38589	17.52	14	14	23	9	2	36	1321	206	468	187	20	2216
77	2202	2	38	38453	17.46	14	14	23	9	2	36	1328	197	437	216	24	2216
78	2202	2	38	37609	17.08	13	14	21	8	2	33	1237	186	518	240	21	2216
79	2202	2	38	37716	17.13	13	14	21	8	2	33	1236	202	531	206	27	2216
80	2202	2	38	37017	16.81	13	14	21	8	2	33	1121	263	541	251	26	2216
81	2202	2	38	37195	16.89	13	14	21	8	2	33	1045	251	594	284	28	2216
82	2202	2	38	37038	16.82	13	14	21	8	2	33	1073	255	595	251	28	2216
83	2202	2	38	36608	16.62	13	14	16	3	9	20	1043	274	556	297	32	2216
84	2202	2	38	36803	16.71	13	14	16	3	9	20	1021	259	612	278	32	2216
85	2202	2	38	36069	16.38	13	14	15	2	10	18	908	289	702	270	33	2216
86	2202	2	38	36370	16.52	13	14	15	2	10	18	910	283	705	271	33	2216
87	2202	2	38	36501	16.58	13	14	15	2	10	18	857	295	738	280	32	2216
88	2202	2	38	35844	16.28	13	14	15	2	10	18	795	282	781	313	31	2216
89	2202	2	38	35847	16.28	13	14	15	2	10	18	801	302	770	296	33	2216
90	2202	2	38	35917	16.31	13	14	15	2	10	18	770	366	767	265	34	2216
91	2202	2	38	36186	16.43	13	14	15	2	10	18	727	301	846	293	35	2216
92	2202	2	38	36192	16.44	13	14	15	2	10	18	770	340	779	279	34	2216
93	2202	2	38	35844	16.28	13	14	15	2	10	18	703	340	799	326	34	2216
94	2202	2	38	35858	16.28	13	14	15	2	10	18	697	344	830	297	34	2216
95	2202	2	38	35395	16.07	13	14	15	2	10	18	706	369	774	318	35	2216
96	2202	2	38	35809	16.26	13	14	15	2	10	18	742	371	745	308	36	2216
97	2202	2	38	35690	16.21	13	14	15	2	10	18	727	372	716	351	36	2216
98	2202	2	38	35864	16.29	13	14	15	2	10	18	717	416	680	353	36	2216
99	2202	2	38	35797	16.26	13	14	15	2	10	18	782	392	671	323	34	2216
100	2202	2	38	36290	16.48	13	14	21	8	2	33	808	395	642	331	26	2216
101	2202	2	38	36174	16.43	13	14	15	2	10	18	811	374	666	337	14	2216
102	2202	2	38	36123	16.40	13	14	15	2	10	18	889	366	588	346	13	2216
103	2202	2	38	35892	16.30	13	14	15	2	10	18	884	382	605	313	18	2216
104	2202	2	38	36053	16.37	13	14	21	8	2	33	971	336	518	349	28	2216
105	2202	2	38	35876	16.29	13	14	15	2	10	18	978	368	538	289	29	2216
106	2202	2	38	36132	16.41	13	14	21	8	2	33	1017	363	494	293	35	2216
107	2202	2	38	36076	16.38	13	14	21	8	2	33	1084	341	477	265	35	2216
108	2202	2	38	35978	16.34	13	14	15	2	10	18	1068	342	468	289	35	2216
109	2202	2	38	36019	16.36	13	14	15	2	10	18	1111	338	457	262	34	2216
110	2202	2	38	35975	16.34	13	14	15	2	10	18	1128	341	439	262	32	2216
111	2202	2	38	35710	16.22	13	14	15	2	10	18	1138	352	404	273	35	2216
112	2202	2	38	35887	16.30	13	14	21	8	2	33	1137	327	469	239	30	2216
113	2202	2	38	35875	16.29	13	14	15	2	10	18	1113	348	445	263	33	2216
114	2202	2	38	35931	16.32	13	14	15	2	10	18	1079	370	473	248	32	2216
115	2202	2	38	35780	16.25	13	14	15	2	10	18	1062	347	492	266	35	2216
116	2202	2	38	35912	16.31	13	14	21	8	2	33	1104	333	490	240	35	2216
117	2202	2	38	35346	16.05	13	14	15	2	10	18	1062	360	485	263	32	2216
118	2202	2	38	35413	16.08	13	14	15	2	10	18	1104	353	430	281	34	2216
119	2202	2	38	35380	16.07	13	14	15	2	10	18	1024	365	501	278	34	2216
120	2202	2	38	35414	16.08	13	14	15	2	10	18	1014	370	511	272	35	2216
121	2202	2	38	35107	15.94	13	14	14	1	12	15	979	416	488	283	36	2216
122	2202	2	38	35360	16.06	13	14	15	2	10	18	997	407	465	297	36	2216
123	2202	2	38	35484	16.11	13	14	15	2	10	18	1008	379	488	291	36	2216
124	2202	2	38	35406	16.08	13	14	15	2	10	18	945	418	522	281	36	2216
125	2202	2	38	35106	15.94	13	14	14	1	12	15	986	417	510	254	35	2216
126	2202	2	38	34918	15.86	13	14	15	2	10	18	1145	304	509	212	32	2216
