column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	39388813	2	34	1263416169	32.08	33	33	34	1	32	34	12175384	8493061	6929863	11733471	57034	39388813
2	39388805	2	34	1271089842	32.27	33	33	34	1	32	34	12435949	7752036	8152309	11013094	35417	39388813
3	39388798	2	34	1272085525	32.30	33	33	34	1	32	34	11863896	8211437	8207980	11069600	35885	39388813
4	39388787	2	34	1269400343	32.23	33	33	34	1	32	34	11228953	8429597	8213584	11478133	38520	39388813
5	39388769	2	34	1270994168	32.27	33	33	34	1	32	34	11357437	7996825	8371504	11624579	38424	39388813
6	39388758	2	38	1430495181	36.32	38	38	38	0	38	38	11448948	8319874	8447655	11147586	24695	39388813
7	39388742	2	38	1430587980	36.32	38	38	38	0	38	38	11345425	8008451	8581335	11423754	29777	39388813
8	39388721	2	38	1430620718	36.32	38	38	38	0	38	38	11528215	8182483	8294033	11356971	27019	39388813
9	39388692	2	38	1427136846	36.23	38	38	38	0	38	38	11360342	8252302	8188662	11560586	26800	39388813
10	39388661	2	38	1429451152	36.29	38	38	38	0	38	38	11435948	8275990	8244727	11406583	25413	39388813
11	39388596	2	38	1429641255	36.30	38	38	38	0	38	38	11403215	8309766	8191729	11461118	22768	39388813
12	39388535	2	38	1427205658	36.23	38	38	38	0	38	38	11423324	8287327	8156562	11438542	82780	39388813
13	39388457	2	38	1429857763	36.30	38	38	38	0	38	38	11497921	8231378	8167081	11491861	216	39388813
14	39388355	2	38	1428826009	36.28	38	38	38	0	38	38	11511618	8202053	8166227	11483319	25138	39388813
15	39388249	2	38	1428635066	36.27	38	38	38	0	38	38	11453114	8283657	8147754	11479415	24309	39388813
16	39388120	2	38	1428062015	36.26	38	38	38	0	38	38	11417912	8243968	8202292	11497276	26672	39388813
17	39388000	2	38	1428489380	36.27	38	38	38	0	38	38	11444892	8250954	8191243	11475685	25226	39388813
18	39387866	2	38	1428222906	36.26	38	38	38	0	38	38	11384502	8320823	8185954	11473652	22935	39388813
19	39387734	2	38	1427770285	36.25	38	38	38	0	38	38	11401967	8270140	8219513	11471438	24676	39388813
20	39387596	2	38	1427781905	36.25	38	38	38	0	38	38	11396782	8298198	8244643	11423012	24961	39388813
21	39387438	2	38	1424530900	36.17	38	38	38	0	38	38	11336753	8331291	8216485	11406840	96069	39388813
22	39387263	2	38	1425117430	36.18	38	38	38	0	38	38	11351686	8320697	8227760	11419794	67326	39388813
23	39387123	2	38	1426659611	36.22	38	38	38	0	38	38	11363115	8342315	8261150	11418894	1649	39388813
24	39386949	2	38	1426559986	36.22	38	38	38	0	38	38	11341339	8382400	8274741	11387724	745	39388813
25	39386774	2	38	1425847802	36.20	38	38	38	0	38	38	11341023	8368836	8298937	11376024	1954	39388813
26	39386609	2	38	1423621422	36.14	38	38	38	0	38	38	11331674	8337516	8296009	11352031	69379	39388813
27	39386404	2	38	1424918950	36.18	38	38	38	0	38	38	11296771	8401622	8318446	11351626	17939	39388813
28	39386237	2	38	1424884262	36.18	38	38	38	0	38	38	11306828	8393560	8317528	11347451	20870	39388813
29	39386056	2	38	1425440644	36.19	38	38	38	0	38	38	11319614	8382776	8322469	11341428	19769	39388813
30	39385858	2	38	1425875082	36.20	38	38	38	0	38	38	11288934	8406557	8340225	11329390	20752	39388813
31	39385667	2	38	1425771531	36.20	38	38	38	0	38	38	11303566	8407897	8323598	11328099	22507	39388813
32	39385454	2	38	1425495933	36.19	38	38	38	0	38	38	11318806	8398359	8325458	11321713	21118	39388813
33	39385258	2	38	1424767063	36.18	38	38	38	0	38	38	11305824	8416200	8338734	11302903	21597	39388813
