column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	2669	2	34	71553	26.81	27	27	31	4	21	34	1580	121	810	143	15	2669
2	2667	2	34	68017	25.50	18	27	32	14	2	34	809	119	164	1560	15	2669
3	2667	2	34	57277	21.48	18	18	25	7	8	34	266	1351	150	885	15	2669
4	2667	2	34	51874	19.45	15	15	27	12	2	34	167	723	1443	319	15	2669
5	2667	2	34	63774	23.91	15	27	28	13	2	34	183	201	2078	190	15	2669
6	2667	2	38	53949	20.23	14	14	28	14	2	38	913	154	1397	189	14	2669
7	2667	2	38	65166	24.43	15	28	30	15	2	38	1986	129	351	186	15	2669
8	2667	2	38	55001	20.62	14	15	28	14	2	38	977	116	1385	175	14	2669
9	2667	2	38	54596	20.47	14	16	26	12	2	38	1627	128	720	178	14	2669
10	2667	2	38	55766	20.91	15	16	28	13	2	38	744	135	1621	152	15	2669
11	2667	2	38	51866	19.45	15	16	26	11	2	38	294	1218	965	178	12	2669
12	2667	2	38	57861	21.70	14	16	28	14	2	38	215	614	1631	189	18	2669
13	2667	14	38	51235	19.21	14	14	26	12	14	38	178	200	1598	691	0	2669
14	2667	2	38	52407	19.65	14	14	27	13	2	38	205	1474	428	546	14	2669
15	2667	2	38	55813	20.93	14	16	27	13	2	38	206	653	1532	263	13	2669
16	2667	2	38	51031	19.13	14	14	26	12	2	38	173	204	1325	951	14	2669
17	2667	2	38	57327	21.49	14	24	27	13	2	38	205	166	1735	546	15	2669
18	2667	2	38	53828	20.18	14	15	27	13	2	38	179	134	1072	1270	12	2669
19	2667	2	38	51534	19.32	14	16	25	11	2	38	1412	169	358	715	13	2669
20	2667	2	38	55391	20.77	14	16	27	13	2	38	737	157	1502	257	14	2669
21	2667	2	38	66387	24.89	16	27	29	13	2	38	278	120	2082	183	4	2669
22	2667	2	38	76804	28.80	24	31	36	12	6	38	183	143	2183	155	3	2669
23	2667	14	38	53861	20.20	14	16	27	13	14	38	626	122	1730	189	0	2669
24	2667	14	38	58635	21.99	14	24	27	13	14	38	1966	145	395	161	0	2669
25	2667	14	38	72852	27.32	16	28	36	20	14	38	2194	129	171	173	0	2669
26	2667	2	38	55465	20.80	14	15	28	14	2	38	1197	127	1163	177	3	2669
27	2667	2	38	54236	20.34	15	16	25	10	2	38	1729	122	630	176	10	2669
28	2667	2	38	52909	19.84	16	16	25	9	3	38	755	138	1581	180	13	2669
29	2667	2	38	50355	18.88	15	16	16	1	14	17	338	136	1351	830	12	2669
30	2667	2	38	54792	20.54	15	16	27	12	2	38	233	152	1744	526	12	2669
31	2667	2	38	54139	20.30	15	16	27	12	2	38	235	152	913	1355	12	2669
32	2666	2	38	50623	18.99	15	16	16	1	14	17	1412	134	378	730	12	2669
33	2666	2	38	49607	18.61	14	16	16	2	11	19	822	171	1307	354	12	2669
34	2666	2	38	51067	19.15	15	16	24	9	2	37	1717	140	591	216	2	2669
35	2666	2	38	50536	18.96	16	16	16	0	16	16	1004	170	324	1167	1	2669
36	2666	14	38	51913	19.47	16	16	25	9	14	38	471	951	263	981	0	2669
37	2666	2	38	58268	21.86	16	16	28	12	2	38	303	448	214	1700	1	2669
38	2666	14	38	53399	20.03	16	16	25	9	14	38	262	1327	167	910	0	2669
39	2666	2	38	52530	19.70	15	16	25	10	2	38	262	668	1337	390	9	2669
40	2666	14	38	62898	23.59	16	25	28	12	14	38	257	289	1917	203	0	2669
41	2666	2	38	51883	19.46	14	15	25	11	2	38	229	161	1432	832	12	2669
42	2666	2	38	54620	20.49	14	16	27	13	2	38	239	172	1767	476	12	2669
43	2666	2	38	64119	24.05	15	25	33	18	2	38	216	169	2004	264	13	2669
44	2666	2	38	51615	19.36	14	14	25	11	2	38	207	154	1625	668	12	2669
45	2666	2	38	48432	18.17	14	15	16	2	11	19	265	884	887	617	13	2669
46	2666	2	38	53834	20.19	14	16	27	13	2	38	260	390	1670	332	14	2669
47	2666	2	38	48655	18.25	14	14	24	10	2	38	226	1116	1132	181	11	2669
48	2666	2	38	55513	20.82	14	16	27	13	2	38	243	1757	450	205	11	2669
49	2666	2	38	49322	18.50	14	14	24	10	2	38	228	763	1487	175	13	2669
50	2666	2	38	47135	17.68	14	14	16	2	11	19	242	340	1543	529	12	2669
51	2666	2	38	48944	18.36	14	14	24	10	2	38	1220	232	782	419	13	2669
52	2666	2	38	51200	19.20	14	15	25	11	2	38	655	227	385	1385	14	2669
53	2666	2	38	51966	19.49	14	15	25	11	2	38	356	1316	319	661	14	2669
54	2666	2	38	52498	19.69	15	15	25	10	2	38	1291	760	262	341	12	2669
55	2666	2	38	52326	19.63	15	15	25	10	2	38	720	378	261	1295	12	2669
56	2666	2	38	61471	23.06	15	25	28	13	2	38	373	216	259	1802	16	2669
57	2666	2	38	52201	19.58	15	15	25	10	2	38	1188	173	224	1066	15	2669
58	2666	2	38	59234	22.22	15	24	27	12	2	38	1858	180	227	387	14	2669
59	2666	2	38	67697	25.39	16	26	34	18	2	38	2107	171	179	193	16	2669
60	2666	2	38	74473	27.93	16	31	36	20	2	38	2151	139	174	188	14	2669
61	2666	2	38	76974	28.87	16	34	38	22	2	38	2147	134	214	157	14	2669
62	2666	2	38	77508	29.07	16	34	38	22	2	38	2158	122	209	164	13	2669
63	2661	2	38	78766	29.60	21	34	38	17	2	38	2177	121	185	164	14	2669
64	2661	2	38	79060	29.71	23	34	38	15	2	38	2148	131	198	170	14	2669
65	2661	2	38	79120	29.73	23	35	38	15	2	38	2183	146	173	144	15	2669
66	2661	2	38	78634	29.55	23	34	38	15	2	38	2177	141	193	136	14	2669
67	2661	2	38	70372	26.45	15	28	35	20	2	38	2117	138	227	166	13	2669
68	2661	2	38	59796	22.47	14	24	29	15	2	38	1986	185	285	193	12	2669
69	2661	2	38	53424	20.08	14	15	25	11	2	38	1816	234	337	260	14	2669
70	2661	2	38	51662	19.41	14	15	25	11	2	38	1699	271	389	287	15	2669
71	2661	2	38	50553	19.00	14	15	25	11	2	38	1597	269	458	322	15	2669
72	2661	2	38	50041	18.81	14	15	24	10	2	38	1522	302	478	346	13	2669
73	2661	2	38	49767	18.70	14	15	24	10	2	38	1480	324	502	341	14	2669
74	2661	2	38	49377	18.56	14	14	24	10	2	38	1405	328	575	338	15	2669
75	2659	2	38	49742	18.71	14	14	24	10	2	38	1404	345	521	375	14	2669
76	2659	2	38	49122	18.47	13	14	23	10	2	38	1274	335	580	455	15	2669
77	2659	2	38	49425	18.59	13	14	23	10	2	38	1237	385	592	430	15	2669
78	2659	2	38	49459	18.60	14	14	23	9	2	36	1171	425	590	460	13	2669
79	2659	2	38	48958	18.41	13	14	23	10	2	38	1127	415	664	440	13	2669
80	2659	2	38	48680	18.31	13	14	23	10	2	38	1038	397	757	453	14	2669
81	2659	2	38	48620	18.29	13	14	23	10	2	38	1015	418	761	451	14	2669
82	2659	2	38	48415	18.21	13	14	23	10	2	38	1000	413	755	477	14	2669
83	2659	2	38	48215	18.13	13	14	23	10	2	38	968	430	816	431	14	2669
84	2659	2	38	47802	17.98	13	14	23	10	2	38	942	395	863	445	14	2669
85	2659	2	38	47814	17.98	13	14	23	10	2	38	880	442	849	473	15	2669
86	2659	2	38	47951	18.03	13	14	23	10	2	38	884	441	881	439	14	2669
87	2659	2	38	47608	17.90	13	14	23	10	2	38	859	456	884	446	14	2669
88	2659	2	38	47694	17.94	13	14	23	10	2	38	922	508	792	425	12	2669
89	2659	2	38	47789	17.97	13	14	23	10	2	38	783	517	860	488	11	2669
90	2659	2	38	47721	17.95	13	14	23	10	2	38	833	493	879	441	13	2669
91	2659	2	38	47465	17.85	13	14	23	10	2	38	812	484	885	464	14	2669
92	2659	2	38	47910	18.02	13	14	23	10	2	38	809	461	894	480	15	2669
93	2659	2	38	48108	18.09	13	14	23	10	2	38	756	558	816	514	15	2669
94	2659	2	38	48021	18.06	13	14	23	10	2	38	819	518	789	520	13	2669
95	2659	2	38	47937	18.03	13	14	23	10	2	38	851	492	789	514	13	2669
96	2659	2	38	48355	18.19	13	14	23	10	2	38	850	513	757	527	12	2669
97	2659	2	38	47928	18.02	13	14	23	10	2	38	859	536	741	509	14	2669
98	2659	2	38	47774	17.97	13	14	23	10	2	38	902	469	757	516	15	2669
99	2659	2	38	47611	17.91	13	14	23	10	2	38	907	515	717	506	14	2669
100	2659	2	38	47156	17.73	13	14	21	8	2	33	960	498	710	476	15	2669
101	2659	2	38	46940	17.65	13	14	21	8	2	33	990	523	633	499	14	2669
102	2659	2	38	47673	17.93	13	14	23	10	2	38	1040	487	646	471	15	2669
103	2659	2	38	47684	17.93	13	14	23	10	2	38	1101	468	647	431	12	2669
104	2659	2	38	47499	17.86	13	14	23	10	2	38	1115	461	624	446	13	2669
105	2659	2	38	46799	17.60	13	14	21	8	2	33	1095	473	627	451	13	2669
106	2659	2	38	46977	17.67	13	14	23	10	2	38	1139	444	596	465	15	2669
107	2659	2	38	46675	17.55	13	14	21	8	2	33	1086	496	651	411	15	2669
108	2659	2	38	47205	17.75	13	14	23	10	2	38	1128	471	590	457	13	2669
109	2659	2	38	46634	17.54	13	14	21	8	2	33	1078	463	651	453	14	2669
110	2659	2	38	47082	17.71	13	14	21	8	2	33	1075	465	656	450	13	2669
111	2659	2	38	46959	17.66	13	14	21	8	2	33	1087	505	620	432	15	2669
112	2659	2	38	46519	17.49	13	14	21	8	2	33	1056	510	664	414	15	2669
113	2659	2	38	46603	17.53	13	14	21	8	2	33	1050	483	634	477	15	2669
114	2659	2	38	46611	17.53	13	14	21	8	2	33	1029	506	656	453	15	2669
115	2659	2	38	46604	17.53	13	14	21	8	2	33	986	498	702	459	14	2669
116	2659	2	38	46026	17.31	13	14	21	8	2	33	1007	485	682	471	14	2669
117	2659	2	38	45803	17.23	13	14	21	8	2	33	1007	535	663	442	12	2669
118	2659	2	38	45441	17.09	13	14	21	8	2	33	985	520	663	476	15	2669
119	2659	2	38	45690	17.18	13	14	21	8	2	33	957	524	681	484	13	2669
120	2659	2	38	45619	17.16	13	14	21	8	2	33	987	474	697	486	15	2669
121	2659	2	38	45905	17.26	13	14	21	8	2	33	964	570	649	460	16	2669
122	2659	2	38	45267	17.02	13	13	21	8	2	33	945	513	708	479	14	2669
123	2659	2	38	45224	17.01	13	13	21	8	2	33	973	517	673	481	15	2669
124	2659	2	38	44249	16.64	13	13	21	8	2	33	935	565	680	464	15	2669
125	2659	2	38	44511	16.74	13	13	21	8	2	33	965	511	699	469	15	2669
126	2659	2	38	43240	16.26	13	13	21	8	2	33	1088	473	675	408	15	2669
