column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	25421618	2	34	808244440	31.79	32	33	34	2	29	34	7832682	5500750	4534216	7536479	17491	25421618
2	25421603	2	34	812403373	31.96	33	33	34	1	32	34	8007424	5045856	5300743	7051815	15765	25421618
3	25421589	2	34	813827642	32.01	33	33	34	1	32	34	7634128	5339119	5326813	7107127	14402	25421618
4	25421570	2	34	809678534	31.85	33	33	34	1	32	34	7230394	5480982	5337571	7357235	15388	25421618
5	25421546	2	34	809597223	31.85	33	33	34	1	32	34	7313624	5206559	5435536	7451081	14746	25421618
6	25421533	2	38	909837359	35.79	37	38	38	1	36	38	7374365	5409865	5478919	7145366	13018	25421618
7	25421516	2	38	909295946	35.77	37	38	38	1	36	38	7312994	5202624	5552680	7339404	13814	25421618
8	25421489	2	38	909040746	35.76	37	38	38	1	36	38	7417146	5321632	5380919	7288420	13372	25421618
9	25421454	2	38	908408645	35.73	37	38	38	1	36	38	7312170	5367973	5308694	7419572	13045	25421618
10	25421429	2	38	908419650	35.73	37	38	38	1	36	38	7355974	5391789	5341253	7318699	13714	25421618
11	25421388	2	38	908048984	35.72	37	38	38	1	36	38	7337814	5406688	5303560	7358870	14456	25421618
12	25421359	2	38	907752809	35.71	37	38	38	1	36	38	7358867	5390539	5307055	7351720	13178	25421618
13	25421307	2	38	907801345	35.71	37	38	38	1	36	38	7396679	5349138	5294616	7367311	13563	25421618
14	25421231	2	38	907130927	35.68	37	38	38	1	36	38	7417494	5331155	5293030	7366432	13120	25421618
15	25421154	2	38	906958075	35.68	37	38	38	1	36	38	7371895	5383317	5281470	7371584	12888	25421618
16	25421058	2	38	906434735	35.66	37	38	38	1	36	38	7348003	5369216	5313307	7377742	12790	25421618
17	25420961	2	38	905254152	35.61	37	38	38	1	36	38	7368254	5357291	5321829	7359203	14384	25421618
18	25420877	2	38	905364998	35.62	37	38	38	1	36	38	7325053	5404382	5312147	7365516	13779	25421618
19	25420767	2	38	905168452	35.61	37	38	38	1	36	38	7333817	5376310	5330970	7366075	13595	25421618
20	25420664	2	38	904724471	35.59	37	38	38	1	36	38	7334366	5393913	5346465	7332161	13759	25421618
21	25420570	2	38	903851608	35.56	37	38	38	1	36	38	7309927	5423338	5347045	7327443	12817	25421618
22	25420459	2	38	903151965	35.53	37	38	38	1	36	38	7313137	5413109	5349155	7331598	13460	25421618
23	25420347	2	38	903185275	35.53	37	38	38	1	36	38	7310030	5417523	5358365	7322479	11950	25421618
24	25420218	2	38	902830014	35.52	37	38	38	1	36	38	7289067	5445943	5366489	7305716	13003	25421618
25	25420089	2	38	902638744	35.51	37	38	38	1	36	38	7296321	5432909	5380004	7298668	12187	25421618
26	25419965	2	38	901941698	35.48	37	38	38	1	36	38	7300489	5425705	5384551	7295149	14071	25421618
27	25419854	2	38	901644563	35.47	37	38	38	1	36	38	7269234	5453408	5401559	7280652	15001	25421618
28	25419717	2	38	901267171	35.46	37	38	38	1	36	38	7279738	5449723	5393920	7280260	16076	25421618
29	25419584	2	38	900370285	35.42	37	38	38	1	36	38	7285139	5442633	5405128	7270163	16521	25421618
30	25419438	2	38	900734395	35.43	37	38	38	1	36	38	7263341	5459300	5414023	7265071	17703	25421618
31	25419296	2	38	900688453	35.43	37	38	38	1	36	38	7269192	5459892	5405598	7266881	17733	25421618
32	25419157	2	38	900486454	35.43	37	38	38	1	36	38	7284555	5452969	5402189	7261086	18358	25421618
33	25419026	2	38	900038870	35.41	37	38	38	1	36	38	7266978	5468381	5412277	7253848	17542	25421618
34	25418886	2	38	899226060	35.38	37	38	38	1	36	38	7275697	5453854	5418750	7250633	19952	25421618
35	25418743	2	38	898574928	35.35	37	38	38	1	36	38	7279065	5459838	5425228	7235284	19328	25421618
36	25418598	2	38	898749626	35.36	37	38	38	1	36	38	7272861	5471128	5412496	7243878	18235	25421618
37	25418454	2	38	898461461	35.35	37	38	38	1	36	38	7283254	5454301	5422643	7240320	17936	25421618
38	25418316	2	38	898027851	35.33	37	38	38	1	36	38	7283699	5455109	5435675	7226391	17442	25421618
39	25418148	2	38	897248106	35.30	37	38	38	1	36	38	7256725	5478597	5433929	7231197	17700	25421618
40	25418002	2	38	896807820	35.28	37	38	38	1	36	38	7265773	5474191	5432135	7228213	17690	25421618
41	25417852	2	38	896670670	35.28	37	38	38	1	36	38	7275788	5463915	5427295	7234243	16611	25421618
42	25417714	2	38	895368606	35.23	36	38	38	2	33	38	7257439	5479658	5435468	7228205	16944	25421618
43	25417548	2	38	895440730	35.23	36	38	38	2	33	38	7264647	5472920	5432169	7231988	15824	25421618
44	25417363	2	38	893732553	35.16	36	38	38	2	33	38	7270131	5466774	5444969	7218971	16518	25421618
45	25417196	2	38	893528642	35.15	36	38	38	2	33	38	7254461	5486915	5439778	7220435	15607	25421618
46	25417038	2	38	893625994	35.16	36	38	38	2	33	38	7266389	5469786	5438798	7226449	15616	25421618
47	25416894	2	38	893332215	35.15	36	38	38	2	33	38	7260914	5473021	5445698	7222135	15126	25421618
48	25416729	2	38	892695344	35.12	36	38	38	2	33	38	7243099	5494436	5442601	7221082	15511	25421618
49	25416590	2	38	891425531	35.07	36	38	38	2	33	38	7256333	5483852	5444427	7216911	15067	25421618
50	25416421	2	38	891098252	35.06	36	38	38	2	33	38	7260397	5470040	5450905	7219823	15256	25421618
51	25416250	2	38	890717681	35.05	36	38	38	2	33	38	7245267	5488401	5444989	7222997	14596	25421618
52	25416052	2	38	890130353	35.02	36	38	38	2	33	38	7250707	5483355	5445217	7221687	15086	25421618
53	25415861	2	38	888976996	34.98	36	38	38	2	33	38	7259407	5473982	5449482	7217150	15840	25421618
54	25415673	2	38	888637594	34.96	36	38	38	2	33	38	7238568	5491261	5446163	7224351	15330	25421618
55	25415472	2	38	888215426	34.95	36	38	38	2	33	38	7255816	5482094	5446127	7215704	15731	25421618
56	25415285	2	38	887563166	34.92	36	38	38	2	33	38	7258282	5476425	5450120	7215444	15014	25421618
57	25415088	2	38	886946981	34.90	36	38	38	2	33	38	7239439	5499592	5446617	7214778	14662	25421618
58	25414893	2	38	886232227	34.87	36	38	38	2	33	38	7248229	5485890	5452317	7213726	14731	25421618
59	25414690	2	38	885426930	34.84	36	38	38	2	33	38	7251676	5484429	5450980	7213267	14338	25421618
60	25414456	2	38	884932921	34.82	36	38	38	2	33	38	7234053	5505530	5451858	7209969	13046	25421618
61	25414261	2	38	884175207	34.79	36	38	38	2	33	38	7243904	5489453	5446147	7221727	13030	25421618
62	25414022	2	38	883209308	34.75	36	38	38	2	33	38	7243605	5487424	5449047	7220930	13016	25421618
63	25413772	2	38	882491780	34.72	36	38	38	2	33	38	7240959	5504565	5441714	7214985	11549	25421618
64	25413519	2	38	881617395	34.69	36	38	38	2	33	38	7247793	5500315	5442539	7210970	11902	25421618
65	25413264	2	38	881076702	34.67	35	38	38	3	31	38	7252612	5489756	5451766	7207761	11369	25421618
66	25413017	2	38	880307143	34.64	35	38	38	3	31	38	7242408	5502101	5449874	7208663	9971	25421618
67	25412752	2	38	879392581	34.60	35	38	38	3	31	38	7248440	5490858	5452170	7210641	10643	25421618
68	25412486	2	38	877863613	34.54	35	38	38	3	31	38	7249854	5492530	5454488	7205057	10557	25421618
69	25412221	2	38	877486640	34.53	35	38	38	3	31	38	7239172	5506091	5450169	7207252	9537	25421618
70	25411970	2	38	876760274	34.50	35	38	38	3	31	38	7250111	5493968	5453694	7204526	9671	25421618
71	25411692	2	38	875594518	34.46	35	38	38	3	31	38	7251484	5489692	5453993	7207440	9083	25421618
72	25411432	2	38	874393329	34.41	35	38	38	3	31	38	7233452	5509901	5449005	7210089	8985	25421618
73	25411115	2	38	873082430	34.36	35	38	38	3	31	38	7242446	5497770	5448339	7212416	10144	25421618
74	25410839	2	38	871916666	34.31	35	38	38	3	31	38	7250241	5485520	5450188	7214427	10463	25421618
75	25410542	2	38	871068139	34.28	34	38	38	4	28	38	7236487	5505877	5444447	7213448	10283	25421618
76	25410211	2	38	869742372	34.23	34	38	38	4	28	38	7246294	5499936	5447472	7207300	9209	25421618
77	25409909	2	38	869045926	34.20	34	38	38	4	28	38	7252308	5489808	5446947	7211426	9420	25421618
78	25409574	2	38	867965263	34.16	34	38	38	4	28	38	7245577	5497592	5449891	7207349	9165	25421618
79	25409214	2	38	866953288	34.12	34	38	38	4	28	38	7242707	5495174	5454035	7206540	10758	25421618
80	25408881	2	38	866037241	34.08	34	38	38	4	28	38	7239815	5503687	5448837	7206645	9897	25421618
81	25408524	2	38	864988642	34.04	34	38	38	4	28	38	7228610	5516632	5445544	7207066	10672	25421618
82	25408124	2	38	863645675	33.99	34	38	38	4	28	38	7246879	5497722	5448621	7203716	11186	25421618
83	25407728	2	38	862222666	33.94	34	38	38	4	28	38	7242647	5498465	5450522	7202713	13381	25421618
84	25407327	2	38	861014957	33.89	34	38	38	4	28	38	7227685	5511230	5445446	7209916	13050	25421618
85	25406973	2	38	859560859	33.83	34	38	38	4	28	38	7236588	5502142	5443704	7211401	13138	25421618
86	25406568	2	38	857618530	33.76	34	38	38	4	28	38	7249072	5494620	5451640	7198275	12961	25421618
87	25406155	2	38	856381041	33.71	34	38	38	4	28	38	7233460	5509663	5450591	7199341	13100	25421618
88	25405750	2	38	855220112	33.66	34	38	38	4	28	38	7236967	5502567	5444957	7207790	13469	25421618
89	25405302	2	38	854231561	33.62	34	38	38	4	28	38	7236192	5497827	5452676	7204017	14590	25421618
90	25404871	2	38	852998425	33.58	34	38	38	4	28	38	7223615	5510679	5455032	7201008	14537	25421618
91	25404446	2	38	851732055	33.53	34	38	38	4	28	38	7228449	5502406	5451803	7205654	16134	25421618
92	25404008	2	38	850345537	33.47	34	38	38	4	28	38	7233154	5499950	5453131	7202088	15685	25421618
93	25403581	2	38	849384301	33.44	33	38	38	5	26	38	7220989	5514955	5451330	7201358	14949	25421618
94	25403174	2	38	847825025	33.37	33	38	38	5	26	38	7232162	5507440	5447305	7200733	15534	25421618
95	25402773	2	38	846037734	33.30	33	38	38	5	26	38	7232771	5501884	5451319	7200297	16502	25421618
96	25402490	2	38	844169013	33.23	33	38	38	5	26	38	7221433	5510976	5450132	7201384	18565	25421618
97	25402453	2	38	842747769	33.18	33	38	38	5	26	38	7230833	5502872	5450492	7199137	19119	25421618
98	25402442	2	38	840131822	33.07	33	38	38	5	26	38	7237697	5497114	5451264	7197863	18504	25421618
99	25402430	2	38	837838930	32.98	32	38	38	6	23	38	7215419	5515919	5453820	7201548	15724	25421618
100	25402423	2	38	836025295	32.91	31	38	38	7	21	38	7228148	5515704	5450309	7198062	10200	25421618
101	25402413	2	38	835243856	32.88	31	38	38	7	21	38	7230572	5512015	5456836	7196540	6450	25421618
102	25402407	2	38	834757530	32.86	31	38	38	7	21	38	7221901	5521032	5457638	7196439	5397	25421618
103	25402400	2	38	832746463	32.78	31	38	38	7	21	38	7221877	5517619	5456797	7198346	7761	25421618
104	25402391	2	38	830927314	32.71	31	38	38	7	21	38	7227956	5513252	5453443	7196385	11355	25421618
105	25402380	2	38	829674088	32.66	31	37	38	7	21	38	7214666	5525775	5448226	7201595	12118	25421618
106	25402370	2	38	827849116	32.59	31	37	38	7	21	38	7228082	5520114	5443249	7195514	15411	25421618
107	25402362	2	38	827351849	32.57	31	37	38	7	21	38	7230595	5513330	5455411	7186815	16211	25421618
108	25402356	2	38	826294287	32.53	31	37	38	7	21	38	7215063	5526773	5449448	7194861	16211	25421618
109	25402350	2	38	824246000	32.45	31	37	38	7	21	38	7222417	5512194	5450619	7201341	15779	25421618
110	25402341	2	38	821930422	32.36	29	37	38	9	16	38	7221795	5510819	5464368	7190188	15171	25421618
111	25402341	2	38	820348778	32.29	29	37	38	9	16	38	7212861	5523855	5459412	7191294	14919	25421618
112	25402341	2	38	818637008	32.23	29	37	38	9	16	38	7216357	5528238	5447859	7196099	13788	25421618
113	25402341	2	38	816493633	32.14	29	37	38	9	16	38	7219267	5519984	5451930	7196465	14695	25421618
114	25402341	2	38	814535786	32.07	29	37	38	9	16	38	7211564	5528664	5458063	7189389	14661	25421618
115	25402341	2	38	813084350	32.01	28	37	38	10	13	38	7221170	5523044	5451082	7191518	15527	25421618
116	25402341	2	38	811533909	31.95	28	37	38	10	13	38	7218242	5521028	5449233	7197980	15858	25421618
117	25402341	2	38	809012801	31.85	28	37	38	10	13	38	7207842	5532701	5451952	7194866	14980	25421618
118	25402341	2	38	807505345	31.79	28	37	38	10	13	38	7213594	5528106	5445697	7198135	16809	25421618
119	25402341	2	38	805602879	31.71	28	37	38	10	13	38	7217344	5517916	5458228	7192620	16233	25421618
120	25402341	2	38	803597294	31.63	27	36	38	11	11	38	7203149	5543059	5448329	7191327	16477	25421618
121	25402341	2	38	801643027	31.56	27	36	38	11	11	38	7221812	5529523	5448706	7185375	16925	25421618
122	25402341	2	38	798441859	31.43	27	36	38	11	11	38	7213329	5524626	5462173	7183939	18274	25421618
123	25402341	2	38	796097004	31.34	26	36	38	12	8	38	7199633	5541269	5452379	7189372	19688	25421618
124	25402341	2	38	793159400	31.22	25	36	38	13	6	38	7207661	5537266	5451664	7187721	18029	25421618
125	25402341	2	38	790565604	31.12	25	36	38	13	6	38	7210936	5527100	5456104	7192671	15530	25421618
126	25402341	2	38	705863436	27.79	15	31	37	22	2	38	7080451	5636996	5503301	7167624	13969	25421618
