column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	623	2	34	16544	26.56	25	27	32	7	15	34	417	66	78	61	1	623
2	623	2	34	16103	25.85	18	27	32	14	2	34	126	57	63	376	1	623
3	623	2	34	14982	24.05	18	25	28	10	3	34	97	330	89	106	1	623
4	623	2	34	13853	22.24	15	25	30	15	2	34	91	92	347	92	1	623
5	623	2	34	15998	25.68	15	27	32	17	2	34	90	83	383	66	1	623
6	623	2	38	13256	21.28	14	16	29	15	2	38	302	60	184	76	1	623
7	623	2	38	16596	26.64	16	28	34	18	2	38	400	69	78	75	1	623
8	623	2	38	13729	22.04	14	16	30	16	2	38	167	45	335	75	1	623
9	623	2	38	14572	23.39	16	26	30	14	2	38	410	61	91	59	2	623
10	623	2	38	14707	23.61	16	26	30	14	2	38	138	42	358	83	2	623
11	623	2	38	13434	21.56	16	16	29	13	2	38	105	296	129	91	2	623
12	623	2	38	14729	23.64	16	26	29	13	2	38	91	95	362	73	2	623
13	623	2	38	12785	20.52	14	16	28	14	2	38	111	75	279	156	2	623
14	623	2	38	14235	22.85	14	24	29	15	2	38	113	347	76	85	2	623
15	623	2	38	14783	23.73	14	24	29	15	2	38	114	79	358	70	2	623
16	623	2	38	13164	21.13	14	16	28	14	2	38	113	68	217	223	2	623
17	623	2	38	14906	23.93	15	27	29	14	2	38	93	69	373	86	2	623
18	623	2	38	13842	22.22	14	16	28	14	2	38	97	62	180	282	2	623
19	623	2	38	13406	21.52	14	16	28	14	2	38	361	68	92	100	2	623
20	623	2	38	14327	23.00	15	16	29	14	2	38	115	64	362	80	2	623
21	623	2	38	16824	27.00	16	28	36	20	2	38	93	57	399	73	1	623
22	623	2	38	17997	28.89	16	34	37	21	2	38	81	64	402	75	1	623
23	623	2	38	12954	20.79	14	16	28	14	2	38	240	52	250	80	1	623
24	623	2	38	15494	24.87	16	27	31	15	2	38	399	47	95	81	1	623
25	623	2	38	17278	27.73	16	29	36	20	2	38	403	70	88	61	1	623
26	623	2	38	12994	20.86	15	16	27	12	2	38	160	62	316	83	2	623
27	623	2	38	13970	22.42	16	16	28	12	2	38	378	62	92	89	2	623
28	623	2	38	13959	22.41	16	16	28	12	2	38	115	50	377	79	2	623
29	623	2	38	12711	20.40	15	16	27	12	2	38	90	68	272	191	2	623
30	623	2	38	13888	22.29	15	16	28	13	2	38	114	60	361	86	2	623
31	623	2	38	13447	21.58	14	16	28	14	2	38	105	55	167	294	2	623
32	623	2	38	13007	20.88	16	16	27	11	2	38	374	61	94	92	2	623
33	623	2	38	12740	20.45	14	16	27	13	2	38	172	61	301	87	2	623
34	623	2	38	13251	21.27	16	16	27	11	2	38	357	65	116	83	2	623
35	623	2	38	12822	20.58	16	16	27	11	2	38	175	64	79	303	2	623
36	623	2	38	13470	21.62	16	16	28	12	2	38	101	273	99	148	2	623
37	623	2	38	14673	23.55	16	25	29	13	2	38	107	77	88	349	2	623
38	623	2	38	13617	21.86	16	16	28	12	2	38	109	298	82	132	2	623
39	623	2	38	13814	22.17	16	16	28	12	2	38	95	85	338	103	2	623
40	623	2	38	15675	25.16	16	27	33	17	2	38	102	71	370	78	2	623
41	623	2	38	12772	20.50	14	16	27	13	2	38	98	73	234	216	2	623
42	623	2	38	13794	22.14	14	16	28	14	2	38	86	78	360	97	2	623
43	623	2	38	15942	25.59	16	27	34	18	2	38	108	66	374	73	2	623
44	623	2	38	12678	20.35	14	15	27	13	2	38	91	78	272	180	2	623
45	623	2	38	12395	19.90	14	15	27	13	2	38	109	278	126	108	2	623
46	623	2	38	13696	21.98	14	24	27	13	2	38	95	90	363	73	2	623
47	623	2	38	12016	19.29	14	15	25	11	2	38	78	296	183	64	2	623
48	623	2	38	14277	22.92	15	24	28	13	2	38	116	352	80	73	2	623
49	623	2	38	12926	20.75	14	16	27	13	2	38	96	93	357	76	1	623
50	623	2	38	12554	20.15	14	14	27	13	2	38	87	81	279	174	2	623
51	623	2	38	12790	20.53	14	16	27	13	2	38	322	72	130	97	2	623
52	623	2	38	12913	20.73	14	16	27	13	2	38	114	69	105	333	2	623
53	623	2	38	13558	21.76	14	16	28	14	2	38	102	292	108	119	2	623
54	623	2	38	13585	21.81	15	16	28	13	2	38	327	123	94	77	2	623
55	623	2	38	13649	21.91	15	16	28	13	2	38	137	61	108	315	2	623
56	623	2	38	15067	24.18	15	26	29	14	2	38	106	88	89	339	1	623
57	623	2	38	12994	20.86	15	16	27	12	2	38	316	74	96	135	2	623
58	623	2	38	15206	24.41	16	26	31	15	2	38	389	72	86	74	2	623
59	623	2	38	16446	26.40	16	27	35	19	2	38	395	67	89	70	2	623
60	623	2	38	17266	27.71	16	31	37	21	2	38	391	66	96	68	2	623
61	623	2	38	17732	28.46	16	33	38	22	2	38	405	64	76	77	1	623
62	623	2	38	17678	28.38	16	32	38	22	2	38	415	63	76	68	1	623
63	623	2	38	17638	28.31	16	33	38	22	2	38	410	50	94	68	1	623
64	623	2	38	17665	28.35	16	33	38	22	2	38	421	62	84	55	1	623
65	622	2	38	17622	28.33	16	34	38	22	2	38	403	80	83	55	1	623
66	622	2	38	17525	28.18	16	32	38	22	2	38	401	59	85	76	1	623
67	622	2	38	16110	25.90	15	27	34	19	2	38	392	53	92	84	1	623
68	622	2	38	13843	22.26	14	24	28	14	2	38	383	71	91	76	1	623
69	622	2	38	13155	21.15	14	16	25	11	2	38	366	70	103	82	1	623
70	622	2	38	12951	20.82	14	16	25	11	2	38	363	71	116	71	1	623
71	622	2	38	12947	20.82	14	16	26	12	2	38	344	76	116	85	1	623
72	622	2	38	12869	20.69	14	15	25	11	2	38	340	77	130	74	1	623
73	622	2	38	12649	20.34	14	15	25	11	2	38	299	73	152	97	1	623
74	622	2	38	12651	20.34	14	15	26	12	2	38	318	70	142	91	1	623
75	622	2	38	12585	20.23	14	15	26	12	2	38	303	99	138	80	2	623
76	622	2	38	12591	20.24	14	15	26	12	2	38	292	86	158	85	1	623
77	622	2	38	12052	19.38	14	15	25	11	2	38	272	96	164	89	1	623
78	622	2	38	12005	19.30	14	15	25	11	2	38	265	76	181	99	1	623
79	622	2	38	12369	19.89	14	15	26	12	2	38	288	81	168	84	1	623
80	622	2	38	12049	19.37	13	15	25	12	2	38	267	89	174	91	1	623
81	622	2	38	12012	19.31	13	15	25	12	2	38	270	87	167	97	1	623
82	622	2	38	11673	18.77	13	14	24	11	2	38	243	81	185	112	1	623
83	622	2	38	11646	18.72	13	14	23	10	2	38	234	101	194	91	2	623
84	622	2	38	11873	19.09	13	14	23	10	2	38	233	98	200	89	2	623
85	622	2	38	11866	19.08	13	15	24	11	2	38	232	102	194	92	2	623
86	622	2	38	11986	19.27	13	15	25	12	2	38	226	81	198	115	2	623
87	622	2	38	11657	18.74	13	14	23	10	2	38	204	88	212	116	2	623
88	622	2	38	11736	18.87	13	14	23	10	2	38	189	111	218	102	2	623
89	622	2	38	11638	18.71	13	14	23	10	2	38	190	102	216	112	2	623
90	622	2	38	11644	18.72	13	14	23	10	2	38	214	121	203	82	2	623
91	622	2	38	11580	18.62	13	14	23	10	2	38	213	89	223	95	2	623
92	622	2	38	11803	18.98	13	14	23	10	2	38	210	111	204	95	2	623
93	622	2	38	11563	18.59	13	14	23	10	2	38	214	89	223	94	2	623
94	622	2	38	11688	18.79	13	14	23	10	2	38	181	99	237	103	2	623
95	622	2	38	11688	18.79	13	14	23	10	2	38	204	107	210	99	2	623
96	622	2	38	11487	18.47	13	14	23	10	2	38	188	104	210	118	2	623
97	622	2	38	11552	18.57	13	14	23	10	2	38	211	94	205	110	2	623
