column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	42276	2	34	1385259	32.77	33	34	34	1	32	34	11473	10598	8798	11347	60	42276
2	42258	18	34	1390513	32.91	33	34	34	1	32	34	11710	9657	9879	11012	0	42276
3	42258	18	34	1392110	32.94	33	34	34	1	32	34	10875	10241	10530	10612	0	42276
4	42258	15	34	1391958	32.94	33	34	34	1	32	34	10614	10811	9787	11046	0	42276
5	42257	2	34	1391481	32.93	33	34	34	1	32	34	11313	9342	10451	11143	8	42276
6	42257	14	38	1542234	36.50	37	38	38	1	36	38	11020	9458	10942	10837	0	42276
7	42257	14	38	1550846	36.70	37	38	38	1	36	38	10925	9710	10869	10753	0	42276
8	42257	14	38	1555360	36.81	38	38	38	0	38	38	11147	10564	9900	10646	0	42276
9	42257	14	38	1557951	36.87	38	38	38	0	38	38	10772	10536	10143	10806	0	42276
10	42257	14	38	1558209	36.87	38	38	38	0	38	38	10953	10359	10190	10755	0	42276
11	42257	14	38	1557017	36.85	38	38	38	0	38	38	10699	10569	10179	10810	0	42276
12	42255	14	38	1555023	36.80	38	38	38	0	38	38	10573	10561	9977	11144	0	42276
13	42255	14	38	1556021	36.82	38	38	38	0	38	38	11065	10255	9787	11148	0	42276
14	42255	14	38	1558202	36.88	38	38	38	0	38	38	11187	9858	10128	11082	0	42276
15	42255	14	38	1557911	36.87	38	38	38	0	38	38	11093	10045	10061	11056	0	42276
16	42254	14	38	1558539	36.89	38	38	38	0	38	38	11188	10261	10140	10665	0	42276
17	42254	14	38	1559464	36.91	38	38	38	0	38	38	11241	10135	10146	10732	0	42276
18	42254	14	38	1559633	36.91	38	38	38	0	38	38	10737	9975	10883	10659	0	42276
19	42254	14	38	1558997	36.90	38	38	38	0	38	38	10736	10078	10788	10652	0	42276
20	42254	14	38	1560033	36.92	38	38	38	0	38	38	10790	10461	10255	10748	0	42276
21	42254	14	38	1559530	36.91	38	38	38	0	38	38	10765	10248	10115	11126	0	42276
22	42254	14	38	1559857	36.92	38	38	38	0	38	38	10906	10382	10200	10766	0	42276
23	42254	14	38	1557574	36.86	38	38	38	0	38	38	10789	10655	9991	10819	0	42276
24	42254	14	38	1558437	36.88	38	38	38	0	38	38	10849	10643	10025	10737	0	42276
25	42254	14	38	1557923	36.87	38	38	38	0	38	38	10973	10337	10155	10789	0	42276
26	42254	14	38	1556377	36.83	38	38	38	0	38	38	11337	10076	10018	10823	0	42276
27	42252	14	38	1555172	36.81	38	38	38	0	38	38	10848	10275	10438	10691	0	42276
28	42252	14	38	1553368	36.76	38	38	38	0	38	38	10672	10362	10148	11070	0	42276
29	42251	14	38	1553825	36.78	38	38	38	0	38	38	10934	10219	10263	10835	0	42276
30	42251	14	38	1551997	36.73	38	38	38	0	38	38	10946	9672	10681	10952	0	42276
31	42251	14	38	1552535	36.75	38	38	38	0	38	38	10711	10500	10348	10692	0	42276
32	42251	2	38	1552878	36.75	38	38	38	0	38	38	11033	10384	9788	11042	4	42276
33	42248	14	38	1552282	36.74	38	38	38	0	38	38	11086	10081	10106	10975	0	42276
34	42248	2	38	1551993	36.74	38	38	38	0	38	38	10885	10330	10591	10441	1	42276
35	42248	2	38	1550199	36.69	38	38	38	0	38	38	10850	11027	9879	10491	1	42276
36	42248	14	38	1550367	36.70	38	38	38	0	38	38	10765	10437	10101	10945	0	42276
37	42247	14	38	1548711	36.66	38	38	38	0	38	38	11170	10109	10086	10882	0	42276
38	42247	14	38	1546703	36.61	38	38	38	0	38	38	11044	10014	10565	10624	0	42276
39	42247	14	38	1543773	36.54	38	38	38	0	38	38	10893	10242	10386	10726	0	42276
40	42246	14	38	1542136	36.50	38	38	38	0	38	38	10899	10519	9955	10873	0	42276
41	42244	14	38	1542823	36.52	38	38	38	0	38	38	11195	10096	10062	10891	0	42276
42	42244	2	38	1543321	36.53	38	38	38	0	38	38	11251	9783	10435	10774	1	42276
43	42243	14	38	1538899	36.43	38	38	38	0	38	38	10678	10158	10804	10603	0	42276
44	42242	2	38	1536534	36.37	38	38	38	0	38	38	10764	10584	10289	10558	47	42276
45	42242	14	38	1537060	36.39	38	38	38	0	38	38	11079	10125	10068	10970	0	42276
46	42242	2	38	1535384	36.35	38	38	38	0	38	38	11020	9963	10428	10829	2	42276
47	42242	14	38	1532717	36.28	37	38	38	1	36	38	10903	10325	10421	10593	0	42276
48	42241	2	38	1531706	36.26	37	38	38	1	36	38	10882	10574	9985	10797	3	42276
49	42240	14	38	1531690	36.26	37	38	38	1	36	38	10909	10393	9969	10969	0	42276
50	42239	14	38	1529943	36.22	37	38	38	1	36	38	10861	10277	10129	10972	0	42276
51	42236	14	38	1530756	36.24	37	38	38	1	36	38	10549	10248	10259	11180	0	42276
52	42235	14	38	1529941	36.22	37	38	38	1	36	38	10590	10491	10077	11077	0	42276
53	42234	14	38	1526174	36.14	37	38	38	1	36	38	10804	10254	10268	10908	0	42276
54	42234	14	38	1525860	36.13	37	38	38	1	36	38	10853	9658	10573	11150	0	42276
55	42232	14	38	1522952	36.06	37	38	38	1	36	38	10972	9778	10448	11034	0	42276
56	42232	2	38	1521232	36.02	37	38	38	1	36	38	10958	10477	10280	10516	1	42276
57	42229	14	38	1520199	36.00	37	38	38	1	36	38	11048	10461	10156	10564	0	42276
58	42229	14	38	1517854	35.94	37	38	38	1	36	38	10671	10305	10654	10599	0	42276
59	42227	14	38	1517246	35.93	37	38	38	1	36	38	10813	10328	10507	10579	0	42276
60	42226	2	38	1515033	35.88	37	38	38	1	36	38	11037	10399	9840	10947	3	42276
61	42226	2	38	1515201	35.88	37	38	38	1	36	38	10856	10204	10000	11165	1	42276
62	42223	14	38	1512121	35.81	37	38	38	1	36	38	10925	10432	10057	10809	0	42276
63	42220	14	38	1509461	35.75	37	38	38	1	36	38	11008	10349	10078	10785	0	42276
64	42217	2	38	1511243	35.80	37	38	38	1	36	38	11163	9985	10123	10944	2	42276
65	42215	14	38	1507407	35.71	37	38	38	1	36	38	11181	10175	10263	10596	0	42276
66	42215	14	38	1506476	35.69	37	38	38	1	36	38	11010	9873	10580	10752	0	42276
67	42214	2	38	1504904	35.65	37	38	38	1	36	38	10862	10222	10619	10510	1	42276
68	42214	13	38	1504061	35.63	37	38	38	1	36	38	10672	10261	10683	10598	0	42276
69	42209	2	38	1502005	35.58	37	38	38	1	36	38	10999	10357	10072	10779	2	42276
70	42208	2	38	1495417	35.43	36	38	38	2	33	38	11144	10091	10203	10767	3	42276
71	42206	2	38	1495963	35.44	36	38	38	2	33	38	10648	10855	10086	10616	1	42276
72	42200	2	38	1496047	35.45	36	38	38	2	33	38	10602	10743	9828	11025	2	42276
73	42199	13	38	1493207	35.38	36	38	38	2	33	38	10921	10147	9834	11297	0	42276
74	42193	13	38	1489213	35.30	36	38	38	2	33	38	11083	10079	10362	10669	0	42276
75	42191	2	38	1485814	35.22	36	38	38	2	33	38	11010	10466	10071	10642	2	42276
76	42186	2	38	1482485	35.14	36	38	38	2	33	38	10812	10403	10050	10918	3	42276
77	42182	2	38	1479587	35.08	36	38	38	2	33	38	11214	9778	10296	10893	1	42276
78	42176	2	38	1475508	34.98	36	38	38	2	33	38	10930	9612	10818	10815	1	42276
79	42171	2	38	1472023	34.91	36	38	38	2	33	38	10731	10045	10604	10790	1	42276
80	42167	2	38	1467268	34.80	36	38	38	2	33	38	10883	10586	10109	10583	6	42276
81	42159	2	38	1465501	34.76	36	38	38	2	33	38	10681	10603	10177	10690	8	42276
82	42150	2	38	1464897	34.75	35	38	38	3	31	38	10938	10061	10266	10881	4	42276
83	42136	2	38	1460021	34.65	35	38	38	3	31	38	10586	10413	10424	10710	3	42276
84	42124	2	38	1457063	34.59	35	38	38	3	31	38	10701	10547	10035	10840	1	42276
