column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	37985	2	34	1242036	32.70	33	33	34	1	32	34	10412	9262	8045	10244	22	37985
2	37984	18	34	1247669	32.85	33	34	34	1	32	34	10448	8647	8946	9943	0	37985
3	37981	18	34	1248061	32.86	33	34	34	1	32	34	9650	9295	9377	9659	0	37985
4	37967	15	34	1250080	32.93	33	34	34	1	32	34	9568	9707	8836	9856	0	37985
5	37967	15	34	1251779	32.97	33	34	34	1	32	34	9871	8748	9270	10078	0	37985
6	37967	14	38	1383462	36.44	37	38	38	1	36	38	9801	8776	9586	9804	0	37985
7	37967	14	38	1394321	36.72	37	38	38	1	36	38	9819	8742	9694	9712	0	37985
8	37967	14	38	1399588	36.86	38	38	38	0	38	38	9765	9521	9091	9590	0	37985
9	37967	14	38	1401018	36.90	38	38	38	0	38	38	9615	9439	8999	9914	0	37985
10	37967	14	38	1400421	36.89	38	38	38	0	38	38	9918	9181	9014	9854	0	37985
11	37967	14	38	1400349	36.88	38	38	38	0	38	38	9803	9182	9107	9875	0	37985
12	37967	14	38	1398330	36.83	38	38	38	0	38	38	9501	9503	8901	10062	0	37985
13	37967	2	38	1399157	36.85	38	38	38	0	38	38	10009	9206	8845	9905	2	37985
14	37966	14	38	1401131	36.90	38	38	38	0	38	38	9991	8738	9290	9947	0	37985
15	37966	14	38	1401183	36.91	38	38	38	0	38	38	9849	9088	9050	9979	0	37985
16	37966	14	38	1401664	36.92	38	38	38	0	38	38	10203	8938	9087	9738	0	37985
17	37965	14	38	1402742	36.95	38	38	38	0	38	38	10033	9138	9159	9635	0	37985
18	37964	14	38	1401158	36.91	38	38	38	0	38	38	9809	8798	9590	9767	0	37985
19	37964	14	38	1402696	36.95	38	38	38	0	38	38	9693	9000	9700	9571	0	37985
20	37964	14	38	1402775	36.95	38	38	38	0	38	38	9889	9147	9113	9815	0	37985
21	37964	14	38	1402695	36.95	38	38	38	0	38	38	9650	9050	9224	10040	0	37985
22	37964	14	38	1402548	36.94	38	38	38	0	38	38	9766	9271	9190	9737	0	37985
23	37964	14	38	1403260	36.96	38	38	38	0	38	38	9721	9227	9078	9938	0	37985
24	37964	2	38	1402729	36.95	38	38	38	0	38	38	9716	9507	9024	9715	2	37985
25	37964	14	38	1401132	36.91	38	38	38	0	38	38	9930	9165	9081	9788	0	37985
26	37963	2	38	1400355	36.89	38	38	38	0	38	38	10048	9048	9094	9770	3	37985
27	37962	14	38	1398689	36.84	38	38	38	0	38	38	9840	9279	9275	9568	0	37985
28	37961	14	38	1399583	36.87	38	38	38	0	38	38	9828	9297	9001	9835	0	37985
29	37960	14	38	1397618	36.82	38	38	38	0	38	38	9828	9108	9149	9875	0	37985
30	37959	14	38	1397138	36.81	38	38	38	0	38	38	9811	8955	9588	9605	0	37985
31	37959	14	38	1397913	36.83	38	38	38	0	38	38	9547	9432	9189	9791	0	37985
32	37958	14	38	1396786	36.80	38	38	38	0	38	38	10020	9151	8862	9925	0	37985
33	37958	14	38	1398236	36.84	38	38	38	0	38	38	9929	9142	9178	9709	0	37985
34	37958	14	38	1395716	36.77	38	38	38	0	38	38	9653	9279	9369	9657	0	37985
35	37958	14	38	1394410	36.74	38	38	38	0	38	38	9866	9749	9046	9297	0	37985
36	37958	14	38	1395365	36.76	38	38	38	0	38	38	9622	9323	8934	10079	0	37985
37	37957	14	38	1393504	36.71	38	38	38	0	38	38	9837	9040	9000	10080	0	37985
38	37957	14	38	1393291	36.71	38	38	38	0	38	38	9906	9023	9262	9766	0	37985
39	37956	14	38	1388798	36.59	38	38	38	0	38	38	9627	9357	9387	9585	0	37985
40	37955	14	38	1386888	36.54	38	38	38	0	38	38	9731	9677	8819	9728	0	37985
41	37955	14	38	1388627	36.59	38	38	38	0	38	38	10082	9039	8921	9913	0	37985
42	37955	14	38	1388257	36.58	38	38	38	0	38	38	9947	8900	9453	9655	0	37985
43	37954	14	38	1387312	36.55	38	38	38	0	38	38	9651	8988	9652	9663	0	37985
44	37953	14	38	1384528	36.48	38	38	38	0	38	38	9692	9317	9316	9628	0	37985
45	37951	14	38	1384030	36.47	38	38	38	0	38	38	9934	8995	9230	9792	0	37985
46	37951	14	38	1384384	36.48	38	38	38	0	38	38	9914	9109	9298	9630	0	37985
47	37951	14	38	1383757	36.46	38	38	38	0	38	38	9962	9317	9204	9468	0	37985
48	37950	14	38	1380658	36.38	38	38	38	0	38	38	9699	9684	9062	9505	0	37985
49	37949	14	38	1377758	36.31	37	38	38	1	36	38	9935	9322	9003	9689	0	37985
50	37946	14	38	1378721	36.33	37	38	38	1	36	38	9925	9002	9283	9736	0	37985
51	37946	2	38	1378629	36.33	37	38	38	1	36	38	9635	9154	9156	9997	4	37985
52	37946	2	38	1376000	36.26	37	38	38	1	36	38	9564	9442	8865	10069	6	37985
53	37945	14	38	1373857	36.21	37	38	38	1	36	38	9929	9103	9272	9641	0	37985
54	37945	14	38	1374123	36.21	37	38	38	1	36	38	9729	8924	9472	9820	0	37985
55	37944	14	38	1371634	36.15	37	38	38	1	36	38	9822	8974	9271	9877	0	37985
56	37942	14	38	1370048	36.11	37	38	38	1	36	38	9911	9245	9193	9593	0	37985
57	37940	14	38	1369249	36.09	37	38	38	1	36	38	9808	9280	9014	9838	0	37985
58	37939	14	38	1366638	36.02	37	38	38	1	36	38	9715	9097	9517	9610	0	37985
59	37939	14	38	1365226	35.98	37	38	38	1	36	38	9799	9370	9372	9398	0	37985
60	37937	2	38	1363174	35.93	37	38	38	1	36	38	9808	9222	8978	9881	48	37985
61	37936	2	38	1361092	35.88	37	38	38	1	36	38	9728	9148	8974	10000	86	37985
