column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	27659808	2	34	875967984	31.67	32	33	34	2	29	34	8541032	5985745	4926767	8187312	18952	27659808
2	27659800	2	34	880772380	31.84	32	33	34	2	29	34	8740726	5474156	5797480	7630497	16941	27659808
3	27659788	2	34	882104701	31.89	32	33	34	2	29	34	8299453	5813342	5815998	7715682	15313	27659808
4	27659772	2	34	877122730	31.71	33	33	34	1	32	34	7849697	5986558	5827371	7979769	16377	27659808
5	27659761	2	34	876964688	31.71	33	33	34	1	32	34	7938008	5689492	5920986	8095508	15767	27659808
6	27659741	2	38	985170213	35.62	37	38	38	1	36	38	8013953	5905620	5972570	7753719	13879	27659808
7	27659725	2	38	984570049	35.60	37	38	38	1	36	38	7950558	5677100	6055799	7961532	14736	27659808
8	27659703	2	38	984321723	35.59	37	38	38	1	36	38	8070894	5800269	5864393	7909831	14316	27659808
9	27659667	2	38	983609863	35.56	37	38	38	1	36	38	7951403	5853199	5787472	8053636	13957	27659808
10	27659638	2	38	983445544	35.56	37	38	38	1	36	38	8000720	5875973	5820927	7947327	14691	27659808
11	27659589	2	38	983119704	35.54	37	38	38	1	36	38	7976625	5892272	5785373	7989827	15492	27659808
12	27659552	2	38	982747314	35.53	37	38	38	1	36	38	8002789	5880669	5783660	7978347	14087	27659808
13	27659495	2	38	982731301	35.53	37	38	38	1	36	38	8029135	5835537	5771015	8009348	14460	27659808
14	27659422	2	38	982087733	35.51	37	38	38	1	36	38	8061286	5816949	5768599	7998565	14023	27659808
15	27659333	2	38	981729677	35.49	37	38	38	1	36	38	8005145	5877356	5756422	8006616	13794	27659808
16	27659250	2	38	980976566	35.47	37	38	38	1	36	38	7983872	5855361	5792220	8014138	13659	27659808
17	27659149	2	38	979627204	35.42	37	38	38	1	36	38	8005265	5850076	5796959	7991520	15329	27659808
18	27659049	2	38	979767998	35.42	37	38	38	1	36	38	7956156	5901803	5791860	7994542	14688	27659808
19	27658942	2	38	979722751	35.42	37	38	38	1	36	38	7973369	5864403	5804518	8002220	14432	27659808
20	27658821	2	38	979141892	35.40	37	38	38	1	36	38	7971756	5876963	5830104	7965301	14697	27659808
21	27658717	2	38	978143595	35.36	37	38	38	1	36	38	7940414	5912751	5833453	7958403	13696	27659808
22	27658602	2	38	977444712	35.34	37	38	38	1	36	38	7950068	5903715	5829473	7960977	14369	27659808
23	27658472	2	38	977449799	35.34	37	38	38	1	36	38	7939519	5912267	5844005	7949906	12775	27659808
24	27658342	2	38	977026162	35.32	37	38	38	1	36	38	7920654	5937891	5846109	7939828	13860	27659808
25	27658222	2	38	976723473	35.31	37	38	38	1	36	38	7919999	5928263	5865720	7931251	12989	27659808
26	27658061	2	38	975932594	35.29	37	38	38	1	36	38	7933897	5917356	5872297	7919414	15097	27659808
27	27657943	2	38	975633727	35.27	37	38	38	1	36	38	7896803	5952936	5883503	7908653	16048	27659808
28	27657791	2	38	975214546	35.26	37	38	38	1	36	38	7910132	5946737	5883094	7900565	17263	27659808
29	27657655	2	38	974359752	35.23	37	38	38	1	36	38	7919224	5933638	5886606	7900389	17798	27659808
30	27657494	2	38	974664558	35.24	37	38	38	1	36	38	7887770	5959113	5902097	7889439	19075	27659808
31	27657350	2	38	974540129	35.24	37	38	38	1	36	38	7901260	5957519	5893391	7886016	19164	27659808
32	27657173	2	38	974353855	35.23	37	38	38	1	36	38	7914612	5946521	5887576	7888678	19786	27659808
33	27657020	2	38	973640625	35.20	36	38	38	2	33	38	7900233	5963526	5899691	7874690	18880	27659808
34	27656866	2	38	972866635	35.18	36	38	38	2	33	38	7910762	5949091	5907764	7867672	21577	27659808
35	27656704	2	38	972133395	35.15	36	38	38	2	33	38	7912630	5950025	5915857	7857306	20886	27659808
36	27656537	2	38	972104252	35.15	36	38	38	2	33	38	7902367	5969596	5902900	7861948	19726	27659808
37	27656375	2	38	971894352	35.14	36	38	38	2	33	38	7904378	5955327	5918868	7858425	19377	27659808
38	27656225	2	38	971376879	35.12	36	38	38	2	33	38	7911349	5951320	5931192	7843470	18894	27659808
39	27656041	2	38	970699471	35.10	36	38	38	2	33	38	7884968	5971909	5926981	7853138	19045	27659808
40	27655864	2	38	970227753	35.08	36	38	38	2	33	38	7891602	5972994	5926528	7845682	19058	27659808
41	27655709	2	38	969878278	35.07	36	38	38	2	33	38	7909959	5956773	5919864	7851209	17904	27659808
42	27655561	2	38	968556534	35.02	36	38	38	2	33	38	7888510	5979626	5932074	7837149	18202	27659808
43	27655408	2	38	968525351	35.02	36	38	38	2	33	38	7891579	5970335	5930305	7846210	16979	27659808
44	27655216	2	38	966676842	34.95	36	38	38	2	33	38	7894381	5967337	5937532	7838125	17841	27659808
45	27655064	2	38	966403386	34.94	36	38	38	2	33	38	7879185	5979731	5935966	7843425	16757	27659808
46	27654884	2	38	966501268	34.95	36	38	38	2	33	38	7887074	5970971	5934324	7845806	16709	27659808
47	27654713	2	38	966206513	34.94	36	38	38	2	33	38	7881100	5973164	5941101	7843171	16177	27659808
48	27654560	2	38	965472150	34.91	36	38	38	2	33	38	7867921	5996244	5937201	7836526	16668	27659808
49	27654387	2	38	964101751	34.86	36	38	38	2	33	38	7877650	5985003	5947024	7828511	16199	27659808
50	27654212	2	38	963768874	34.85	36	38	38	2	33	38	7882630	5969640	5947157	7838510	16275	27659808
51	27654004	2	38	963362784	34.84	36	38	38	2	33	38	7866381	5994321	5940319	7837347	15636	27659808
52	27653832	2	38	962796575	34.82	36	38	38	2	33	38	7874136	5988024	5939125	7836346	16201	27659808
53	27653619	2	38	961463803	34.77	36	38	38	2	33	38	7884407	5978208	5941474	7832617	16913	27659808
54	27653400	2	38	960903342	34.75	36	38	38	2	33	38	7863232	5993364	5940452	7839941	16411	27659808
55	27653192	2	38	960390608	34.73	36	38	38	2	33	38	7869454	5990391	5942681	7833832	16834	27659808
56	27652999	2	38	959636371	34.70	36	38	38	2	33	38	7873521	5984887	5942807	7835748	16036	27659808
57	27652755	2	38	958920764	34.68	36	38	38	2	33	38	7855483	6000964	5941762	7838898	15648	27659808
58	27652538	2	38	958044133	34.65	35	38	38	3	31	38	7866238	5994298	5949240	7827010	15752	27659808
59	27652330	2	38	957085184	34.61	35	38	38	3	31	38	7875273	5991803	5946830	7823147	15277	27659808
60	27652101	2	38	956595258	34.59	35	38	38	3	31	38	7862726	6008701	5942027	7824664	13983	27659808
61	27651882	2	38	955752586	34.56	35	38	38	3	31	38	7865825	5992552	5945494	7834080	13931	27659808
62	27651671	2	38	954708905	34.53	35	38	38	3	31	38	7868108	5989249	5945394	7835018	13902	27659808
63	27651427	2	38	953905254	34.50	35	38	38	3	31	38	7857628	6008082	5940873	7832493	12351	27659808
64	27651185	2	38	952933322	34.46	35	38	38	3	31	38	7865925	6001459	5943172	7828017	12612	27659808
65	27650919	2	38	952223375	34.44	35	38	38	3	31	38	7873834	5993911	5946195	7824902	12077	27659808
66	27650649	2	38	951297764	34.40	35	38	38	3	31	38	7860754	6002089	5945416	7831738	10652	27659808
67	27650368	2	38	950163474	34.36	35	38	38	3	31	38	7869733	5996749	5950138	7822452	11296	27659808
68	27650118	2	38	948523088	34.30	35	38	38	3	31	38	7869946	5994423	5951536	7823020	11193	27659808
69	27649811	2	38	948035644	34.29	34	38	38	4	28	38	7854970	6010110	5947939	7826631	10161	27659808
70	27649499	2	38	947238547	34.26	34	38	38	4	28	38	7872591	5996599	5953213	7816771	10325	27659808
71	27649226	2	38	945913780	34.21	34	38	38	4	28	38	7870860	5997341	5951018	7820403	9604	27659808
