column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	36894197	2	34	1183793739	32.09	33	33	34	1	32	34	11352011	7989444	6612547	10887872	52323	36894197
2	36894189	2	34	1190362849	32.26	33	33	34	1	32	34	11590422	7310585	7681149	10279719	32314	36894197
3	36894179	2	34	1190730157	32.27	33	33	34	1	32	34	11063368	7742659	7712187	10343274	32691	36894197
4	36894169	2	34	1188215665	32.21	33	33	34	1	32	34	10469705	7947400	7728859	10713115	35090	36894197
5	36894158	2	34	1189391501	32.24	33	33	34	1	32	34	10597309	7535078	7882966	10843786	35019	36894197
6	36894150	2	38	1338342555	36.28	38	38	38	0	38	38	10690471	7836652	7955860	10388617	22550	36894197
7	36894139	2	38	1338371182	36.28	38	38	38	0	38	38	10602405	7542009	8071224	10651393	27108	36894197
8	36894119	2	38	1338458012	36.28	38	38	38	0	38	38	10752768	7707583	7807477	10601686	24605	36894197
9	36894087	2	38	1335147599	36.19	38	38	38	0	38	38	10603060	7774344	7706651	10785581	24451	36894197
10	36894060	2	38	1337363900	36.25	38	38	38	0	38	38	10664678	7798265	7763217	10644621	23279	36894197
11	36894000	2	38	1337594452	36.26	38	38	38	0	38	38	10638546	7822519	7716508	10695665	20762	36894197
12	36893929	2	38	1335264677	36.19	38	38	38	0	38	38	10652065	7807721	7692583	10665517	76043	36894197
13	36893847	2	38	1337803302	36.26	38	38	38	0	38	38	10726405	7758115	7697961	10711162	204	36894197
14	36893743	2	38	1336811293	36.23	38	38	38	0	38	38	10740409	7726534	7696009	10707803	22988	36894197
15	36893639	2	38	1336595789	36.23	38	38	38	0	38	38	10681011	7810484	7676506	10703440	22198	36894197
16	36893522	2	38	1336037066	36.21	38	38	38	0	38	38	10658369	7770929	7722342	10717550	24332	36894197
17	36893389	2	38	1336479259	36.23	38	38	38	0	38	38	10668521	7780918	7719879	10701074	22997	36894197
18	36893259	2	38	1336262804	36.22	38	38	38	0	38	38	10617328	7844096	7719927	10690949	20959	36894197
19	36893107	2	38	1335916902	36.21	38	38	38	0	38	38	10630533	7800572	7740485	10698958	22559	36894197
20	36892985	2	38	1335824702	36.21	38	38	38	0	38	38	10623365	7820698	7766647	10659559	22716	36894197
21	36892820	2	38	1332703631	36.12	38	38	38	0	38	38	10570795	7846961	7738256	10647034	89774	36894197
22	36892657	2	38	1333276054	36.14	38	38	38	0	38	38	10580124	7843453	7757253	10648731	63096	36894197
23	36892508	2	38	1334805607	36.18	38	38	38	0	38	38	10597660	7862697	7784870	10645687	1594	36894197
24	36892338	2	38	1334680882	36.18	38	38	38	0	38	38	10577526	7894517	7793272	10626342	681	36894197
25	36892146	2	38	1333991363	36.16	38	38	38	0	38	38	10578056	7883755	7824999	10603581	1755	36894197
