column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	3601	2	34	99388	27.60	27	27	32	5	20	34	3068	84	337	98	14	3601
2	3601	2	34	93471	25.96	25	27	32	7	15	34	423	92	103	2971	12	3601
3	3601	2	34	74222	20.61	18	18	25	7	8	34	227	2449	99	814	12	3601
4	3601	2	34	69344	19.26	15	15	25	10	2	34	169	398	2757	265	12	3601
5	3601	2	34	91819	25.50	25	27	31	6	16	34	122	103	3191	173	12	3601
6	3601	2	38	64375	17.88	14	14	16	2	11	19	1809	104	1526	150	12	3601
7	3601	2	38	93961	26.09	24	28	30	6	15	38	3147	101	187	154	12	3601
8	3601	2	38	67442	18.73	14	14	26	12	2	38	666	84	2693	146	12	3601
9	3601	2	38	72514	20.14	14	16	26	12	2	38	2912	111	418	148	12	3601
10	3601	2	38	74928	20.81	15	16	26	11	2	38	397	111	2935	146	12	3601
11	3601	2	38	65703	18.25	15	16	16	1	14	17	222	2203	1011	153	12	3601
12	3601	2	38	78985	21.93	14	26	28	14	2	38	171	290	2978	148	14	3601
13	3601	14	38	65422	18.17	14	14	26	12	14	38	211	152	2019	1219	0	3601
14	3601	2	38	70730	19.64	14	14	27	13	2	38	188	2807	252	342	12	3601
15	3601	2	38	75758	21.04	14	16	27	13	2	38	176	349	2903	162	11	3601
16	3601	2	38	65015	18.05	14	14	24	10	2	38	190	162	1478	1759	12	3601
17	3601	2	38	79380	22.04	14	24	27	13	2	38	174	126	2989	300	12	3601
18	3601	2	38	71028	19.72	14	15	26	12	2	38	155	103	1043	2288	12	3601
19	3601	2	38	66384	18.43	14	16	16	2	11	19	2660	112	253	564	12	3601
20	3601	2	38	73899	20.52	15	16	27	12	2	38	437	93	2850	209	12	3601
21	3601	2	38	96324	26.75	24	28	33	9	11	38	175	94	3171	153	8	3601
22	3601	2	38	111957	31.09	27	35	37	10	12	38	143	105	3209	138	6	3601
23	3601	14	38	63520	17.64	14	14	16	2	14	19	1189	113	2140	159	0	3601
24	3601	14	38	81860	22.73	15	24	27	12	14	38	3113	118	225	145	0	3601
25	3601	14	38	104582	29.04	25	29	36	11	14	38	3216	94	144	147	0	3601
26	3601	2	38	64641	17.95	14	15	16	2	11	19	1131	115	2213	136	6	3601
27	3601	2	38	72228	20.06	16	16	25	9	3	38	2917	105	435	134	10	3601
28	3601	2	38	71172	19.76	16	16	25	9	3	38	478	118	2837	157	11	3601
29	3601	2	38	63962	17.76	15	16	16	1	14	17	298	120	1810	1362	11	3601
30	3601	2	38	72699	20.19	14	16	27	13	2	38	174	116	2974	325	12	3601
31	3601	2	38	70965	19.71	14	16	25	11	2	38	171	117	857	2444	12	3601
32	3601	2	38	65408	18.16	16	16	16	0	16	16	2616	142	225	606	12	3601
33	3601	2	38	63292	17.58	14	16	16	2	11	19	842	125	2395	227	12	3601
34	3601	2	38	67169	18.65	16	16	16	0	16	16	2840	127	454	173	7	3601
35	3601	2	38	66249	18.40	16	16	16	0	16	16	980	128	237	2251	5	3601
36	3601	2	38	67949	18.87	16	16	16	0	16	16	467	1751	200	1178	5	3601
37	3601	2	38	79645	22.12	16	25	28	12	2	38	213	342	157	2884	5	3601
38	3601	14	38	70572	19.60	16	16	25	9	14	38	209	2507	155	730	0	3601
39	3601	2	38	70159	19.48	15	16	25	10	2	38	199	596	2479	318	9	3601
40	3601	14	38	89423	24.83	16	27	28	12	14	38	181	172	3084	164	0	3601
41	3601	2	38	64946	18.04	14	14	24	10	2	38	202	139	1886	1363	11	3601
42	3601	2	38	73977	20.54	14	16	27	13	2	38	201	125	2945	319	11	3601
43	3601	2	38	93550	25.98	16	27	34	18	2	38	154	121	3140	174	12	3601
44	3601	2	38	63874	17.74	14	14	16	2	11	19	165	146	2140	1138	12	3601
45	3601	2	38	61247	17.01	14	14	16	2	11	19	218	1603	1058	710	12	3601
46	3601	2	38	71982	19.99	14	16	25	11	2	38	193	277	2929	190	12	3601
47	3601	2	38	61130	16.98	14	14	16	2	11	19	195	2066	1178	151	11	3601
48	3601	2	38	75792	21.05	14	24	27	13	2	38	203	2965	269	153	11	3601
49	3601	2	38	65047	18.06	14	14	24	10	2	38	185	563	2699	142	12	3601
50	3601	2	38	61362	17.04	14	14	15	1	13	16	208	290	2194	897	12	3601
51	3601	2	38	63768	17.71	14	14	24	10	2	38	2162	243	799	385	12	3601
52	3601	2	38	67137	18.64	14	14	25	11	2	38	549	187	362	2491	12	3601
53	3601	2	38	68784	19.10	14	15	25	11	2	38	298	2401	260	630	12	3601
54	3601	2	38	69787	19.38	15	15	25	10	2	38	2292	870	199	228	12	3601
55	3601	2	38	69875	19.40	15	15	25	10	2	38	727	298	213	2352	11	3601
56	3601	2	38	87623	24.33	16	26	28	12	2	38	214	153	182	3040	12	3601
57	3601	2	38	66057	18.34	15	15	16	1	14	17	2142	161	189	1097	12	3601
58	3601	2	38	84360	23.43	15	25	27	12	2	38	3035	134	176	244	12	3601
59	3601	2	38	99554	27.65	24	28	35	11	8	38	3138	128	152	171	12	3601
60	3601	2	38	108415	30.11	25	34	37	12	7	38	3161	106	168	154	12	3601
61	3601	2	38	113191	31.43	27	36	38	11	11	38	3173	107	162	147	12	3601
62	3601	2	38	114639	31.84	28	36	38	10	13	38	3189	119	149	132	12	3601
63	3600	2	38	114394	31.78	27	37	38	11	11	38	3191	127	157	113	12	3601
64	3600	2	38	114980	31.94	28	38	38	10	13	38	3193	114	157	124	12	3601
65	3600	2	38	114438	31.79	28	36	38	10	13	38	3175	92	167	154	12	3601
66	3600	2	38	113925	31.65	27	36	38	11	11	38	3210	117	131	130	12	3601
67	3600	2	38	98462	27.35	16	29	35	19	2	38	3059	148	214	167	12	3601
68	3600	2	38	79528	22.09	14	24	26	12	2	38	2949	179	260	200	12	3601
69	3600	2	38	70075	19.47	14	15	25	11	2	38	2764	216	359	249	12	3601
70	3600	2	38	67446	18.73	14	14	25	11	2	38	2590	281	434	283	12	3601
71	3600	2	38	65642	18.23	14	14	24	10	2	38	2366	270	606	346	12	3601
72	3600	2	38	64843	18.01	14	14	24	10	2	38	2276	357	583	372	12	3601
73	3600	2	38	64100	17.81	13	14	23	10	2	38	2080	329	797	382	12	3601
74	3600	2	38	63618	17.67	14	14	23	9	2	36	2062	367	767	392	12	3601
75	3600	2	38	62990	17.50	13	14	22	9	2	35	1953	414	733	488	12	3601
