column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	28135898	2	34	888805254	31.59	32	33	34	2	29	34	8678110	6087107	5037661	8314316	18704	28135898
2	28135880	2	34	893722976	31.76	32	33	34	2	29	34	8867506	5586327	5890959	7774288	16800	28135898
3	28135859	2	34	895524272	31.83	32	33	34	2	29	34	8453243	5925219	5893791	7848346	15260	28135898
4	28135836	2	34	890366184	31.65	32	33	34	2	29	34	8001141	6088121	5902770	8127440	16364	28135898
5	28135810	2	34	890363065	31.65	32	33	34	2	29	34	8099553	5767212	6010861	8242484	15700	28135898
6	28135787	2	38	1000041503	35.54	37	38	38	1	36	38	8157866	5996641	6068249	7899212	13819	28135898
7	28135765	2	38	999471387	35.52	37	38	38	1	36	38	8091528	5771814	6151119	8106661	14643	28135898
8	28135749	2	38	998686401	35.50	37	38	38	1	36	38	8216583	5889469	5955788	8059634	14275	28135898
9	28135714	2	38	997608997	35.46	37	38	38	1	36	38	8100050	5938965	5886116	8196693	13890	28135898
10	28135682	2	38	997842582	35.47	37	38	38	1	36	38	8143613	5963355	5920672	8093462	14580	28135898
11	28135636	2	38	997131626	35.44	37	38	38	1	36	38	8126846	5979388	5881021	8133037	15344	28135898
12	28135596	2	38	996898903	35.43	37	38	38	1	36	38	8150758	5966799	5879396	8124648	13995	28135898
13	28135518	2	38	997076590	35.44	37	38	38	1	36	38	8190063	5923897	5859564	8147536	14458	28135898
14	28135451	2	38	996650185	35.42	37	38	38	1	36	38	8208248	5902514	5863118	8147620	13951	28135898
15	28135350	2	38	996220216	35.41	37	38	38	1	36	38	8163762	5963686	5846259	8147923	13720	28135898
16	28135249	2	38	995577572	35.39	37	38	38	1	36	38	8135563	5942957	5882181	8161020	13528	28135898
17	28135163	2	38	994366166	35.34	37	38	38	1	36	38	8155329	5932013	5894021	8138559	15241	28135898
18	28135041	2	38	994142791	35.33	37	38	38	1	36	38	8113210	5982891	5879202	8145059	14679	28135898
19	28134936	2	38	994272385	35.34	37	38	38	1	36	38	8122128	5955543	5894690	8148170	14405	28135898
20	28134809	2	38	993815369	35.32	37	38	38	1	36	38	8126201	5966765	5916174	8110987	14682	28135898
21	28134683	2	38	992842681	35.29	37	38	38	1	36	38	8095595	5997930	5918976	8108524	13658	28135898
22	28134544	2	38	992379005	35.27	37	38	38	1	36	38	8105898	5988671	5911265	8114355	14355	28135898
23	28134426	2	38	992287510	35.27	36	38	38	2	33	38	8089506	5995144	5935549	8101431	12796	28135898
24	28134301	2	38	992101344	35.26	37	38	38	1	36	38	8070302	6027472	5935646	8087037	13844	28135898
25	28134162	2	38	991799565	35.25	36	38	38	2	33	38	8078668	6017791	5944229	8080440	13034	28135898
26	28134014	2	38	991074704	35.23	36	38	38	2	33	38	8087813	6004360	5956642	8070202	14997	28135898
27	28133862	2	38	990898022	35.22	36	38	38	2	33	38	8048266	6041448	5969958	8058299	15891	28135898
28	28133712	2	38	990314463	35.20	36	38	38	2	33	38	8065651	6031676	5964433	8054789	17163	28135898
29	28133544	2	38	989445082	35.17	36	38	38	2	33	38	8072278	6025535	5971297	8046831	17603	28135898
30	28133384	2	38	989340255	35.17	36	38	38	2	33	38	8042570	6047512	5985332	8039106	18864	28135898
31	28133242	2	38	989290379	35.16	36	38	38	2	33	38	8052936	6040873	5980783	8039784	18866	28135898
32	28133096	2	38	989264853	35.16	36	38	38	2	33	38	8070992	6032086	5973055	8037345	19618	28135898
33	28132902	2	38	988537319	35.14	36	38	38	2	33	38	8050631	6048844	5983892	8030867	18668	28135898
34	28132752	2	38	987820856	35.11	36	38	38	2	33	38	8064172	6034224	5993474	8019625	21257	28135898
