column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	1153	2	34	31552	27.37	27	27	32	5	20	34	913	60	80	90	10	1153
2	1153	2	34	30484	26.44	25	27	32	7	15	34	156	61	82	844	10	1153
3	1153	2	34	26861	23.30	18	18	28	10	3	34	128	770	95	150	10	1153
4	1153	2	34	24957	21.65	15	15	27	12	2	34	110	121	811	101	10	1153
5	1153	2	34	30600	26.54	25	27	32	7	15	34	99	81	853	110	10	1153
6	1153	2	38	22082	19.15	14	14	26	12	2	38	541	65	418	119	10	1153
7	1153	2	38	31205	27.06	26	28	34	8	14	38	884	64	99	96	10	1153
8	1153	2	38	24590	21.33	14	16	28	14	2	38	193	71	787	92	10	1153
9	1153	2	38	24461	21.22	14	16	28	14	2	38	807	64	168	104	10	1153
10	1153	2	38	27134	23.53	16	26	29	13	2	38	144	67	836	96	10	1153
11	1153	2	38	22784	19.76	15	16	26	11	2	38	125	670	242	106	10	1153
12	1153	2	38	27112	23.51	14	26	28	14	2	38	119	87	842	95	10	1153
13	1153	2	38	22005	19.08	14	14	26	12	2	38	114	76	578	375	10	1153
14	1153	2	38	24470	21.22	14	16	27	13	2	38	109	798	123	113	10	1153
15	1153	2	38	26285	22.80	14	24	27	13	2	38	114	105	843	81	10	1153
16	1153	2	38	21824	18.93	14	14	25	11	2	38	133	69	511	430	10	1153
17	1153	2	38	27429	23.79	14	27	28	14	2	38	114	72	851	106	10	1153
18	1153	2	38	23836	20.67	14	16	27	13	2	38	116	74	322	631	10	1153
19	1153	2	38	23188	20.11	14	16	27	13	2	38	793	68	137	145	10	1153
20	1153	2	38	26238	22.76	15	24	28	13	2	38	144	64	835	100	10	1153
21	1153	2	38	32324	28.03	25	28	36	11	9	38	119	68	867	90	9	1153
22	1153	2	38	35313	30.63	26	36	37	11	10	38	124	56	868	95	10	1153
23	1153	2	38	21349	18.52	14	16	16	2	11	19	448	76	520	99	10	1153
24	1153	2	38	28093	24.37	16	25	28	12	2	38	859	63	126	95	10	1153
25	1153	2	38	33134	28.74	24	31	36	12	6	38	884	61	103	95	10	1153
26	1153	2	38	22891	19.85	14	15	25	11	2	38	231	81	741	90	10	1153
27	1153	2	38	24542	21.29	16	16	27	11	2	38	838	63	149	93	10	1153
28	1153	2	38	25172	21.83	16	16	27	11	2	38	160	55	832	96	10	1153
29	1153	2	38	21808	18.91	15	16	16	1	14	17	140	78	572	353	10	1153
30	1153	2	38	24914	21.61	14	16	28	14	2	38	125	75	834	109	10	1153
31	1153	2	38	23658	20.52	14	16	27	13	2	38	132	62	323	626	10	1153
32	1153	2	38	22361	19.39	15	16	24	9	2	37	788	74	133	148	10	1153
33	1153	2	38	22267	19.31	14	16	25	11	2	38	209	71	749	114	10	1153
34	1153	2	38	23043	19.99	15	16	25	10	2	38	789	74	185	95	10	1153
35	1153	2	38	22220	19.27	15	16	16	1	14	17	263	64	129	687	10	1153
36	1153	2	38	23538	20.41	16	16	27	11	2	38	160	616	106	261	10	1153
37	1153	2	38	26311	22.82	16	25	28	12	2	38	117	110	110	806	10	1153
38	1153	2	38	24076	20.88	16	16	27	11	2	38	119	733	105	186	10	1153
39	1153	2	38	24754	21.47	15	16	28	13	2	38	126	140	763	114	10	1153
40	1153	2	38	30011	26.03	16	27	34	18	2	38	117	59	860	107	10	1153
41	1153	2	38	21787	18.90	14	14	24	10	2	38	111	86	503	443	10	1153
42	1153	2	38	25103	21.77	14	16	28	14	2	38	121	71	820	131	10	1153
43	1153	2	38	31025	26.91	16	27	35	19	2	38	108	58	872	105	10	1153
44	1153	2	38	21884	18.98	14	14	24	10	2	38	116	75	596	356	10	1153
45	1153	2	38	21114	18.31	14	15	16	2	11	19	117	596	238	192	10	1153
46	1153	2	38	24440	21.20	14	16	27	13	2	38	113	114	830	86	10	1153
47	1153	2	38	20891	18.12	14	14	16	2	11	19	94	652	303	94	10	1153
48	1153	2	38	26418	22.91	15	25	27	12	2	38	111	801	130	101	10	1153
49	1153	2	38	22605	19.61	14	14	25	11	2	38	117	124	810	92	10	1153
50	1153	2	38	20673	17.93	14	14	16	2	11	19	108	103	628	304	10	1153
51	1153	2	38	22182	19.24	14	14	25	11	2	38	702	81	214	146	10	1153
52	1153	2	38	22848	19.82	14	15	25	11	2	38	169	79	174	721	10	1153
53	1153	2	38	24297	21.07	14	16	27	13	2	38	131	727	130	155	10	1153
54	1153	2	38	23994	20.81	15	15	27	12	2	38	687	227	122	107	10	1153
55	1153	2	38	23681	20.54	15	15	26	11	2	38	212	89	141	701	10	1153
56	1153	2	38	29200	25.33	16	26	33	17	2	38	123	79	118	823	10	1153
57	1153	2	38	23226	20.14	15	15	26	11	2	38	712	74	99	258	10	1153
58	1153	2	38	28673	24.87	16	26	31	15	2	38	874	74	102	93	10	1153
59	1153	2	38	32492	28.18	24	31	36	12	6	38	887	65	105	86	10	1153
60	1153	2	38	34130	29.60	24	34	37	13	5	38	882	67	97	97	10	1153
61	1153	2	38	35468	30.76	25	36	38	13	6	38	866	77	112	88	10	1153
62	1153	2	38	34830	30.21	24	35	38	14	3	38	887	60	111	85	10	1153
63	1153	2	38	35234	30.56	25	35	38	13	6	38	879	69	106	89	10	1153
64	1153	2	38	35035	30.39	24	35	38	14	3	38	862	66	113	102	10	1153
65	1152	2	38	35286	30.63	25	35	38	13	6	38	900	55	105	83	9	1153
66	1152	2	38	34985	30.37	24	35	38	14	3	38	883	61	126	74	8	1153
67	1152	2	38	30244	26.25	15	27	34	19	2	38	869	65	120	89	9	1153
68	1152	2	38	24952	21.66	14	24	25	11	2	38	843	89	120	91	9	1153
69	1152	2	38	23608	20.49	14	16	25	11	2	38	813	101	137	93	8	1153
70	1152	2	38	22878	19.86	14	15	25	11	2	38	766	107	163	107	9	1153
71	1152	2	38	22180	19.25	14	15	25	11	2	38	716	97	205	126	8	1153
72	1152	2	38	21804	18.93	14	14	25	11	2	38	664	131	224	123	10	1153
73	1152	2	38	21617	18.76	14	14	25	11	2	38	658	101	264	121	8	1153
74	1152	2	38	21594	18.74	14	14	25	11	2	38	607	132	286	117	10	1153
75	1151	2	38	21219	18.44	14	14	24	10	2	38	595	114	297	137	8	1153
76	1151	2	38	21296	18.50	14	14	24	10	2	38	604	139	275	123	10	1153
77	1151	2	38	21075	18.31	14	14	24	10	2	38	611	113	264	153	10	1153
78	1151	2	38	21188	18.41	13	14	24	11	2	38	542	138	301	161	9	1153
79	1151	2	38	20679	17.97	13	14	23	10	2	38	554	139	292	157	9	1153
80	1151	2	38	20831	18.10	13	14	23	10	2	38	535	162	303	142	9	1153
81	1151	2	38	20859	18.12	13	14	23	10	2	38	506	145	337	154	9	1153
82	1151	2	38	20836	18.10	13	14	23	10	2	38	510	144	314	175	8	1153
83	1151	2	38	20408	17.73	13	14	22	9	2	35	484	155	328	174	10	1153
84	1151	2	38	20374	17.70	13	14	22	9	2	35	449	169	364	159	10	1153
85	1151	2	38	20478	17.79	13	14	22	9	2	35	439	157	399	146	10	1153
86	1151	2	38	20159	17.51	13	14	21	8	2	33	436	155	354	196	10	1153
87	1151	2	38	20279	17.62	13	14	22	9	2	35	419	157	389	176	10	1153
88	1151	2	38	20410	17.73	13	14	22	9	2	35	398	158	424	162	9	1153
89	1151	2	38	20253	17.60	13	14	22	9	2	35	405	173	391	172	10	1153
90	1151	2	38	20401	17.72	13	14	22	9	2	35	386	182	381	192	10	1153
91	1151	2	38	20359	17.69	13	14	23	10	2	38	348	164	443	186	10	1153
92	1151	2	38	20242	17.59	13	14	22	9	2	35	362	195	412	172	10	1153
93	1151	2	38	20219	17.57	13	14	21	8	2	33	377	188	380	196	10	1153
94	1151	2	38	19890	17.28	13	14	21	8	2	33	365	187	413	176	10	1153
95	1151	2	38	20087	17.45	13	14	21	8	2	33	382	187	401	171	10	1153
96	1151	2	38	19938	17.32	13	14	21	8	2	33	391	207	375	168	10	1153
97	1151	2	38	20201	17.55	13	14	21	8	2	33	361	211	380	189	10	1153
98	1151	2	38	20081	17.45	13	14	21	8	2	33	372	226	357	186	10	1153
99	1151	2	38	20181	17.53	13	14	21	8	2	33	393	204	352	192	10	1153
100	1151	2	38	20213	17.56	13	14	21	8	2	33	423	215	336	168	9	1153
101	1151	2	38	20036	17.41	13	14	21	8	2	33	437	201	312	194	7	1153
102	1151	2	38	20139	17.50	13	14	21	8	2	33	398	198	333	215	7	1153
103	1151	2	38	20120	17.48	13	14	21	8	2	33	448	197	312	187	7	1153
104	1151	2	38	20136	17.49	13	14	21	8	2	33	441	218	317	167	8	1153
105	1151	2	38	19962	17.34	13	14	21	8	2	33	473	200	283	185	10	1153
106	1151	2	38	19865	17.26	13	14	21	8	2	33	494	177	311	159	10	1153
107	1151	2	38	20130	17.49	13	14	21	8	2	33	471	190	292	188	10	1153
108	1151	2	38	20119	17.48	13	14	21	8	2	33	493	204	278	166	10	1153
109	1151	2	38	19806	17.21	13	14	21	8	2	33	512	180	281	168	10	1153
110	1151	2	38	19877	17.27	13	14	21	8	2	33	511	201	275	154	10	1153
111	1151	2	38	19798	17.20	13	14	21	8	2	33	511	191	278	161	10	1153
112	1151	2	38	19929	17.31	13	14	21	8	2	33	523	190	257	171	10	1153
113	1151	2	38	19726	17.14	13	14	21	8	2	33	529	210	230	172	10	1153
114	1151	2	38	19809	17.21	13	14	21	8	2	33	525	203	266	147	10	1153
115	1151	2	38	19478	16.92	13	14	21	8	2	33	527	200	259	155	10	1153
116	1151	2	38	19644	17.07	13	14	21	8	2	33	520	220	257	144	10	1153
117	1151	2	38	19888	17.28	13	14	21	8	2	33	542	170	266	163	10	1153
118	1151	2	38	19816	17.22	13	14	21	8	2	33	498	192	284	167	10	1153
119	1151	2	38	19534	16.97	13	14	21	8	2	33	481	221	273	166	10	1153
120	1151	2	38	19329	16.79	13	14	21	8	2	33	469	214	303	155	10	1153
121	1151	2	38	19763	17.17	13	14	21	8	2	33	457	213	295	176	10	1153
122	1151	2	38	19636	17.06	13	14	21	8	2	33	481	182	292	186	10	1153
123	1151	2	38	19507	16.95	13	14	21	8	2	33	471	213	276	181	10	1153
124	1151	2	38	19141	16.63	13	14	15	2	10	18	463	202	277	199	10	1153
125	1151	2	38	19272	16.74	13	14	21	8	2	33	470	204	283	184	10	1153
126	1151	2	38	19072	16.57	13	14	21	8	2	33	524	161	320	136	10	1153
