Differential Line,90MN1B-1,90MN2B-1,90MN3B-1,90MN5B-1,90MN7B-1,90MN8B-2,90MN9B-4,90MN13B-3,90MN14B-1,90MN17B-1,90MN137-1,90MN148-1,90MN149-2,90MN152-1,90MN153-1,90WI131-1,90WI132-1,90SD164-1,90SD171-1,90SD172-1,90PA162-1,90KS101-1,90AR100-1,90GA16-1,90LA38-1,90TX45-1,90TX47-1,90TX52-1,90TX58-1,90TX70-1
Pc14,1,3,1,8,8,8,8,8,8,8,8,8,7,1,1,8,8,8,8,8,1,1,4,8,8,8,8,1,1,8
Pc35,1,1,1,6,8,7,1,8,8,8,8,8,8,8,1,1,1,1,8,1,8,1,8,1,1,6,7,1,1,2
Pc36,4,5,6,4,8,8,7,8,8,8,8,6,7,7,6,8,8,6,4,6,8,7,2,6,6,6,8,6,6,6
Pc38,4,4,4,0,8,6,1,6,8,7,8,5,4,5,5,2,5,2,4,5,4,2,1,2,4,8,6,2,5,2
Pc39,5,5,4,8,8,4,4,5,8,5,5,4,5,5,6,5,4,4,2,5,5,6,4,4,4,8,4,6,4,4
Pc40,1,1,1,8,8,7,8,8,8,8,7,8,8,5,1,7,7,8,8,8,1,1,8,7,8,8,8,2,1,8
Pc45,0,0,8,8,1,5,7,5,0,1,0,0,4,6,8,5,0,2,0,4,1,8,8,8,4,0,2,8,8,7
Pc46,4,4,6,8,4,6,4,4,4,6,8,8,1,8,6,4,8,5,8,2,8,6,8,4,4,4,4,6,4,4
Pc48,1,0,0,5,2,1,1,1,1,1,2,1,2,0,2,0,2,1,1,1,2,1,2,2,1,5,1,1,1,2
Pc50,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
Pc51,3,2,3,8,8,2,1,1,8,8,8,3,3,3,3,1,2,1,3,2,3,5,1,3,1,3,1,5,3,2
Pc52,1,0,0,2,1,1,1,0,0,1,1,1,1,1,0,4,1,1,1,1,1,1,2,1,1,2,0,1,0,1
Pc53,0,1,0,6,1,2,1,1,1,1,6,1,2,2,4,1,1,7,1,1,1,1,8,1,1,1,4,1,4,1
Pc54,2,5,7,8,4,7,8,7,4,4,4,6,6,6,7,6,6,7,4,7,6,7,7,8,7,6,7,8,8,8
Pc55,5,2,1,7,8,2,4,2,8,2,5,5,5,5,4,2,5,2,2,4,2,2,2,4,4,8,5,4,5,4
Pc56,2,5,6,4,8,8,6,8,8,8,7,6,8,7,6,8,8,6,4,4,8,6,6,6,6,6,8,7,6,6
Pc57,1,1,6,8,4,6,2,2,4,1,4,4,1,4,6,5,6,8,2,8,2,6,1,4,8,2,4,6,6,6
Pc58,3,2,1,6,7,6,3,6,6,7,7,6,6,6,1,3,3,3,6,5,7,3,7,3,3,5,6,3,3,1
Pc59,5,4,4,6,4,5,1,5,5,2,4,8,4,4,6,8,8,4,5,6,1,6,2,2,4,5,4,4,4,2
Pc60,2,2,7,7,6,6,4,6,1,1,6,6,6,6,7,4,6,4,4,4,4,7,7,7,7,4,7,6,4,6
Pc61,1,1,5,7,1,2,2,5,1,1,2,2,4,4,6,2,2,7,1,6,3,4,1,4,6,4,2,4,2,2
Pc62,4,5,2,1,5,2,1,5,2,3,2,5,5,5,4,2,4,1,4,1,5,5,1,4,1,8,2,4,4,5
Pc63,1,1,1,1,8,1,1,1,7,0,7,1,1,1,1,1,0,1,2,2,1,1,1,1,2,8,2,1,2,1
Pc64,2,2,5,5,1,3,2,2,4,3,4,5,1,1,2,4,5,2,4,2,4,4,2,2,1,8,5,4,4,5
Pc67,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Pc68,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
Pc70,2,2,1,8,8,2,5,4,8,5,6,4,4,4,7,4,2,5,4,4,6,6,6,4,6,8,6,6,4,4
Pc71,2,2,2,8,8,2,2,5,8,5,4,5,4,4,4,2,5,4,4,2,2,4,5,4,2,8,4,4,5,4
Pc91,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1
Pc94,4,2,4,1,5,4,5,5,4,5,2,2,4,4,5,4,1,0,2,2,4,4,4,2,1,5,4,4,5,5
Pc96,1,1,0,1,1,4,1,3,4,1,2,1,5,4,1,4,0,1,1,2,1,1,1,1,1,1,2,1,0,1
Marvelous,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
H548,5,5,5,8,4,4,4,4,4,4,5,4,4,4,4,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4
IA B605Xsel.,0,1,7,8,1,1,6,1,0,1,0,1,1,4,8,1,1,1,1,2,1,8,7,7,1,0,1,8,8,6
WI X4361-9,4,5,3,3,5,3,1,2,4,3,4,8,4,4,4,8,8,6,2,6,1,6,1,1,4,5,3,4,2,1
TAM-O-405,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belle,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0
HiFi,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Leggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
Stainless,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1
