Differential Line,15ND19-2,15ND19-5,15ND20-3,15ND20-4,15MN13-4,15MN14-4,15MN15-3,15MN16-3,15MN17-5,15MN18-1,15MN18-3,15MN10-4,15MN10-5,15MN27-3,15MN23-1,15MN24-1,15MN25-3,15SD30-1,15SD30-3,15SD11-1,15SD11-2,15NE8-4,15NE8-5,15NE9-1,15NE9-3,15OH12-3,15MS7-1,15TX3-1,15FL1-2,15FL1-4
Pc14,9,7,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,0,9,9,0
Pc35,4,6,2,4,2,9,0,0,0,0,2,2,0,9,9,9,2,2,2,9,9,2,0,0,0,0,2,2,2,4
Pc36,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pc38,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pc39,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pc40,9,9,7,9,6,5,9,9,9,7,9,9,7,9,9,9,6,9,9,9,2,9,9,9,9,9,4,9,8,4
Pc45,9,2,9,4,9,9,9,0,2,8,9,7,2,9,9,9,7,0,4,9,6,4,6,2,6,0,9,2,2,6
Pc46,7,7,6,7,7,4,4,9,4,7,7,9,4,6,9,7,7,4,4,9,9,9,7,4,4,9,9,4,4,7
Pc48,2,0,2,2,4,2,7,9,0,7,9,9,0,9,9,9,9,2,2,9,9,2,2,0,0,9,9,2,2,0
Pc50,9,0,9,0,0,0,0,0,0,9,9,0,2,0,9,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0
Pc51,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,9,9,9,9
Pc52,0,0,2,0,2,0,9,9,0,9,9,9,0,7,9,9,9,0,0,9,9,0,2,0,0,9,9,0,0,2
Pc53,2,2,9,2,0,7,4,0,2,9,6,0,2,7,7,7,9,0,0,4,4,9,2,0,7,6,0,9,0,4
Pc54,3,4,4,4,4,4,6,9,2,7,2,6,4,6,4,6,4,4,2,4,4,6,7,4,2,2,6,2,4,6
Pc55,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pc56,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pc57,6,4,4,6,9,9,9,9,9,9,7,9,9,7,9,9,9,7,9,9,9,9,9,6,9,9,9,4,9,9
Pc58,2,4,2,4,2,6,0,2,0,0,4,0,4,6,6,6,2,2,2,7,7,2,0,2,0,2,2,0,0,2
Pc59,6,4,4,6,6,7,9,9,7,7,9,9,6,9,9,9,9,6,6,9,9,4,6,7,7,2,9,7,4,9
Pc60,7,6,6,7,7,6,9,7,9,7,7,9,9,9,9,9,7,9,9,7,6,9,9,9,9,7,6,9,9,6
Pc61,4,4,4,6,7,7,9,9,9,7,7,7,9,9,9,9,9,9,9,9,7,9,9,9,9,7,9,9,9,6
Pc62,4,4,4,4,4,4,4,2,9,6,6,9,7,6,7,2,4,9,9,4,4,7,7,7,7,2,2,7,7,4
Pc63,7,7,7,7,7,7,9,7,7,7,6,7,9,7,7,7,7,9,9,9,9,7,9,7,7,7,7,9,7,7
Pc64,6,4,6,4,4,4,7,4,9,6,2,9,9,6,9,4,4,9,9,6,6,9,9,9,9,2,4,9,9,2
Pc67,8,7,7,7,8,9,8,8,9,9,7,6,9,7,6,6,6,9,9,9,6,9,9,9,9,8,6,9,9,6
Pc68,0,0,2,2,2,9,9,7,0,9,9,9,2,9,9,0,9,0,0,9,9,2,2,0,0,2,9,0,0,0
Pc70,9,9,7,9,7,9,9,4,2,9,7,6,6,9,9,9,6,4,2,7,9,7,4,4,9,6,7,7,4,9
Pc71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9
Pc91,2,4,0,2,2,2,9,9,6,9,9,9,4,4,4,9,6,4,4,8,9,4,4,4,4,4,9,4,4,9
Pc94,0,2,2,2,2,4,2,4,2,2,7,0,2,2,2,4,2,2,2,4,2,0,2,2,2,2,2,2,2,4
Pc96,2,2,2,2,0,2,9,0,9,4,2,0,9,2,2,2,2,9,9,0,0,7,0,9,7,0,0,7,9,0
Marvelous,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9
H548,4,4,4,4,4,4,9,9,4,9,4,6,4,6,4,6,4,4,4,6,4,6,7,2,4,6,2,4,4,6
IA B605Xsel.,9,2,9,2,9,9,9,0,2,9,9,9,2,9,9,9,6,2,2,9,4,4,4,2,2,4,9,2,2,4
WI X4361-9,6,6,4,6,6,6,9,9,7,9,9,9,7,9,9,9,9,6,7,9,9,4,6,7,6,2,7,7,6,9
TAM-O-405,0,0,0,0,2,2,0,9,0,7,9,9,0,9,9,2,2,2,2,0,0,2,2,2,0,2,0,2,0,0
Belle,0,2,2,2,0,2,0,9,0,7,7,9,0,9,9,9,9,2,2,2,0,2,2,2,4,2,2,2,2,0
HiFi,2,2,4,4,2,2,9,9,4,2,9,9,2,4,6,9,6,2,2,9,9,4,2,4,4,2,9,4,4,9
Leggett,2,0,0,4,0,0,7,2,0,0,2,7,0,2,2,2,2,2,0,4,6,0,2,0,0,2,4,0,0,2
Stainless,0,0,0,2,0,0,9,7,2,0,9,9,2,4,7,9,9,0,2,0,0,0,2,2,4,0,6,2,4,0
