"Gene ID"	"Fraction of isolates with >0.75 of gene missing"	"Nucleotide Diversity 1990"	"Nucleotide Diversity 2015"	"Watterson's Theta 1990"	"Watterson's Theta 2015"	"Tajima's D 1990"	"Tajima's D 2015"	"Fst 1990 vs 2015"	"Composite Likelihood Ratio 1990"	"Composite Likelihood Ratio 2015"
"ID=PCA_SD_00060"	0	0.00312	0.00269	0.00192	0.00154	1.45345	1.64304	0.03099	26.95477	26.62271
"ID=PCA_SD_00101"	0	0.00186	0.00057	0.00215	0.00107	-0.38853	-1.20621	0.10451	36.92866	32.86498
"ID=PCA_SD_00103"	0	0.00251	0.00168	0.00251	0.00192	-3e-04	-0.35748	0.03122	24.23948	32.98409
"ID=PCA_SD_00152"	0	0.00717	0.00655	0.00472	0.0045	1.61999	1.41829	0.0385	84.80212	83.71308
"ID=PCA_SD_00156"	0.85	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_00178"	0	0.00432	0.00274	0.00328	0.00255	0.85474	0.19049	0.01374	32.86615	38.8058
"ID=PCA_SD_00244"	0	0.00153	0.00133	0.00115	0.00115	0.77543	0.37059	0.07055	22.74627	23.3658
"ID=PCA_SD_00335"	0	0.00255	0.00112	0.00172	0.00172	0.82155	-0.59474	0.10345	11.42148	8.70961
"ID=PCA_SD_00356"	0	0.00333	0.00338	0.00286	0.00229	0.38289	1.04203	0.32602	20.64541	18.57001
"ID=PCA_SD_00393"	0	0.00038	0.00061	0.00079	0.00026	-1.03282	1.72931	0.42529	9.74843	7.87428
"ID=PCA_SD_00401"	0	0.00296	0.00266	0.00224	0.00202	0.88889	0.86505	0	46.21016	49.00272
"ID=PCA_SD_00428"	0	0.00318	0.00328	0.00172	0.00172	1.69778	1.81279	0.29573	17.10752	18.24949
"ID=PCA_SD_00457"	0	0.0148	0.00751	0.00802	0.00865	2.4282	-0.42587	0.02297	65.01882	69.69155
"ID=PCA_SD_00483"	0	0.0011	0	0.00248	NA	-1.298	NA	0.02724	19.7764	NA
"ID=PCA_SD_00495"	0	0.01112	0	0.00642	NA	2.30902	NA	0.2138	121.46705	NA
"ID=PCA_SD_00521"	0	0.00149	0.001	0.00084	0.00049	1.34169	1.62104	0.04841	11.71052	6.52373
"ID=PCA_SD_00525"	0	0.00147	0.00037	0.0011	0.00032	0.71421	0.21573	0.0204	16.9396	6.86368
"ID=PCA_SD_00535"	0	0.00456	0.00254	0.00453	0.00133	0.01901	2.12602	0.04809	29.833	19.42862
"ID=PCA_SD_00561"	0	0.00115	0	0.00127	NA	-0.15116	NA	0.14582	9.59092	NA
"ID=PCA_SD_00566"	0	0.00355	0.00107	0.00178	0.0021	1.96788	-1.15311	-0.01059	22.73323	21.11181
"ID=PCA_SD_00671"	0	0.00011	0.0015	0.00041	0.00104	-1.147	0.89794	NA	5.71282	14.4098
