Busco_id	Status	Sequence	Score	Length
EOG092R000C	Complete	PCA_SD_02781	3133.2	2734
EOG092R000I	Complete	PCA_SD_03148	2931.4	2489
EOG092R002M	Complete	PCA_SD_14421	1517.8	1493
EOG092R002N	Fragmented	PCA_SD_17609	606.4	445
EOG092R002P	Complete	PCA_SD_01000	3190.7	1808
EOG092R002R	Complete	PCA_SD_00862	2447.0	1948
EOG092R0036	Complete	PCA_SD_01938	1042.6	1050
EOG092R0037	Complete	PCA_SD_05267	3340.9	1856
EOG092R003W	Fragmented	PCA_SD_08005	1209.6	1331
EOG092R003Y	Complete	PCA_SD_03414	331.8	814
EOG092R004L	Complete	PCA_SD_05322	3069.1	1856
EOG092R005X	Complete	PCA_SD_12297	1459.6	892
EOG092R0065	Complete	PCA_SD_11342	453.4	398
EOG092R006C	Complete	PCA_SD_06258	1779.5	1626
EOG092R0089	Complete	PCA_SD_10082	2929.8	1524
EOG092R008D	Complete	PCA_SD_08884	919.8	835
EOG092R009A	Complete	PCA_SD_08299	2182.0	1364
EOG092R009I	Complete	PCA_SD_01870	1921.8	1314
EOG092R00AR	Complete	PCA_SD_07323	1767.6	1452
EOG092R00BP	Complete	PCA_SD_03238	1472.8	1170
EOG092R00D3	Complete	PCA_SD_18254	1506.8	876
EOG092R00DU	Complete	PCA_SD_14368	1453.4	1289
EOG092R00E1	Complete	PCA_SD_11599	915.9	948
EOG092R00GS	Complete	PCA_SD_00140	701.1	609
EOG092R00H5	Complete	PCA_SD_10760	1059.2	1022
EOG092R00H7	Complete	PCA_SD_06117	1175.9	778
EOG092R00HC	Complete	PCA_SD_15611	1639.0	1095
EOG092R00HK	Complete	PCA_SD_02761	1236.0	1115
EOG092R00HN	Complete	PCA_SD_00748	963.2	923
EOG092R00IN	Complete	PCA_SD_13984	1025.5	758
EOG092R00IT	Complete	PCA_SD_15942	456.7	630
EOG092R00JG	Complete	PCA_SD_14412	541.6	443
EOG092R00K3	Complete	PCA_SD_01568	553.9	882
EOG092R00K7	Complete	PCA_SD_11762	439.2	680
EOG092R00KS	Complete	PCA_SD_16263	1565.2	1043
EOG092R00LO	Complete	PCA_SD_16238	904.3	1476
EOG092R00LR	Complete	PCA_SD_03257	1723.6	1080
EOG092R00LZ	Duplicated	PCA_SD_05333	1568.3	988
EOG092R00LZ	Duplicated	PCA_SD_15579	1563.9	988
EOG092R00MF	Complete	PCA_SD_09629	935.5	1489
EOG092R00MU	Complete	PCA_SD_13650	1269.3	928
EOG092R00N4	Complete	PCA_SD_00902	1223.8	986
EOG092R00NJ	Complete	PCA_SD_08115	2035.4	1040
EOG092R00NQ	Duplicated	PCA_SD_00781	1098.1	885
EOG092R00NQ	Duplicated	PCA_SD_09637	1098.1	885
EOG092R00O2	Complete	PCA_SD_03401	498.2	482
EOG092R00OU	Complete	PCA_SD_10133	567.4	566
EOG092R00QB	Complete	PCA_SD_22047	2115.5	1074
EOG092R00QP	Complete	PCA_SD_11686	1504.8	946
EOG092R00QR	Complete	PCA_SD_07491	1326.4	848
EOG092R00QT	Complete	PCA_SD_15772	1328.3	942
EOG092R00RF	Complete	PCA_SD_13041	905.9	592
EOG092R00RR	Fragmented	PCA_SD_13786	357.8	329
EOG092R00TL	Complete	PCA_SD_06490	1512.6	1090
EOG092R00TN	Complete	PCA_SD_10075	1082.1	1151
EOG092R00TW	Complete	PCA_SD_03091	970.5	836
EOG092R00U5	Complete	PCA_SD_11081	1789.2	958
EOG092R00UA	Complete	PCA_SD_05604	671.4	784
EOG092R00UP	Complete	PCA_SD_03702	1916.2	1012
EOG092R00V6	Complete	PCA_SD_15592	1034.6	781
EOG092R00VH	Complete	PCA_SD_17048	1186.9	958
EOG092R00VP	Complete	PCA_SD_14620	396.9	744
EOG092R00VV	Complete	PCA_SD_00473	476.3	918
EOG092R00WG	Complete	PCA_SD_19468	683.9	767
EOG092R00XS	Complete	PCA_SD_15427	892.6	955
EOG092R00XY	Complete	PCA_SD_04847	683.7	713
EOG092R00YY	Complete	PCA_SD_05598	1792.3	926
EOG092R00ZY	Complete	PCA_SD_00968	658.5	1014
EOG092R0100	Complete	PCA_SD_09054	799.4	532
EOG092R0104	Complete	PCA_SD_07399	768.7	862
EOG092R0112	Complete	PCA_SD_10720	1540.9	849
EOG092R0115	Complete	PCA_SD_11189	980.1	724
EOG092R011X	Complete	PCA_SD_05020	517.1	376
EOG092R011Y	Complete	PCA_SD_04085	1396.6	1232
EOG092R0120	Complete	PCA_SD_10273	1299.1	1746
EOG092R013F	Complete	PCA_SD_06504	290.1	449
EOG092R013M	Complete	PCA_SD_06418	1779.1	986
EOG092R0145	Duplicated	PCA_SD_03353	569.6	444
EOG092R0145	Duplicated	PCA_SD_07327	569.6	444
EOG092R0149	Complete	PCA_SD_16329	316.6	583
EOG092R014B	Fragmented	PCA_SD_09001	334.4	387
EOG092R014H	Complete	PCA_SD_10909	1697.6	942
EOG092R014P	Complete	PCA_SD_17631	852.3	885
EOG092R015U	Complete	PCA_SD_20868	726.2	709
EOG092R016F	Complete	PCA_SD_07885	1092.7	1034
EOG092R0185	Fragmented	PCA_SD_16725	468.2	657
EOG092R018U	Duplicated	PCA_SD_05123	942.6	1068
EOG092R018U	Duplicated	PCA_SD_19859	942.9	1067
EOG092R0193	Complete	PCA_SD_10368	666.0	558
EOG092R01AJ	Complete	PCA_SD_10053	1297.5	799
EOG092R01AN	Complete	PCA_SD_05818	1425.8	1062
EOG092R01B4	Complete	PCA_SD_09642	1631.0	878
EOG092R01B7	Complete	PCA_SD_08541	1459.9	830
EOG092R01BL	Complete	PCA_SD_11215	642.7	360
EOG092R01BN	Complete	PCA_SD_03706	823.6	673
EOG092R01BO	Complete	PCA_SD_12651	910.9	696
EOG092R01C1	Complete	PCA_SD_00510	651.2	626
EOG092R01C6	Complete	PCA_SD_04486	714.4	588
EOG092R01DK	Complete	PCA_SD_03508	448.0	471
EOG092R01DL	Complete	PCA_SD_17841	523.9	810
EOG092R01DU	Complete	PCA_SD_12910	870.5	619
EOG092R01DY	Complete	PCA_SD_01405	793.4	625
EOG092R01E2	Complete	PCA_SD_02539	420.5	471
EOG092R01EF	Complete	PCA_SD_07183	929.5	668
EOG092R01EV	Duplicated	PCA_SD_21279	1553.9	859
EOG092R01EV	Duplicated	PCA_SD_23962	1626.3	902
EOG092R01F3	Complete	PCA_SD_10562	1339.2	790
EOG092R01F5	Complete	PCA_SD_07312	723.4	625
EOG092R01GK	Complete	PCA_SD_03886	1389.5	848
EOG092R01GN	Complete	PCA_SD_22168	1474.4	851
EOG092R01GW	Fragmented	PCA_SD_11211	501.9	588
EOG092R01HD	Complete	PCA_SD_13933	1214.4	689
EOG092R01J4	Complete	PCA_SD_11663	1538.4	901
EOG092R01J5	Complete	PCA_SD_03464	369.7	708
EOG092R01JP	Complete	PCA_SD_23898	1549.2	850
EOG092R01JW	Complete	PCA_SD_03031	638.1	671
EOG092R01JZ	Complete	PCA_SD_03142	1572.4	908
EOG092R01KC	Complete	PCA_SD_17556	1333.3	822
EOG092R01KK	Complete	PCA_SD_04380	1359.3	812
EOG092R01KM	Complete	PCA_SD_00052	439.3	299
EOG092R01KV	Complete	PCA_SD_14628	435.6	338
EOG092R01KY	Complete	PCA_SD_03899	956.7	756
EOG092R01L3	Complete	PCA_SD_00106	838.2	860
EOG092R01M0	Complete	PCA_SD_15615	891.9	656
EOG092R01MB	Complete	PCA_SD_09551	187.1	271
EOG092R01MR	Complete	PCA_SD_13919	578.4	478
EOG092R01NO	Complete	PCA_SD_11606	890.2	752
EOG092R01O5	Complete	PCA_SD_04947	800.6	829
EOG092R01PA	Complete	PCA_SD_07821	409.2	291
EOG092R01Q7	Complete	PCA_SD_17634	958.6	722
EOG092R01Q9	Complete	PCA_SD_07273	246.7	717
EOG092R01QZ	Duplicated	PCA_SD_08420	1183.2	794
EOG092R01QZ	Duplicated	PCA_SD_17864	1173.3	769
EOG092R01S5	Complete	PCA_SD_12797	694.1	835
EOG092R01S6	Complete	PCA_SD_13126	465.1	550
EOG092R01SG	Complete	PCA_SD_04423	588.2	745
EOG092R01SR	Complete	PCA_SD_00713	808.4	652
EOG092R01SS	Complete	PCA_SD_05816	1215.7	789
EOG092R01TR	Duplicated	PCA_SD_12729	920.6	606
EOG092R01TR	Duplicated	PCA_SD_21247	921.6	605
EOG092R01TX	Complete	PCA_SD_07495	820.1	653
EOG092R01UZ	Complete	PCA_SD_00538	1650.1	923
EOG092R01WS	Complete	PCA_SD_14301	1268.4	714
EOG092R01XX	Complete	PCA_SD_05650	885.0	782
EOG092R01Y1	Duplicated	PCA_SD_18703	756.0	686
EOG092R01Y1	Duplicated	PCA_SD_20450	755.4	684
EOG092R01YM	Complete	PCA_SD_00422	960.2	913
EOG092R01Z4	Complete	PCA_SD_05050	509.9	438
EOG092R01ZO	Complete	PCA_SD_21232	641.0	815
EOG092R0207	Complete	PCA_SD_15958	528.6	601
EOG092R0208	Complete	PCA_SD_05662	1449.4	723
EOG092R0219	Complete	PCA_SD_08538	1283.1	789
EOG092R022A	Complete	PCA_SD_07173	337.7	299
EOG092R022P	Complete	PCA_SD_02271	1240.8	710
EOG092R0235	Complete	PCA_SD_09070	853.8	681
EOG092R023T	Complete	PCA_SD_00831	383.9	605
EOG092R023Y	Complete	PCA_SD_01859	1383.7	798
EOG092R027E	Complete	PCA_SD_00047	679.4	866
EOG092R027I	Complete	PCA_SD_05479	1214.4	782
EOG092R027K	Complete	PCA_SD_01739	715.1	676
EOG092R027T	Duplicated	PCA_SD_12730	670.2	548
EOG092R027T	Duplicated	PCA_SD_21248	742.5	548
EOG092R0285	Complete	PCA_SD_05930	1225.5	657
EOG092R028H	Complete	PCA_SD_02544	922.1	479
EOG092R02AA	Complete	PCA_SD_17470	1016.1	705
EOG092R02B6	Complete	PCA_SD_01553	698.0	683
EOG092R02BA	Complete	PCA_SD_07608	597.1	559
EOG092R02BC	Complete	PCA_SD_02815	1321.4	833
EOG092R02BV	Complete	PCA_SD_02576	650.9	458
EOG092R02BW	Complete	PCA_SD_06623	655.5	748
EOG092R02D8	Complete	PCA_SD_06406	380.8	567
EOG092R02F2	Complete	PCA_SD_00477	974.7	776
EOG092R02F4	Complete	PCA_SD_06793	1201.2	781
EOG092R02F8	Complete	PCA_SD_10935	638.9	735
EOG092R02G9	Complete	PCA_SD_00051	578.5	514
EOG092R02GN	Complete	PCA_SD_01488	672.3	730
EOG092R02HL	Complete	PCA_SD_09350	911.1	733
EOG092R02IG	Complete	PCA_SD_10398	890.2	596
EOG092R02J2	Complete	PCA_SD_16726	687.3	477
EOG092R02K0	Duplicated	PCA_SD_09744	830.3	628
EOG092R02K0	Duplicated	PCA_SD_15442	920.9	600
EOG092R02K0	Duplicated	PCA_SD_15445	952.9	619
EOG092R02K3	Complete	PCA_SD_05943	456.9	373
EOG092R02KI	Complete	PCA_SD_07536	380.5	756
EOG092R02KV	Complete	PCA_SD_16834	713.2	461
EOG092R02L0	Fragmented	PCA_SD_11218	967.2	551
EOG092R02L7	Duplicated	PCA_SD_05126	894.8	928
EOG092R02L7	Duplicated	PCA_SD_19862	891.5	928
EOG092R02LD	Fragmented	PCA_SD_07665	337.4	280
EOG092R02LE	Complete	PCA_SD_06130	656.7	557
EOG092R02LS	Complete	PCA_SD_18690	961.0	616
EOG092R02M9	Complete	PCA_SD_08427	984.6	623
EOG092R02MS	Complete	PCA_SD_16017	673.0	418
EOG092R02MZ	Complete	PCA_SD_12915	562.5	624
EOG092R02N6	Complete	PCA_SD_13797	999.2	551
EOG092R02N8	Complete	PCA_SD_09674	651.4	460
EOG092R02NJ	Complete	PCA_SD_09993	983.8	622
EOG092R02NK	Fragmented	PCA_SD_15402	313.4	464
EOG092R02O1	Complete	PCA_SD_05733	1126.4	708
EOG092R02O2	Complete	PCA_SD_02088	897.0	747
EOG092R02OQ	Complete	PCA_SD_02563	503.2	595
EOG092R02P2	Complete	PCA_SD_19132	1352.6	680
EOG092R02P9	Complete	PCA_SD_09908	1074.3	592
EOG092R02PN	Complete	PCA_SD_07169	1353.6	793
EOG092R02PP	Complete	PCA_SD_15406	402.6	368
EOG092R02PW	Complete	PCA_SD_05058	821.2	626
EOG092R02Q5	Complete	PCA_SD_19994	1171.4	656
EOG092R02RH	Complete	PCA_SD_16354	1092.2	734
EOG092R02RK	Complete	PCA_SD_01359	1105.5	611
EOG092R02RP	Complete	PCA_SD_07197	720.7	492
EOG092R02SB	Complete	PCA_SD_21683	1411.0	676
EOG092R02TD	Complete	PCA_SD_07367	976.7	604
EOG092R02TP	Complete	PCA_SD_10920	862.0	609
EOG092R02UM	Complete	PCA_SD_07699	685.9	526
EOG092R02VE	Complete	PCA_SD_04243	1565.3	1022
EOG092R02WD	Complete	PCA_SD_10566	772.9	587
EOG092R02WG	Complete	PCA_SD_24837	585.4	585
EOG092R02WV	Complete	PCA_SD_03441	1086.9	619
EOG092R02XO	Complete	PCA_SD_06886	305.4	294
EOG092R02XP	Complete	PCA_SD_01627	297.4	394
EOG092R02XQ	Complete	PCA_SD_08915	1368.6	915
EOG092R02XU	Complete	PCA_SD_08678	883.4	662
EOG092R02Y3	Complete	PCA_SD_01721	617.8	527
EOG092R02YD	Complete	PCA_SD_07525	491.4	484
EOG092R030R	Complete	PCA_SD_11838	830.8	547
EOG092R032U	Complete	PCA_SD_14110	1216.3	709
EOG092R033G	Duplicated	PCA_SD_02293	740.2	472
EOG092R033G	Duplicated	PCA_SD_05381	769.6	473
EOG092R033S	Complete	PCA_SD_05874	665.7	549
EOG092R0362	Complete	PCA_SD_04049	1081.8	618
EOG092R037Z	Complete	PCA_SD_14311	664.0	511
EOG092R0383	Complete	PCA_SD_00811	363.3	521
EOG092R038J	Complete	PCA_SD_06512	557.8	479
EOG092R038Z	Complete	PCA_SD_07510	1052.3	652
EOG092R0390	Complete	PCA_SD_10067	606.3	453
