#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
000000F	21063	23063	0.600500	0.399500	572	337	462	629	0	0	2000
000000F	22317	24317	0.625500	0.374500	571	351	398	680	0	0	2000
000000F	31197	33197	0.617000	0.383000	635	392	374	599	0	0	2000
000000F	31263	33263	0.615000	0.385000	638	404	366	592	0	0	2000
000000F	31524	33524	0.620000	0.380000	658	422	338	582	0	0	2000
000000F	31535	33535	0.618000	0.382000	657	425	339	579	0	0	2000
000000F	31698	33698	0.621500	0.378500	657	435	322	586	0	0	2000
000000F	32953	34953	0.591500	0.408500	603	442	375	580	0	0	2000
000000F	33063	35063	0.589500	0.410500	600	429	392	579	0	0	2000
000000F	33548	35548	0.603000	0.397000	623	380	414	583	0	0	2000
000000F	33587	35587	0.595000	0.405000	611	383	427	579	0	0	2000
000000F	43801	45801	0.568000	0.432000	583	514	350	553	0	0	2000
000000F	43803	45803	0.568000	0.432000	581	514	350	555	0	0	2000
000000F	50748	52748	0.490500	0.509500	540	497	522	441	0	0	2000
000000F	52605	54605	0.580000	0.420000	672	362	478	488	0	0	2000
000000F	54269	56269	0.631000	0.369000	686	377	361	576	0	0	2000
000000F	54272	56272	0.631500	0.368500	687	376	361	576	0	0	2000
000000F	66856	68856	0.593000	0.407000	522	278	536	664	0	0	2000
000000F	74559	76559	0.493500	0.506500	492	512	501	495	0	0	2000
000000F	87885	89885	0.498000	0.502000	466	585	419	530	0	0	2000
000000F	97388	99388	0.587500	0.412500	577	401	424	598	0	0	2000
000000F	97434	99434	0.590000	0.410000	581	400	420	599	0	0	2000
000000F	104825	106825	0.619500	0.380500	617	342	419	622	0	0	2000
000000F	111586	113586	0.609000	0.391000	633	390	392	585	0	0	2000
000000F	111587	113587	0.609500	0.390500	634	389	392	585	0	0	2000
000000F	111595	113595	0.608500	0.391500	630	389	394	587	0	0	2000
000000F	111607	113607	0.608000	0.392000	627	388	396	589	0	0	2000
000000F	111613	113613	0.607500	0.392500	626	387	398	589	0	0	2000
000000F	111617	113617	0.607500	0.392500	624	386	399	591	0	0	2000
000000F	111627	113627	0.607000	0.393000	626	387	399	588	0	0	2000
000000F	111630	113630	0.607000	0.393000	626	387	399	588	0	0	2000
000000F	111640	113640	0.608500	0.391500	628	386	397	589	0	0	2000
000000F	111659	113659	0.610500	0.389500	631	386	393	590	0	0	2000
000000F	116476	118476	0.561000	0.439000	587	420	458	535	0	0	2000
000000F	116477	118477	0.561000	0.439000	587	419	459	535	0	0	2000
000000F	162515	164515	0.511000	0.489000	541	493	485	481	0	0	2000
000000F	164828	166828	0.489000	0.511000	622	470	552	356	0	0	2000
000000F	165882	167882	0.464500	0.535500	531	457	614	398	0	0	2000
000000F	171992	173992	0.377500	0.622500	404	679	566	351	0	0	2000
000000F	189461	191461	0.584500	0.415500	585	460	371	584	0	0	2000
000000F	195545	197545	0.490500	0.509500	556	406	613	425	0	0	2000
000000F	195546	197546	0.490500	0.509500	555	406	613	426	0	0	2000
000000F	203833	205833	0.590000	0.410000	578	455	365	602	0	0	2000
000000F	203840	205840	0.590000	0.410000	574	454	366	606	0	0	2000
000000F	203842	205842	0.589500	0.410500	573	454	367	606	0	0	2000
000000F	203867	205867	0.594000	0.406000	577	450	362	611	0	0	2000
000000F	203868	205868	0.594500	0.405500	577	450	361	612	0	0	2000
000000F	204199	206199	0.586000	0.414000	562	439	389	610	0	0	2000
000000F	204238	206238	0.581500	0.418500	552	445	392	611	0	0	2000
000000F	204257	206257	0.580500	0.419500	555	445	394	606	0	0	2000
000000F	204443	206443	0.582500	0.417500	546	446	389	619	0	0	2000
000000F	204456	206456	0.582500	0.417500	547	445	390	618	0	0	2000
000000F	204488	206488	0.579000	0.421000	544	444	398	614	0	0	2000
000000F	209840	211840	0.490500	0.509500	398	483	536	583	0	0	2000
000000F	209864	211864	0.487500	0.512500	392	486	539	583	0	0	2000
000000F	212150	214150	0.490500	0.509500	442	580	439	539	0	0	2000
000000F	212722	214722	0.516500	0.483500	459	585	382	574	0	0	2000
000000F	215808	217808	0.591500	0.408500	602	399	418	581	0	0	2000
000000F	215809	217809	0.591500	0.408500	602	399	418	581	0	0	2000
000000F	237476	239476	0.599000	0.401000	508	460	342	690	0	0	2000
000000F	240678	242678	0.565000	0.435000	551	476	394	579	0	0	2000
000000F	243595	245595	0.536000	0.464000	513	492	436	559	0	0	2000
000000F	243610	245610	0.535500	0.464500	510	494	435	561	0	0	2000
000000F	243634	245634	0.533500	0.466500	508	496	437	559	0	0	2000
000000F	243640	245640	0.532500	0.467500	507	496	439	558	0	0	2000
000000F	243647	245647	0.532500	0.467500	507	495	440	558	0	0	2000
000000F	243658	245658	0.532500	0.467500	506	495	440	559	0	0	2000
000000F	243663	245663	0.533000	0.467000	508	495	439	558	0	0	2000
000000F	250254	252254	0.612500	0.387500	612	382	393	613	0	0	2000
000000F	251562	253562	0.573000	0.427000	589	396	458	557	0	0	2000
000000F	251565	253565	0.572000	0.428000	589	397	459	555	0	0	2000
000000F	252686	254686	0.473500	0.526500	512	516	537	435	0	0	2000
000000F	252692	254692	0.474000	0.526000	514	516	536	434	0	0	2000
000000F	253166	255166	0.421500	0.578500	460	572	585	383	0	0	2000
000000F	253591	255591	0.409500	0.590500	404	552	629	415	0	0	2000
000000F	256341	258341	0.535000	0.465000	604	466	464	466	0	0	2000
000000F	256350	258350	0.535000	0.465000	603	466	464	467	0	0	2000
000000F	256412	258412	0.526500	0.473500	597	491	456	456	0	0	2000
000000F	256413	258413	0.526000	0.474000	597	492	456	455	0	0	2000
000000F	289344	291344	0.549000	0.451000	601	381	521	497	0	0	2000
000000F	309617	311617	0.528000	0.472000	566	483	461	490	0	0	2000
000000F	309896	311896	0.533000	0.467000	579	507	427	487	0	0	2000
000000F	309974	311974	0.537500	0.462500	595	499	426	480	0	0	2000
000000F	311181	313181	0.482500	0.517500	531	618	417	434	0	0	2000
000000F	311993	313993	0.524000	0.476000	534	461	491	514	0	0	2000
000000F	312002	314002	0.525500	0.474500	536	460	489	515	0	0	2000
000000F	312010	314010	0.526500	0.473500	538	458	489	515	0	0	2000
000000F	312021	314021	0.527000	0.473000	537	457	489	517	0	0	2000
000000F	312025	314025	0.527500	0.472500	536	456	489	519	0	0	2000
000000F	312049	314049	0.530000	0.470000	535	451	489	525	0	0	2000
000000F	312050	314050	0.530000	0.470000	535	450	490	525	0	0	2000
000000F	312051	314051	0.530500	0.469500	535	449	490	526	0	0	2000
000000F	312066	314066	0.534500	0.465500	541	444	487	528	0	0	2000
000000F	312251	314251	0.547500	0.452500	536	399	506	559	0	0	2000
