#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
000000F	31465	33465	0.620000	0.380000	658	415	345	582	0	0	2000
000000F	33059	35059	0.589500	0.410500	598	430	391	581	0	0	2000
000000F	33068	35068	0.590500	0.409500	602	426	393	579	0	0	2000
000000F	33584	35584	0.596000	0.404000	612	382	426	580	0	0	2000
000000F	33836	35836	0.588000	0.412000	589	392	432	587	0	0	2000
000000F	66924	68924	0.598500	0.401500	517	273	530	680	0	0	2000
000000F	101196	103196	0.574000	0.426000	456	435	417	692	0	0	2000
000000F	113941	115941	0.471000	0.529000	488	597	461	454	0	0	2000
000000F	116401	118401	0.567000	0.433000	598	415	451	536	0	0	2000
000000F	116402	118402	0.567000	0.433000	598	415	451	536	0	0	2000
000000F	116474	118474	0.561000	0.439000	587	420	458	535	0	0	2000
000000F	203851	205851	0.591000	0.409000	577	452	366	605	0	0	2000
000000F	215810	217810	0.591500	0.408500	602	398	419	581	0	0	2000
000000F	219269	221269	0.561000	0.439000	598	387	491	524	0	0	2000
000000F	219300	221300	0.560000	0.440000	600	386	494	520	0	0	2000
000000F	251552	253552	0.577000	0.423000	595	393	453	559	0	0	2000
000000F	251563	253563	0.573000	0.427000	589	396	458	557	0	0	2000
000000F	272979	274979	0.511500	0.488500	462	600	377	561	0	0	2000
000000F	315552	317552	0.626000	0.374000	621	417	331	631	0	0	2000
000000F	315561	317561	0.626000	0.374000	622	420	328	630	0	0	2000
000000F	368870	370870	0.547500	0.452500	581	346	559	514	0	0	2000
000000F	400284	402284	0.491000	0.509000	425	595	423	557	0	0	2000
000000F	401855	403855	0.545500	0.454500	498	481	428	593	0	0	2000
000000F	436949	438949	0.545500	0.454500	578	496	413	513	0	0	2000
000000F	436971	438971	0.543000	0.457000	573	496	418	513	0	0	2000
000000F	436973	438973	0.542500	0.457500	571	497	418	514	0	0	2000
000000F	436986	438986	0.541500	0.458500	568	500	417	515	0	0	2000
000000F	450825	452825	0.387500	0.612500	359	531	694	416	0	0	2000
000000F	482856	484856	0.592000	0.408000	633	399	417	551	0	0	2000
000000F	489417	491417	0.525000	0.475000	481	547	403	569	0	0	2000
000000F	509749	511749	0.477500	0.522500	469	491	554	486	0	0	2000
000000F	509750	511750	0.477500	0.522500	469	490	555	486	0	0	2000
000000F	510104	512104	0.493500	0.506500	526	466	547	461	0	0	2000
000000F	511992	513992	0.568500	0.431500	576	358	505	561	0	0	2000
000000F	534244	536244	0.506000	0.494000	482	522	466	530	0	0	2000
000000F	546772	548772	0.586500	0.413500	587	441	386	586	0	0	2000
000000F	662269	664269	0.610500	0.389500	583	397	382	638	0	0	2000
000000F	684183	686183	0.498000	0.502000	428	586	418	568	0	0	2000
000000F	684298	686298	0.499500	0.500500	431	586	415	568	0	0	2000
000000F	754845	756845	0.514000	0.486000	567	440	532	461	0	0	2000
000000F	757070	759070	0.472500	0.527500	482	530	525	463	0	0	2000
000000F	758747	760747	0.475500	0.524500	461	539	510	490	0	0	2000
