#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
000000F	31260	33260	0.616000	0.384000	638	402	366	594	0	0	2000
000000F	32941	34941	0.592000	0.408000	604	443	373	580	0	0	2000
000000F	59477	61477	0.625000	0.375000	658	409	341	592	0	0	2000
000000F	65500	67500	0.601000	0.399000	585	331	467	617	0	0	2000
000000F	67877	69877	0.602000	0.398000	521	274	522	683	0	0	2000
000000F	104827	106827	0.620000	0.380000	616	341	419	624	0	0	2000
000000F	113476	115476	0.483500	0.516500	504	606	427	463	0	0	2000
000000F	113477	115477	0.483500	0.516500	504	606	427	463	0	0	2000
000000F	113478	115478	0.483500	0.516500	504	606	427	463	0	0	2000
000000F	113522	115522	0.479500	0.520500	497	609	432	462	0	0	2000
000000F	113731	115731	0.467500	0.532500	486	612	453	449	0	0	2000
000000F	116100	118100	0.573000	0.427000	601	418	436	545	0	0	2000
000000F	134655	136655	0.538500	0.461500	564	413	510	513	0	0	2000
000000F	134656	136656	0.538000	0.462000	563	414	510	513	0	0	2000
000000F	134675	136675	0.535000	0.465000	562	414	516	508	0	0	2000
000000F	140411	142411	0.520500	0.479500	464	430	529	577	0	0	2000
000000F	140424	142424	0.520000	0.480000	463	431	529	577	0	0	2000
000000F	168963	170963	0.484500	0.515500	482	487	544	487	0	0	2000
000000F	171986	173986	0.378000	0.622000	405	677	567	351	0	0	2000
000000F	171989	173989	0.377500	0.622500	404	679	566	351	0	0	2000
000000F	171989	173989	0.377500	0.622500	404	679	566	351	0	0	2000
000000F	173536	175536	0.427500	0.572500	431	660	485	424	0	0	2000
000000F	173684	175684	0.451500	0.548500	454	630	467	449	0	0	2000
000000F	209837	211837	0.491500	0.508500	400	483	534	583	0	0	2000
000000F	209840	211840	0.490500	0.509500	398	483	536	583	0	0	2000
000000F	209855	211855	0.489500	0.510500	394	485	536	585	0	0	2000
000000F	209856	211856	0.489000	0.511000	393	486	536	585	0	0	2000
000000F	209858	211858	0.488000	0.512000	391	487	537	585	0	0	2000
000000F	211165	213165	0.453500	0.546500	414	501	592	493	0	0	2000
000000F	212152	214152	0.491000	0.509000	442	580	438	540	0	0	2000
000000F	212160	214160	0.491500	0.508500	441	581	436	542	0	0	2000
000000F	212200	214200	0.493500	0.506500	436	582	431	551	0	0	2000
000000F	212201	214201	0.493000	0.507000	436	583	431	550	0	0	2000
000000F	212203	214203	0.493000	0.507000	436	584	430	550	0	0	2000
000000F	212204	214204	0.492500	0.507500	435	585	430	550	0	0	2000
000000F	212214	214214	0.493000	0.507000	436	587	427	550	0	0	2000
000000F	212691	214691	0.513000	0.487000	456	586	388	570	0	0	2000
000000F	212712	214712	0.516000	0.484000	457	586	382	575	0	0	2000
000000F	212720	214720	0.516000	0.484000	459	585	383	573	0	0	2000
000000F	235105	237105	0.509000	0.491000	513	537	445	505	0	0	2000
000000F	235126	237126	0.507000	0.493000	513	539	447	501	0	0	2000
000000F	235982	237982	0.565500	0.434500	503	530	339	628	0	0	2000
000000F	249078	251078	0.611500	0.388500	602	405	372	621	0	0	2000
000000F	249079	251079	0.611000	0.389000	602	405	373	620	0	0	2000
000000F	249091	251091	0.611000	0.389000	597	403	375	625	0	0	2000
000000F	249092	251092	0.611000	0.389000	597	403	375	625	0	0	2000
000000F	249329	251329	0.609500	0.390500	605	416	365	614	0	0	2000
000000F	249331	251331	0.609500	0.390500	604	416	365	615	0	0	2000
000000F	249332	251332	0.609000	0.391000	604	416	366	614	0	0	2000
000000F	249334	251334	0.609500	0.390500	605	416	365	614	0	0	2000
000000F	250252	252252	0.612000	0.388000	611	382	394	613	0	0	2000
000000F	250253	252253	0.612000	0.388000	611	382	394	613	0	0	2000
000000F	251549	253549	0.577500	0.422500	596	393	452	559	0	0	2000
000000F	251557	253557	0.574500	0.425500	591	395	456	558	0	0	2000
000000F	251558	253558	0.574500	0.425500	591	395	456	558	0	0	2000
000000F	251559	253559	0.574000	0.426000	590	395	457	558	0	0	2000
000000F	251560	253560	0.573500	0.426500	589	396	457	558	0	0	2000
000000F	251561	253561	0.573000	0.427000	589	396	458	557	0	0	2000
000000F	251562	253562	0.573000	0.427000	589	396	458	557	0	0	2000
