PCA_SD_26329-T1	000716F	+	8959	11212	8959	11212	2	8959,9893,	9809,11212,	0	PCA_SD_26329	cmpl	cmpl	0,1,
PCA_SD_26328-T1	000716F	-	5958	6261	5958	6261	1	5958,	6261,	0	PCA_SD_26328	cmpl	cmpl	0,
PCA_SD_26330-T1	000716F	-	12131	13438	12131	13438	3	12131,12617,13094,	12516,13010,13438,	0	PCA_SD_26330	cmpl	cmpl	2,2,0,
PCA_SD_26331-T1	000716F	+	13648	14031	13648	14031	2	13648,13834,	13802,14031,	0	PCA_SD_26331	cmpl	cmpl	0,1,
PCA_SD_26327-T1	000716F	-	1022	1391	1022	1391	1	1022,	1391,	0	PCA_SD_26327	cmpl	cmpl	0,
PCA_SD_26698-T1	000698F	-	18833	19393	18833	19393	2	18833,19175,	19011,19393,	0	PCA_SD_26698	cmpl	cmpl	2,0,
PCA_SD_26697-T1	000698F	-	7293	8585	7293	8585	4	7293,7646,7965,8275,	7526,7836,8186,8585,	0	PCA_SD_26697	cmpl	cmpl	1,0,1,0,
PCA_SD_26610-T1	000695F	-	5112	5977	5112	5977	5	5112,5200,5512,5765,5947,	5122,5390,5693,5864,5977,	0	PCA_SD_26610	cmpl	cmpl	2,1,0,0,0,
PCA_SD_26609-T1	000695F	-	1700	2145	1700	2145	3	1700,1930,2115,	1863,2029,2145,	0	PCA_SD_26609	cmpl	cmpl	0,0,0,
PCA_SD_26538-T1	000694F	-	15098	18215	15098	18215	4	15098,15353,15969,18040,	15251,15895,17922,18215,	0	PCA_SD_26538	cmpl	cmpl	0,1,1,0,
PCA_SD_26536-T1	000694F	-	5010	5411	5010	5411	2	5010,5371,	5300,5411,	0	PCA_SD_26536	cmpl	cmpl	1,0,
PCA_SD_26537-T1	000694F	-	12469	12777	12469	12777	2	12469,12664,	12587,12777,	0	PCA_SD_26537	cmpl	cmpl	2,0,
PCA_SD_24864-T1	000691F	+	10820	12008	10820	12008	6	10820,10974,11300,11455,11665,11921,	10875,11185,11374,11586,11827,12008,	0	PCA_SD_24864	cmpl	cmpl	0,1,2,1,0,0,
PCA_SD_24865-T1	000691F	+	12275	13768	12275	13768	4	12275,12980,13146,13360,	12887,13066,13258,13768,	0	PCA_SD_24865	cmpl	cmpl	0,0,2,0,
PCA_SD_24866-T1	000691F	-	14504	15949	14504	15949	2	14504,15188,	15090,15949,	0	PCA_SD_24866	cmpl	cmpl	2,0,
PCA_SD_24867-T1	000691F	-	19774	20113	19774	20113	1	19774,	20113,	0	PCA_SD_24867	cmpl	cmpl	0,
PCA_SD_24861-T1	000691F	+	4546	5226	4546	5226	3	4546,4898,5171,	4785,5075,5226,	0	PCA_SD_24861	cmpl	cmpl	0,2,2,
PCA_SD_24862-T1	000691F	-	5430	6012	5430	6012	4	5430,5607,5797,5969,	5511,5721,5895,6012,	0	PCA_SD_24862	cmpl	cmpl	0,0,1,0,
PCA_SD_24863-T1	000691F	+	6035	7180	6035	7180	6	6035,6149,6454,6872,7023,7165,	6044,6300,6733,6948,7093,7180,	0	PCA_SD_24863	cmpl	cmpl	0,0,1,1,2,0,
PCA_SD_26276-T1	000706F	-	12620	12892	12620	12892	2	12620,12718,	12626,12892,	0	PCA_SD_26276	cmpl	cmpl	0,0,
PCA_SD_26275-T1	000706F	+	7081	9259	7081	9259	3	7081,7314,7536,	7236,7464,9259,	0	PCA_SD_26275	cmpl	cmpl	0,2,2,
PCA_SD_26274-T1	000706F	-	5688	6744	5688	6744	3	5688,6040,6554,	5935,6467,6744,	0	PCA_SD_26274	cmpl	cmpl	2,1,0,
PCA_SD_26273-T1	000706F	-	3233	3819	3233	3819	3	3233,3383,3564,	3293,3521,3819,	0	PCA_SD_26273	cmpl	cmpl	0,0,0,
PCA_SD_26917-T1	000688F	-	16370	16784	16370	16784	2	16370,16725,	16647,16784,	0	PCA_SD_26917	cmpl	cmpl	2,0,
PCA_SD_25892-T1	000635F	-	469	939	469	939	2	469,731,	519,939,	0	PCA_SD_25892	cmpl	cmpl	1,0,
PCA_SD_25893-T1	000635F	-	1260	2219	1260	2219	2	1260,2059,	1976,2219,	0	PCA_SD_25893	cmpl	cmpl	1,0,
