"Contig.Start.Stop"	"gene_ID"	"Watterson's Theta 1990"	"Watterson's Theta 2015"
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	0.00115169089161548	0.00115169089161548
"000000F:289774:290331"	"ID=PCA_SD_00060"	0.00192154878153049	0.00153723902522439
"000000F:563401:564799"	"ID=PCA_SD_00101"	0.00214598128396229	0.00107299064198114
"000000F:573010:574463"	"ID=PCA_SD_00103"	0.00250726433859673	0.00191731978833868
"000000F:814467:815420"	"ID=PCA_SD_00152"	0.00472048398783529	0.00449569903603361
"000000F:829776:830141"	"ID=PCA_SD_00156"	NA	NA
"000000F:913589:914176"	"ID=PCA_SD_00178"	0.00328231904110413	0.00255291480974766
"000001F:374182:374945"	"ID=PCA_SD_02087"	0.00673648724666397	0.00308755665472099
"000001F:430597:431094"	"ID=PCA_SD_02096"	0.00990407914143066	0.00904285486826278
"000001F:509952:510230"	"ID=PCA_SD_02106"	0.00538033658828538	0.00614895610089758
"000001F:624410:624709"	"ID=PCA_SD_02120"	0.00214444844018803	0.000714816146729343
"000001F:746177:746739"	"ID=PCA_SD_02142"	NA	NA
"000002F:34349:34733"	"ID=PCA_SD_00941"	0.0016709987845621	0.00111399918970807
"000002F:379458:379772"	"ID=PCA_SD_01003"	0.00340388641299687	0.00204233184779812
"000002F:513558:514490"	"ID=PCA_SD_01033"	0.00114922210085103	0.00114922210085103
"000002F:548341:549195"	"ID=PCA_SD_01038"	0.00150487609837756	0.00175568878144049
"000003F:204499:204931"	"ID=PCA_SD_00483"	0.00247626840668364	NA
"000003F:244887:245654"	"ID=PCA_SD_00495"	0.00642217631827144	NA
"000003F:367061:367573"	"ID=PCA_SD_00521"	0.000836042276876425	0.000492046463014689
"000003F:384634:385410"	"ID=PCA_SD_00525"	0.00110396316097196	0.000324864653187304
"000003F:435336:435903"	"ID=PCA_SD_00535"	0.00453052487363668	0.00133320335665424
"000003F:46631:46951"	"ID=PCA_SD_00457"	0.00801662968294591	0.00864990090589374
"000003F:572220:572558"	"ID=PCA_SD_00561"	0.00126516132164486	NA
"000003F:603463:603823"	"ID=PCA_SD_00566"	0.00178209011649975	0.00209767176337841
"000004F:360671:360919"	"ID=PCA_SD_00335"	0.00172244854633577	0.00172244854633577
"000004F:430073:430447"	"ID=PCA_SD_00356"	0.00285926458691737	0.0022874116695339
"000004F:614511:615329"	"ID=PCA_SD_00393"	0.000785512249153124	0.000261837416384375
"000004F:645023:645978"	"ID=PCA_SD_00401"	0.00224314690396237	0.00201883221356614
"000004F:762397:762771"	"ID=PCA_SD_00428"	0.00171555875215042	0.00171555875215042
"000005F:135027:137543"	"ID=PCA_SD_00806"	0.000300857968446407	0.000340794348857851
"000005F:433651:434266"	"ID=PCA_SD_00860"	0.0016390898410814	0.00139249898713508
"000005F:453023:453535"	"ID=PCA_SD_00866"	NA	0.000836042276876425
"000005F:567015:567533"	"ID=PCA_SD_00890"	0.00194543225839334	0.000826377048242015
"000005F:593093:594625"	"ID=PCA_SD_00898"	0.00214054655045333	0.00251794337399769
"000005F:675481:676957"	"ID=PCA_SD_00908"	0.00205080435092649	0.00159708414638242
"000006F:272786:273406"	"ID=PCA_SD_00671"	0.000406473165099091	0.00103596543004253
"000006F:384851:385879"	"ID=PCA_SD_00688"	0.000981223850443287	0.00187561088063093
"000006F:620486:621467"	"ID=PCA_SD_00743"	0.000771140027066809	0.00262050725888558
"000006F:642113:642862"	"ID=PCA_SD_00750"	0.00201935868421228	0.00171555875215042
"000006F:766973:767712"	"ID=PCA_SD_00779"	0.00306997097262003	0.00318769362730653
"000007F:777045:777887"	"ID=PCA_SD_02534"	0.00152629782219789	0.00152629782219789
"000008F:123907:124824"	"ID=PCA_SD_01104"	0.00397120081516302	0.00116800023975383
"000008F:277841:278209"	"ID=PCA_SD_01130"	0.00174345401641303	0.00116230267760869
"000008F:320858:321430"	"ID=PCA_SD_01137"	0.00673648724666397	0.00523949008073864
"000008F:359628:360358"	"ID=PCA_SD_01147"	0.00322694019727337	0.00381365659677762
"000008F:652711:653520"	"ID=PCA_SD_01208"	0.0074129081883043	0.0066186680252717
"000008F:671948:672723"	"ID=PCA_SD_01212"	0.00303981093325623	0.00276346448477839
"000008F:675097:675729"	"ID=PCA_SD_01213"	0.00474285594986294	0.00372652967489231
"000008F:715224:715916"	"ID=PCA_SD_01218"	0.00123777687745341	0.00123777687745341
"000008F:760033:760609"	"ID=PCA_SD_01226"	0.00111496452696085	0.00111496452696085
"000009F:195700:196406"	"ID=PCA_SD_01403"	0.00879618172071469	0.00879618172071469
"000009F:360939:361466"	"ID=PCA_SD_01439"	0.0016245821516576	0.0016245821516576
"000009F:53591:53956"	"ID=PCA_SD_01372"	0.000585914874368314	0.000585914874368314
"000009F:571032:571626"	"ID=PCA_SD_01474"	NA	NA
"000009F:579690:580284"	"ID=PCA_SD_01476"	NA	NA
"000009F:588348:588942"	"ID=PCA_SD_01478"	NA	NA
"000009F:730428:731021"	"ID=PCA_SD_01508"	NA	NA
"000009F:735389:735977"	"ID=PCA_SD_01510"	0.00182041463513415	0.00145633170810732
"000009F:737455:738021"	"ID=PCA_SD_01511"	0.00151283840577639	0.00151283840577639
"000010F:388043:388350"	"ID=PCA_SD_01707"	0.00417749696140525	0.00348124746783771
"000010F:560312:561495"	"ID=PCA_SD_01745"	0.00670140137558759	0.00398461703413316
"000010F:562670:563837"	"ID=PCA_SD_01746"	0.0088128018089919	0.00807840165824258
"000011F:493637:494534"	"ID=PCA_SD_01871"	0.000955210886498009	0.000238802721624502
"000011F:503335:503767"	"ID=PCA_SD_01875"	0.00297152208802036	0.000990507362673455
"000013F:119632:120696"	"ID=PCA_SD_01247"	0.00161085328840415	0.0010067833052526
"000013F:158835:159475"	"ID=PCA_SD_01254"	0.00635639943269463	0.00635639943269463
"000013F:305464:306299"	"ID=PCA_SD_01286"	0.00205210377051486	0.00205210377051486
"000013F:333916:334353"	"ID=PCA_SD_01294"	0.00048960010049955	0.0068544014069937
"000013F:356292:356714"	"ID=PCA_SD_01301"	0.000506961806191024	0.000506961806191024
"000013F:551960:552792"	"ID=PCA_SD_01339"	0.00180205751276305	0.000514873575075157
"000013F:554010:554634"	"ID=PCA_SD_01340"	0.000343111750430085	NA
"000013F:566446:567283"	"ID=PCA_SD_01341"	0.00255900768518858	0.00204720614815086
"000013F:569107:569742"	"ID=PCA_SD_01342"	0.00101153228310756	0.00033717742770252
"000014F:145456:146442"	"ID=PCA_SD_02192"	0.00173815476408351	0.00152088541857307
"000014F:167310:168305"	"ID=PCA_SD_02199"	0.000645918204875913	0.000861224273167884
"000014F:208569:209084"	"ID=PCA_SD_02206"	0.00207795391491088	0.00207795391491088
"000014F:219603:219956"	"ID=PCA_SD_02208"	0.00605776395533342	0.00605776395533342
"000014F:403664:404496"	"ID=PCA_SD_02234"	0.000514873575075157	0.000257436787537579
"000014F:423333:424152"	"ID=PCA_SD_02238"	0.00052303620492391	0.000261518102461955
"000014F:425480:426288"	"ID=PCA_SD_02239"	0.00265073972829176	0.0021205917826334
"000014F:450496:451300"	"ID=PCA_SD_02247"	0.00506143110106492	0.00452864887990019
"000015F:147661:148251"	"ID=PCA_SD_01939"	0.00170842528275151	0.00435421003083864
"000015F:180083:180771"	"ID=PCA_SD_01946"	0.000366356800473927	0.00155620351247317
"000015F:344961:345449"	"ID=PCA_SD_01975"	0.00258097991335926	0.00219268756665443
"000015F:370018:370506"	"ID=PCA_SD_01984"	0.00722674375740593	0.0061395251866324
"000015F:416875:417149"	"ID=PCA_SD_01990"	NA	NA
"000015F:471352:472738"	"ID=PCA_SD_02001"	0.000545969363071093	0.00216454781273485
"000015F:77886:78304"	"ID=PCA_SD_01924"	0.00301216987501832	0.00358261075926401
"000016F:129352:130042"	"ID=PCA_SD_01533"	0.000620679722196246	0.000931019583294369
"000016F:213944:214802"	"ID=PCA_SD_01556"	0.000998579017549723	0.000998579017549723
"000016F:279021:279924"	"ID=PCA_SD_01566"	0.00023721774780841	0.00023721774780841
"000016F:487643:488799"	"ID=PCA_SD_01612"	0.00111207352127296	0.000556036760636481
"000016F:570644:571653"	"ID=PCA_SD_01630"	0.003821789299345	0.00233553790515528
"000016F:572917:573893"	"ID=PCA_SD_01631"	0.00197543868594598	0.00109746593663666
"000016F:76383:76784"	"ID=PCA_SD_01521"	0.00213377954247565	0.00160033465685674
"000016F:91906:92272"	"ID=PCA_SD_01525"	NA	NA
"000017F:134167:134592"	"ID=PCA_SD_02664"	0.00302034991575779	0.00201356661050519
