#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
000000F	1	1575	0.544473	0.455527	432	380	337	425	0	0	1574
000000F	9950	11950	0.575000	0.425000	550	449	401	600	0	0	2000
000000F	9965	11965	0.576500	0.423500	551	446	401	602	0	0	2000
000000F	10400	12400	0.574500	0.425500	572	415	436	577	0	0	2000
000000F	10638	12638	0.574000	0.426000	570	414	438	578	0	0	2000
000000F	10644	12644	0.575500	0.424500	571	411	438	580	0	0	2000
000000F	10965	12965	0.592500	0.407500	583	379	436	602	0	0	2000
000000F	27754	29754	0.484500	0.515500	370	483	548	599	0	0	2000
000000F	27762	29762	0.483000	0.517000	371	485	549	595	0	0	2000
000000F	27859	29859	0.481500	0.518500	365	488	549	598	0	0	2000
000000F	30315	32315	0.533500	0.466500	442	417	516	625	0	0	2000
000000F	30323	32323	0.534000	0.466000	443	415	517	625	0	0	2000
000000F	30325	32325	0.534500	0.465500	443	414	517	626	0	0	2000
000000F	30335	32335	0.534500	0.465500	445	414	517	624	0	0	2000
000000F	31217	33217	0.617000	0.383000	633	393	373	601	0	0	2000
000000F	31598	33598	0.624000	0.376000	668	428	324	580	0	0	2000
000000F	31652	33652	0.621000	0.379000	660	430	328	582	0	0	2000
000000F	32261	34261	0.596500	0.403500	619	468	339	574	0	0	2000
000000F	32396	34396	0.595500	0.404500	624	480	329	567	0	0	2000
000000F	32406	34406	0.596500	0.403500	625	480	327	568	0	0	2000
000000F	35766	37766	0.555000	0.445000	536	423	467	574	0	0	2000
000000F	35767	37767	0.555000	0.445000	536	422	468	574	0	0	2000
000000F	35769	37769	0.555500	0.444500	537	422	467	574	0	0	2000
000000F	35772	37772	0.555500	0.444500	537	422	467	574	0	0	2000
000000F	35784	37784	0.552000	0.448000	536	427	469	568	0	0	2000
000000F	35790	37790	0.551500	0.448500	537	427	470	566	0	0	2000
000000F	35794	37794	0.551000	0.449000	536	427	471	566	0	0	2000
000000F	36688	38688	0.479500	0.520500	463	525	516	496	0	0	2000
